# CIE bound-bound cooling efficiency for N (Z=7)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_N0           L_N1           L_N2           L_N3           L_N4           L_N5           L_N6           L_N7         
         8.1000   2.023376e-19   4.171054e-19   6.205640e-19   4.557624e-19   3.852692e-19   3.452176e-19   1.038008e-19   0.000000e+00
         8.1500   1.943909e-19   4.008871e-19   5.961986e-19   4.377017e-19   3.710805e-19   3.381315e-19   1.018057e-19   0.000000e+00
         8.2000   1.866997e-19   3.851761e-19   5.726175e-19   4.203303e-19   3.572683e-19   3.307243e-19   9.972282e-20   0.000000e+00
         8.2500   1.792604e-19   3.699667e-19   5.498095e-19   4.036137e-19   3.438340e-19   3.230501e-19   9.756540e-20   0.000000e+00
         8.3000   1.720688e-19   3.552522e-19   5.277622e-19   3.875210e-19   3.307778e-19   3.151591e-19   9.534599e-20   0.000000e+00
         8.3500   1.651207e-19   3.410249e-19   5.064623e-19   3.720244e-19   3.180989e-19   3.070966e-19   9.307635e-20   0.000000e+00
         8.4000   1.584112e-19   3.272765e-19   4.858952e-19   3.570989e-19   3.057952e-19   2.989046e-19   9.076744e-20   0.000000e+00
         8.4500   1.519355e-19   3.139981e-19   4.660458e-19   3.427213e-19   2.938645e-19   2.906216e-19   8.842946e-20   0.000000e+00
         8.5000   1.456884e-19   3.011802e-19   4.468983e-19   3.288703e-19   2.823037e-19   2.822834e-19   8.607184e-20   0.000000e+00
         8.5500   1.396647e-19   2.888131e-19   4.284363e-19   3.155266e-19   2.711090e-19   2.739228e-19   8.370326e-20   0.000000e+00
         8.6000   1.338589e-19   2.768864e-19   4.106431e-19   3.026720e-19   2.602761e-19   2.655698e-19   8.133164e-20   0.000000e+00
         8.6500   1.282655e-19   2.653898e-19   3.935016e-19   2.902896e-19   2.498002e-19   2.572514e-19   7.896423e-20   0.000000e+00
         8.7000   1.228789e-19   2.543124e-19   3.769947e-19   2.783635e-19   2.396756e-19   2.489920e-19   7.660757e-20   0.000000e+00
         8.7500   1.176936e-19   2.436434e-19   3.611049e-19   2.668785e-19   2.298966e-19   2.408133e-19   7.426757e-20   0.000000e+00
         8.8000   1.127037e-19   2.333718e-19   3.458148e-19   2.558200e-19   2.204565e-19   2.327346e-19   7.194952e-20   0.000000e+00
         8.8500   1.079039e-19   2.234867e-19   3.311070e-19   2.451744e-19   2.113487e-19   2.247731e-19   6.965811e-20   0.000000e+00
         8.9000   1.032883e-19   2.139770e-19   3.169641e-19   2.349283e-19   2.025660e-19   2.169437e-19   6.739752e-20   0.000000e+00
         8.9500   9.885138e-20   2.048316e-19   3.033689e-19   2.250688e-19   1.941010e-19   2.092593e-19   6.517139e-20   0.000000e+00
         9.0000   9.458765e-20   1.960396e-19   2.903043e-19   2.155836e-19   1.859460e-19   2.017309e-19   6.298291e-20   0.000000e+00
