# CIE bound-bound cooling efficiency for Fe (Z=26)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Fe0          L_Fe1          L_Fe2          L_Fe3          L_Fe4          L_Fe5          L_Fe6          L_Fe7          L_Fe8          L_Fe9          L_Fe10         L_Fe11         L_Fe12         L_Fe13         L_Fe14         L_Fe15         L_Fe16         L_Fe17         L_Fe18         L_Fe19         L_Fe20         L_Fe21         L_Fe22         L_Fe23         L_Fe24         L_Fe25         L_Fe26       
         5.1000   0.000000e+00   1.946866e-18   7.147614e-19   1.028621e-19   1.008240e-19   1.637270e-19   1.084113e-19   4.848714e-20   3.165814e-20   1.282228e-19   1.752880e-19   2.018333e-19   2.496971e-19   1.853387e-19   1.153725e-19   9.565900e-20   3.609230e-47   5.444725e-21   9.564534e-21   7.937648e-21   1.893684e-20   7.577079e-21   5.353331e-22   2.659192e-21  7.622231e-285  1.386055e-297   0.000000e+00
         5.1500   0.000000e+00   2.006960e-18   7.647213e-19   1.002260e-19   9.908109e-20   1.841136e-19   1.321587e-19   7.570430e-20   5.422352e-20   1.553846e-19   2.109998e-19   2.427996e-19   2.867357e-19   2.242242e-19   1.618206e-19   1.295756e-19   4.976888e-44   5.790218e-21   1.069362e-20   9.317241e-21   2.058405e-20   8.713893e-21   1.013546e-21   4.348438e-21  5.688617e-256  2.522120e-267   0.000000e+00
         5.2000   0.000000e+00   2.058170e-18   8.114591e-19   9.709766e-20   9.657877e-20   2.064186e-19   1.664254e-19   1.151288e-19   8.790533e-20   1.951314e-19   2.594139e-19   2.945795e-19   3.343289e-19   2.739058e-19   2.186846e-19   1.689882e-19   3.126258e-41   6.075731e-21   1.180039e-20   1.083760e-20   2.233524e-20   1.005934e-20   1.850991e-21   6.734361e-21  3.079407e-230  2.350812e-240   0.000000e+00
         5.2500   0.000000e+00   2.100692e-18   8.545072e-19   9.357205e-20   9.342758e-20   2.297301e-19   2.130649e-19   1.694419e-19   1.355873e-19   2.495148e-19   3.222424e-19   3.585344e-19   3.933123e-19   3.346747e-19   2.856279e-19   2.131085e-19   9.751256e-39   6.310411e-21   1.288534e-20   1.257220e-20   2.430360e-20   1.174431e-20   3.242407e-21   9.926362e-21  2.656868e-207  2.556353e-216   0.000000e+00
         5.3000   0.000000e+00   2.134815e-18   8.935048e-19   8.974598e-20   8.975274e-20   2.530387e-19   2.734376e-19   2.409544e-19   1.999103e-19   3.200920e-19   4.004916e-19   4.354243e-19   4.639224e-19   4.062686e-19   3.615940e-19   2.608622e-19   1.630104e-36   6.515820e-21   1.397137e-20   1.463213e-20   2.663130e-20   1.394415e-20   5.426759e-21   1.398933e-20  7.367238e-187  6.754284e-195   0.000000e+00
         5.3500   0.000000e+00   2.160894e-18   9.280079e-19   8.571299e-20   8.568528e-20   2.753702e-19   3.482114e-19   3.313147e-19   2.829671e-19   4.077624e-19   4.943077e-19   5.252415e-19   5.457461e-19   4.877742e-19   4.448347e-19   3.109815e-19   1.562784e-34   6.728805e-21   1.512464e-20   1.715821e-20   2.946756e-20   1.686723e-20   8.663615e-21   1.892992e-20  1.226217e-168  8.338161e-176   0.000000e+00
         5.4000   0.000000e+00   2.179339e-18   9.577243e-19   8.155934e-20   8.135223e-20   2.959188e-19   4.372439e-19   4.412680e-19   3.860582e-19   5.126152e-19   6.030728e-19   6.272059e-19   6.377953e-19   5.776919e-19   5.330645e-19   3.620927e-19   9.124209e-33   7.002603e-21   1.644890e-20   2.030361e-20   3.295107e-20   2.073226e-20   1.319595e-20   2.469104e-20  2.136852e-152  8.614336e-159   0.000000e+00
         5.4500   0.000000e+00   2.190589e-18   9.825808e-19   7.736092e-20   7.686966e-20   3.140696e-19   5.395588e-19   5.705034e-19   5.095449e-19   6.338535e-19   7.254417e-19   7.398510e-19   7.385623e-19   6.740406e-19   6.239037e-19   4.128017e-19   3.421468e-31   7.404774e-21   1.807177e-20   2.420988e-20   3.722488e-20   2.573802e-20   1.920567e-20   3.115545e-20  6.399049e-138  1.252202e-143   0.000000e+00
         5.5000   0.000000e+00   2.195108e-18   1.002677e-18   7.318182e-20   7.233862e-20   3.294107e-19   6.533986e-19   7.176074e-19   6.528076e-19   7.698466e-19   8.594534e-19   8.611674e-19   8.461525e-19   7.745494e-19   7.150528e-19   4.618609e-19   8.637818e-30   8.011320e-21   2.012921e-20   2.898186e-20   4.239911e-20   3.203173e-20   2.678115e-20   3.815736e-20  5.120102e-125  4.069788e-130   0.000000e+00
         5.5500   0.000000e+00   2.193371e-18   1.018239e-18   6.907457e-20   6.784323e-20   3.417291e-19   7.763836e-19   8.801405e-19   8.142980e-19   9.182553e-19   1.002662e-18   9.887788e-19   9.584180e-19   8.768870e-19   8.044316e-19   5.082445e-19   1.531819e-28   8.897565e-21   2.274703e-20   3.466708e-20   4.853178e-20   3.968349e-20   3.590056e-20   4.549788e-20  1.621983e-113  4.469118e-118   0.000000e+00
         5.6000   0.000000e+00   2.185853e-18   1.029571e-18   6.508046e-20   6.345046e-20   3.509851e-19   9.057253e-19   1.054871e-18   9.916567e-19   1.076202e-18   1.152167e-18   1.120087e-18   1.072955e-18   9.788667e-19   8.903089e-19   5.511768e-19   1.982487e-27   1.012752e-20   2.602079e-20   4.124396e-20   5.562910e-20   4.867254e-20   4.642564e-20   5.296343e-20  2.887761e-103  2.395898e-107   0.000000e+00
         5.6500   0.000000e+00   2.173030e-18   1.037024e-18   6.123043e-20   5.921115e-20   3.572897e-19   1.038454e-18   1.238013e-18   1.181871e-18   1.240458e-18   1.304864e-18   1.252472e-18   1.187319e-18   1.078627e-18   9.713537e-19   5.901614e-19   1.937398e-26   1.174403e-20   2.998472e-20   4.862099e-20   6.366423e-20   5.888661e-20   5.811776e-20   6.034392e-20   3.948543e-94   8.705678e-98   0.000000e+00
