# CIE ionization fractions for He (Z=2)
# Source: CHIANTI v11.0.2 chianti.ioneq (Dere et al. 2009)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_ioneq_tables.py
#
# log_T_K        x_He0          x_He1          x_He2        
         8.4000   1.000000e+00   4.248354e-18   1.804851e-35
         8.4500   1.000000e+00   4.248354e-18   1.804851e-35
         8.5000   1.000000e+00   4.248354e-18   1.804851e-35
         8.5500   1.000000e+00   4.248354e-18   1.804851e-35
         8.6000   1.000000e+00   4.248354e-18   1.804851e-35
         8.6500   1.000000e+00   4.248354e-18   1.804851e-35
         8.7000   1.000000e+00   4.248354e-18   1.804851e-35
         8.7500   1.000000e+00   4.248354e-18   1.804851e-35
         8.8000   1.000000e+00   4.248354e-18   1.804851e-35
         8.8500   1.000000e+00   4.248354e-18   1.804851e-35
         8.9000   1.000000e+00   4.248354e-18   1.804851e-35
         8.9500   1.000000e+00   4.248354e-18   1.804851e-35
         9.0000   1.000000e+00   4.248354e-18   1.804851e-35
