T cool_rate
2.02550E+06 6.76173E-23
2.22195E+06 5.65721E-23
2.43745E+06 4.83567E-23
2.67385E+06 4.18752E-23
2.93317E+06 3.65341E-23
3.21765E+06 3.20815E-23
3.52971E+06 2.85940E-23
3.87204E+06 2.60591E-23
4.24757E+06 2.43150E-23
4.65953E+06 2.31211E-23
5.11143E+06 2.23107E-23
5.60717E+06 2.17970E-23
6.15099E+06 2.12492E-23
6.74754E+06 2.08718E-23
7.40196E+06 2.06813E-23
8.11984E+06 2.07032E-23
8.90735E+06 2.09864E-23
9.77124E+06 2.08692E-23
1.07189E+07 2.06952E-23
1.17585E+07 2.02800E-23
1.28989E+07 1.96263E-23
1.41499E+07 1.88794E-23
1.55223E+07 1.77924E-23
1.70277E+07 1.66638E-23
1.86791E+07 1.57085E-23
2.04907E+07 1.49760E-23
2.24781E+07 1.44352E-23
2.46581E+07 1.40867E-23
2.70496E+07 1.38966E-23
2.96730E+07 1.38327E-23
3.25509E+07 1.38865E-23
3.57079E+07 1.40588E-23
3.91710E+07 1.43124E-23
4.29700E+07 1.46318E-23
4.71375E+07 1.50061E-23
5.17092E+07 1.54278E-23
5.67243E+07 1.58937E-23
6.22257E+07 1.64374E-23
6.82607E+07 1.70066E-23
7.48810E+07 1.75949E-23
8.21434E+07 1.81969E-23
9.01102E+07 1.88080E-23
9.88496E+07 1.94214E-23
1.08437E+08 2.00955E-23
1.18953E+08 2.07919E-23
1.30490E+08 2.15061E-23
1.43146E+08 2.22416E-23
1.57029E+08 2.29993E-23
1.72259E+08 2.38195E-23
1.88965E+08 2.46801E-23
2.07292E+08 2.55999E-23
2.27397E+08 2.65934E-23
2.49451E+08 2.76359E-23
2.73644E+08 2.87278E-23
3.00184E+08 2.98733E-23
3.29297E+08 3.11222E-23
3.61234E+08 3.24980E-23
3.96269E+08 3.39445E-23
4.34701E+08 3.54626E-23
4.76861E+08 3.70567E-23
5.23110E+08 3.87299E-23
5.73844E+08 4.05172E-23
6.29499E+08 4.25123E-23
6.90551E+08 4.46186E-23
7.57525E+08 4.68439E-23
8.30994E+08 4.91969E-23
9.11589E+08 5.16874E-23
1.00000E+09 5.43268E-23
