2.676E-03 0.5957  0.9994 4.413E-23 5.088E+03
2.692E-03 0.5954  0.9994 4.463E-23 5.150E+03
2.707E-03 0.5949  0.9994 4.512E-23 5.213E+03
2.723E-03 0.5944  0.9994 4.561E-23 5.276E+03
2.738E-03 0.5938  0.9994 4.609E-23 5.340E+03
2.754E-03 0.5932  0.9994 4.658E-23 5.404E+03
2.770E-03 0.5927  0.9994 4.708E-23 5.470E+03
2.786E-03 0.5920  0.9994 4.758E-23 5.536E+03
2.802E-03 0.5914  0.9994 4.807E-23 5.603E+03
2.818E-03 0.5907  0.9994 4.857E-23 5.671E+03
2.835E-03 0.5900  0.9993 4.907E-23 5.738E+03
2.851E-03 0.5893  0.9993 4.957E-23 5.807E+03
2.867E-03 0.5885  0.9993 5.006E-23 5.875E+03
2.884E-03 0.5877  0.9993 5.055E-23 5.944E+03
2.901E-03 0.5869  0.9993 5.103E-23 6.013E+03
2.917E-03 0.5862  0.9993 5.152E-23 6.082E+03
2.934E-03 0.5853  0.9993 5.200E-23 6.151E+03
2.951E-03 0.5845  0.9993 5.248E-23 6.221E+03
2.968E-03 0.5836  0.9993 5.296E-23 6.290E+03
2.985E-03 0.5828  0.9993 5.343E-23 6.359E+03
3.003E-03 0.5819  0.9992 5.390E-23 6.428E+03
3.020E-03 0.5810  0.9992 5.436E-23 6.498E+03
3.037E-03 0.5801  0.9992 5.483E-23 6.567E+03
3.055E-03 0.5792  0.9992 5.528E-23 6.636E+03
3.073E-03 0.5783  0.9992 5.574E-23 6.704E+03
3.090E-03 0.5774  0.9992 5.619E-23 6.773E+03
3.108E-03 0.5764  0.9992 5.666E-23 6.845E+03
3.126E-03 0.5754  0.9992 5.715E-23 6.922E+03
3.144E-03 0.5744  0.9991 5.765E-23 6.999E+03
3.162E-03 0.5734  0.9991 5.815E-23 7.076E+03
3.181E-03 0.5724  0.9991 5.865E-23 7.154E+03
3.199E-03 0.5713  0.9991 5.914E-23 7.232E+03
3.217E-03 0.5703  0.9991 5.964E-23 7.309E+03
3.236E-03 0.5693  0.9991 6.013E-23 7.387E+03
3.255E-03 0.5683  0.9991 6.062E-23 7.465E+03
3.273E-03 0.5672  0.9991 6.111E-23 7.544E+03
3.292E-03 0.5661  0.9990 6.161E-23 7.625E+03
3.311E-03 0.5650  0.9990 6.212E-23 7.707E+03
3.330E-03 0.5639  0.9990 6.262E-23 7.790E+03
3.350E-03 0.5627  0.9990 6.313E-23 7.874E+03
3.369E-03 0.5615  0.9990 6.363E-23 7.958E+03
3.388E-03 0.5604  0.9990 6.414E-23 8.044E+03
3.408E-03 0.5592  0.9990 6.465E-23 8.129E+03
3.428E-03 0.5580  0.9989 6.516E-23 8.215E+03
3.447E-03 0.5568  0.9989 6.567E-23 8.302E+03
3.467E-03 0.5556  0.9989 6.618E-23 8.388E+03
3.487E-03 0.5545  0.9989 6.669E-23 8.476E+03
3.508E-03 0.5533  0.9989 6.721E-23 8.564E+03
3.528E-03 0.5520  0.9989 6.772E-23 8.653E+03
3.548E-03 0.5508  0.9988 6.824E-23 8.743E+03
3.569E-03 0.5496  0.9988 6.876E-23 8.834E+03
3.589E-03 0.5483  0.9988 6.928E-23 8.926E+03
3.610E-03 0.5471  0.9988 6.980E-23 9.018E+03
3.631E-03 0.5458  0.9988 7.032E-23 9.110E+03
3.652E-03 0.5445  0.9987 7.084E-23 9.203E+03
3.673E-03 0.5433  0.9987 7.136E-23 9.296E+03
3.694E-03 0.5420  0.9987 7.188E-23 9.391E+03
3.715E-03 0.5407  0.9987 7.240E-23 9.486E+03
3.737E-03 0.5393  0.9987 7.293E-23 9.583E+03
3.758E-03 0.5380  0.9986 7.346E-23 9.680E+03
3.780E-03 0.5366  0.9986 7.398E-23 9.779E+03
3.802E-03 0.5353  0.9986 7.451E-23 9.877E+03
3.824E-03 0.5339  0.9986 7.504E-23 9.977E+03
3.846E-03 0.5325  0.9986 7.557E-23 1.008E+04
3.868E-03 0.5311  0.9985 7.610E-23 1.018E+04
3.890E-03 0.5299  0.9985 7.665E-23 1.028E+04
3.913E-03 0.5286  0.9985 7.720E-23 1.038E+04
3.936E-03 0.5273  0.9985 7.775E-23 1.048E+04
3.958E-03 0.5260  0.9985 7.829E-23 1.059E+04
3.981E-03 0.5246  0.9984 7.883E-23 1.069E+04
4.004E-03 0.5231  0.9984 7.936E-23 1.080E+04
4.027E-03 0.5216  0.9984 7.989E-23 1.090E+04
4.050E-03 0.5201  0.9984 8.042E-23 1.101E+04
4.074E-03 0.5185  0.9983 8.094E-23 1.112E+04
4.097E-03 0.5170  0.9983 8.146E-23 1.122E+04
4.121E-03 0.5154  0.9983 8.198E-23 1.133E+04
4.145E-03 0.5137  0.9982 8.248E-23 1.144E+04
4.169E-03 0.5119  0.9982 8.296E-23 1.155E+04
4.193E-03 0.5102  0.9982 8.345E-23 1.166E+04
4.217E-03 0.5085  0.9982 8.396E-23 1.177E+04
4.241E-03 0.5069  0.9981 8.448E-23 1.188E+04
4.266E-03 0.5053  0.9981 8.502E-23 1.200E+04
4.290E-03 0.5039  0.9981 8.559E-23 1.211E+04
4.315E-03 0.5027  0.9980 8.619E-23 1.223E+04
4.340E-03 0.5017  0.9980 8.682E-23 1.234E+04
4.365E-03 0.5008  0.9980 8.749E-23 1.246E+04
4.390E-03 0.5001  0.9980 8.818E-23 1.257E+04
4.416E-03 0.4990  0.9979 8.881E-23 1.269E+04
4.441E-03 0.5240  0.9979 8.462E-23 1.149E+04
4.467E-03 0.5214  0.9979 8.497E-23 1.160E+04
4.493E-03 0.5148  0.9978 8.464E-23 1.171E+04
4.519E-03 0.5092  0.9977 8.451E-23 1.183E+04
4.545E-03 0.5052  0.9977 8.464E-23 1.195E+04
4.571E-03 0.5028  0.9977 8.506E-23 1.206E+04
4.597E-03 0.5020  0.9976 8.574E-23 1.218E+04
4.624E-03 0.5021  0.9976 8.661E-23 1.230E+04
4.651E-03 0.5030  0.9976 8.760E-23 1.242E+04
4.677E-03 0.5041  0.9976 8.865E-23 1.254E+04
4.704E-03 0.5053  0.9976 8.971E-23 1.266E+04
4.732E-03 0.5063  0.9975 9.075E-23 1.278E+04
4.759E-03 0.5070  0.9975 9.175E-23 1.290E+04
4.786E-03 0.5071  0.9975 9.263E-23 1.302E+04
4.814E-03 0.5069  0.9975 9.343E-23 1.314E+04
4.842E-03 0.5064  0.9974 9.422E-23 1.326E+04
4.870E-03 0.5059  0.9974 9.498E-23 1.339E+04
4.898E-03 0.5052  0.9974 9.573E-23 1.351E+04
4.926E-03 0.5044  0.9973 9.647E-23 1.364E+04
4.955E-03 0.5034  0.9973 9.718E-23 1.376E+04
4.983E-03 0.5024  0.9973 9.788E-23 1.389E+04
5.012E-03 0.5013  0.9972 9.857E-23 1.402E+04
5.041E-03 0.5002  0.9972 9.924E-23 1.415E+04
5.070E-03 0.4989  0.9972 9.990E-23 1.428E+04
5.099E-03 0.4976  0.9971 1.005E-22 1.441E+04
5.129E-03 0.4963  0.9971 1.012E-22 1.454E+04
5.158E-03 0.4949  0.9970 1.018E-22 1.467E+04
5.188E-03 0.4937  0.9970 1.025E-22 1.480E+04
5.218E-03 0.4926  0.9969 1.031E-22 1.493E+04
5.248E-03 0.4914  0.9969 1.038E-22 1.506E+04
5.278E-03 0.4902  0.9969 1.045E-22 1.519E+04
5.309E-03 0.4889  0.9968 1.051E-22 1.532E+04
5.339E-03 0.4876  0.9968 1.058E-22 1.546E+04
5.370E-03 0.4864  0.9967 1.064E-22 1.560E+04
5.401E-03 0.4851  0.9967 1.071E-22 1.573E+04
5.433E-03 0.4837  0.9966 1.078E-22 1.587E+04
5.464E-03 0.4824  0.9966 1.084E-22 1.601E+04
5.495E-03 0.4811  0.9965 1.091E-22 1.615E+04
5.527E-03 0.4797  0.9965 1.097E-22 1.629E+04
5.559E-03 0.4784  0.9964 1.104E-22 1.642E+04
5.591E-03 0.4770  0.9964 1.110E-22 1.656E+04
5.623E-03 0.4757  0.9963 1.117E-22 1.670E+04
5.656E-03 0.4743  0.9963 1.123E-22 1.684E+04
5.689E-03 0.4729  0.9962 1.130E-22 1.699E+04
5.721E-03 0.4715  0.9962 1.137E-22 1.713E+04
5.754E-03 0.4701  0.9961 1.143E-22 1.728E+04
5.788E-03 0.4687  0.9960 1.150E-22 1.742E+04
5.821E-03 0.4673  0.9960 1.156E-22 1.757E+04
5.855E-03 0.4660  0.9959 1.163E-22 1.771E+04
5.888E-03 0.4646  0.9959 1.169E-22 1.786E+04
5.922E-03 0.4632  0.9958 1.176E-22 1.800E+04
5.957E-03 0.4618  0.9957 1.182E-22 1.815E+04
5.991E-03 0.4604  0.9957 1.189E-22 1.829E+04
6.026E-03 0.4591  0.9956 1.195E-22 1.844E+04
6.060E-03 0.4577  0.9956 1.201E-22 1.858E+04
6.095E-03 0.4564  0.9955 1.208E-22 1.872E+04
6.131E-03 0.4551  0.9954 1.214E-22 1.887E+04
6.166E-03 0.4537  0.9954 1.220E-22 1.901E+04
6.202E-03 0.4524  0.9953 1.226E-22 1.915E+04
6.237E-03 0.4510  0.9952 1.233E-22 1.930E+04
6.273E-03 0.4496  0.9952 1.239E-22 1.945E+04
6.310E-03 0.4482  0.9951 1.246E-22 1.960E+04
6.346E-03 0.4468  0.9950 1.252E-22 1.975E+04
6.383E-03 0.4454  0.9950 1.258E-22 1.990E+04
6.419E-03 0.4441  0.9949 1.265E-22 2.005E+04
6.457E-03 0.4427  0.9948 1.271E-22 2.020E+04
6.494E-03 0.4413  0.9947 1.277E-22 2.035E+04
6.531E-03 0.4400  0.9947 1.283E-22 2.050E+04
6.569E-03 0.4386  0.9946 1.290E-22 2.065E+04
6.607E-03 0.4372  0.9945 1.296E-22 2.081E+04
6.645E-03 0.4359  0.9944 1.302E-22 2.096E+04
6.683E-03 0.4345  0.9944 1.309E-22 2.111E+04
6.722E-03 0.4332  0.9943 1.315E-22 2.126E+04
6.761E-03 0.4318  0.9942 1.321E-22 2.141E+04
6.800E-03 0.4305  0.9941 1.328E-22 2.157E+04
6.839E-03 0.4292  0.9940 1.334E-22 2.172E+04
6.879E-03 0.4279  0.9940 1.340E-22 2.187E+04
6.918E-03 0.4265  0.9939 1.346E-22 2.202E+04
6.958E-03 0.4251  0.9938 1.352E-22 2.218E+04
6.998E-03 0.4238  0.9937 1.359E-22 2.233E+04
7.039E-03 0.4224  0.9936 1.365E-22 2.248E+04
7.079E-03 0.4211  0.9935 1.371E-22 2.264E+04
7.120E-03 0.4197  0.9934 1.377E-22 2.279E+04
7.161E-03 0.4184  0.9933 1.383E-22 2.295E+04
7.203E-03 0.4170  0.9932 1.390E-22 2.311E+04
7.244E-03 0.4157  0.9932 1.396E-22 2.326E+04
7.286E-03 0.4144  0.9931 1.402E-22 2.342E+04
7.328E-03 0.4130  0.9930 1.408E-22 2.357E+04
7.371E-03 0.4117  0.9929 1.414E-22 2.372E+04
7.413E-03 0.4103  0.9928 1.420E-22 2.388E+04
7.456E-03 0.4089  0.9927 1.425E-22 2.403E+04
7.499E-03 0.4075  0.9926 1.431E-22 2.419E+04
7.542E-03 0.4061  0.9925 1.437E-22 2.434E+04
7.586E-03 0.4047  0.9924 1.443E-22 2.450E+04
7.630E-03 0.4033  0.9923 1.449E-22 2.466E+04
7.674E-03 0.4019  0.9922 1.454E-22 2.481E+04
7.718E-03 0.4005  0.9921 1.460E-22 2.497E+04
7.762E-03 0.3990  0.9920 1.465E-22 2.512E+04
7.807E-03 0.3973  0.9919 1.470E-22 2.528E+04
7.852E-03 0.3956  0.9918 1.475E-22 2.543E+04
7.898E-03 0.3936  0.9917 1.479E-22 2.559E+04
7.943E-03 0.3883  0.9917 1.476E-22 2.574E+04
7.989E-03 0.3965  0.9916 1.472E-22 2.533E+04
8.035E-03 0.3963  0.9915 1.480E-22 2.548E+04
8.082E-03 0.3957  0.9914 1.487E-22 2.564E+04
8.128E-03 0.3948  0.9913 1.494E-22 2.579E+04
8.175E-03 0.3939  0.9911 1.501E-22 2.595E+04
8.222E-03 0.3930  0.9910 1.508E-22 2.610E+04
8.270E-03 0.3920  0.9909 1.514E-22 2.626E+04
8.318E-03 0.3910  0.9908 1.520E-22 2.641E+04
8.366E-03 0.3900  0.9906 1.526E-22 2.656E+04
8.414E-03 0.3889  0.9905 1.533E-22 2.671E+04
8.463E-03 0.3878  0.9904 1.539E-22 2.687E+04
8.511E-03 0.3868  0.9903 1.545E-22 2.702E+04
8.561E-03 0.3857  0.9901 1.551E-22 2.717E+04
8.610E-03 0.3846  0.9900 1.556E-22 2.732E+04
8.660E-03 0.3835  0.9899 1.562E-22 2.747E+04
8.710E-03 0.3824  0.9898 1.568E-22 2.763E+04
8.760E-03 0.3813  0.9896 1.574E-22 2.778E+04
8.810E-03 0.3802  0.9895 1.580E-22 2.793E+04
8.861E-03 0.3791  0.9894 1.585E-22 2.808E+04
8.913E-03 0.3780  0.9892 1.591E-22 2.823E+04
8.964E-03 0.3769  0.9891 1.597E-22 2.838E+04
9.016E-03 0.3758  0.9890 1.602E-22 2.853E+04
9.068E-03 0.3746  0.9888 1.608E-22 2.868E+04
9.120E-03 0.3735  0.9887 1.613E-22 2.882E+04
9.173E-03 0.3724  0.9886 1.618E-22 2.897E+04
9.226E-03 0.3713  0.9884 1.624E-22 2.912E+04
9.279E-03 0.3702  0.9883 1.629E-22 2.926E+04
9.333E-03 0.3691  0.9881 1.634E-22 2.941E+04
9.386E-03 0.3680  0.9880 1.639E-22 2.955E+04
9.441E-03 0.3669  0.9879 1.645E-22 2.970E+04
9.495E-03 0.3658  0.9877 1.650E-22 2.984E+04
9.550E-03 0.3647  0.9876 1.655E-22 2.998E+04
9.605E-03 0.3637  0.9874 1.660E-22 3.012E+04
9.661E-03 0.3626  0.9873 1.664E-22 3.026E+04
9.716E-03 0.3615  0.9871 1.669E-22 3.040E+04
9.772E-03 0.3604  0.9870 1.674E-22 3.054E+04
9.829E-03 0.3593  0.9869 1.679E-22 3.068E+04
9.886E-03 0.3583  0.9867 1.683E-22 3.081E+04
9.943E-03 0.3572  0.9866 1.688E-22 3.095E+04
1.000E-02 0.3561  0.9864 1.692E-22 3.108E+04
1.006E-02 0.3551  0.9863 1.697E-22 3.121E+04
1.012E-02 0.3540  0.9861 1.701E-22 3.134E+04
1.017E-02 0.3530  0.9860 1.705E-22 3.147E+04
1.023E-02 0.3519  0.9858 1.710E-22 3.160E+04
1.029E-02 0.3509  0.9857 1.714E-22 3.173E+04
1.035E-02 0.3498  0.9855 1.718E-22 3.186E+04
