2.455E-03 0.5951  0.9994 6.518E-23 4.833E+03
2.469E-03 0.5970  0.9994 6.630E-23 4.892E+03
2.483E-03 0.5988  0.9994 6.739E-23 4.951E+03
2.497E-03 0.5995  0.9994 6.825E-23 5.005E+03
2.512E-03 0.6000  0.9994 6.910E-23 5.061E+03
2.526E-03 0.6004  0.9994 6.996E-23 5.119E+03
2.541E-03 0.6006  0.9994 7.081E-23 5.178E+03
2.556E-03 0.6010  0.9994 7.171E-23 5.239E+03
2.570E-03 0.6010  0.9993 7.256E-23 5.301E+03
2.585E-03 0.6009  0.9993 7.341E-23 5.364E+03
2.600E-03 0.6007  0.9993 7.425E-23 5.429E+03
2.615E-03 0.6006  0.9993 7.514E-23 5.495E+03
2.630E-03 0.6002  0.9993 7.597E-23 5.561E+03
2.645E-03 0.5997  0.9993 7.680E-23 5.629E+03
2.661E-03 0.5991  0.9993 7.763E-23 5.698E+03
2.676E-03 0.5985  0.9993 7.845E-23 5.767E+03
2.692E-03 0.5980  0.9993 7.930E-23 5.837E+03
2.707E-03 0.5972  0.9993 8.010E-23 5.908E+03
2.723E-03 0.5964  0.9993 8.090E-23 5.979E+03
2.738E-03 0.5955  0.9993 8.170E-23 6.051E+03
2.754E-03 0.5947  0.9993 8.252E-23 6.124E+03
2.770E-03 0.5938  0.9992 8.333E-23 6.198E+03
2.786E-03 0.5928  0.9992 8.415E-23 6.273E+03
2.802E-03 0.5918  0.9992 8.496E-23 6.349E+03
2.818E-03 0.5908  0.9992 8.577E-23 6.426E+03
2.835E-03 0.5899  0.9992 8.660E-23 6.503E+03
2.851E-03 0.5888  0.9992 8.740E-23 6.580E+03
2.867E-03 0.5877  0.9992 8.820E-23 6.658E+03
2.884E-03 0.5866  0.9992 8.899E-23 6.736E+03
2.901E-03 0.5854  0.9992 8.978E-23 6.815E+03
2.917E-03 0.5844  0.9992 9.058E-23 6.893E+03
2.934E-03 0.5832  0.9992 9.135E-23 6.972E+03
2.951E-03 0.5820  0.9992 9.212E-23 7.051E+03
2.968E-03 0.5808  0.9991 9.288E-23 7.129E+03
2.985E-03 0.5796  0.9991 9.365E-23 7.208E+03
3.003E-03 0.5784  0.9991 9.440E-23 7.287E+03
3.020E-03 0.5772  0.9991 9.514E-23 7.365E+03
3.037E-03 0.5760  0.9991 9.588E-23 7.444E+03
3.055E-03 0.5747  0.9991 9.660E-23 7.522E+03
3.073E-03 0.5735  0.9991 9.733E-23 7.601E+03
3.090E-03 0.5723  0.9991 9.804E-23 7.678E+03
3.108E-03 0.5710  0.9991 9.879E-23 7.761E+03
3.126E-03 0.5696  0.9991 9.958E-23 7.848E+03
3.144E-03 0.5682  0.9990 1.004E-22 7.935E+03
3.162E-03 0.5668  0.9990 1.012E-22 8.023E+03
3.181E-03 0.5654  0.9990 1.019E-22 8.111E+03
3.199E-03 0.5640  0.9990 1.027E-22 8.200E+03
3.217E-03 0.5626  0.9990 1.035E-22 8.288E+03
3.236E-03 0.5613  0.9990 1.043E-22 8.376E+03
3.255E-03 0.5599  0.9990 1.050E-22 8.465E+03
