age,snrate,Xi_LyC,Psi_LW,Psi_PE
17.6,0.00028119,6.66328e+42,6.75076,24.7694
17.7,0.000280222,6.51379e+42,6.67816,24.5806
17.8,0.000279254,6.3643e+42,6.60556,24.3918
17.9,0.000278613,6.25514e+42,6.54091,24.2178
18,0.000277971,6.14597e+42,6.47627,24.0437
18.1,0.000277015,6.00858e+42,6.41521,23.8774
18.2,0.000276058,5.87119e+42,6.35415,23.7111
18.3,0.000275108,5.74881e+42,6.29122,23.5424
18.4,0.000274157,5.62643e+42,6.2283,23.3738
18.5,0.000273214,5.50595e+42,6.17067,23.2155
18.6,0.00027227,5.38547e+42,6.11303,23.0572
18.7,0.000271333,5.27665e+42,6.05386,22.8992
18.8,0.000270396,5.16783e+42,5.99468,22.7412
18.9,0.000269465,5.07388e+42,5.94434,22.6003
19,0.000268534,4.97992e+42,5.89399,22.4593
19.1,0.000267918,4.85471e+42,5.83491,22.3054
19.2,0.000267301,4.7295e+42,5.77582,22.1516
19.3,0.000266381,4.61184e+42,5.72193,22.0086
19.4,0.000265461,4.49418e+42,5.66804,21.8655
19.5,0.000264547,4.41413e+42,5.61439,21.7181
19.6,0.000263633,4.33407e+42,5.56074,21.5706
19.7,0.000262726,4.24028e+42,5.51327,21.4395
19.8,0.000261818,4.14648e+42,5.4658,21.3085
19.9,0.000260917,4.0775e+42,5.41875,21.1776
20,0.000260016,4.00852e+42,5.3717,21.0467
20.1,0.000259419,3.92062e+42,5.32415,20.9153
20.2,0.000258821,3.83272e+42,5.27661,20.784
20.3,0.00025793,3.76876e+42,5.22933,20.6536
20.4,0.00025704,3.70479e+42,5.18206,20.5232
20.5,0.000256155,3.625e+42,5.13835,20.4021
20.6,0.00025527,3.54521e+42,5.09464,20.281
20.7,0.000254684,3.49325e+42,5.05975,20.1787
20.8,0.000254097,3.44129e+42,5.02486,20.0764
20.9,0.000253223,3.39116e+42,4.97979,19.953
21,0.000252348,3.34104e+42,4.93472,19.8296
21.1,0.00025148,3.27119e+42,4.89248,19.7103
21.2,0.000250611,3.20134e+42,4.85025,19.5909
21.3,0.000250035,3.15282e+42,4.80905,19.4784
21.4,0.000249459,3.1043e+42,4.76785,19.3659
21.5,0.000248601,3.05137e+42,4.73315,19.2657
21.6,0.000247742,2.99843e+42,4.69845,19.1655
21.7,0.000246889,2.94737e+42,4.65821,19.0543
21.8,0.000246037,2.8963e+42,4.61797,18.9432
21.9,0.000245472,2.85807e+42,4.5836,18.8419
22,0.000244906,2.81983e+42,4.54923,18.7406
22.1,0.000244344,2.75688e+42,4.51194,18.6382
22.2,0.000243781,2.69394e+42,4.47464,18.5358
22.3,0.000242942,2.65039e+42,4.43668,18.4305
22.4,0.000242103,2.60685e+42,4.39871,18.3251
22.5,0.000241547,2.5543e+42,4.36397,18.2277
22.6,0.000240991,2.50175e+42,4.32924,18.1302
22.7,0.000240161,2.46601e+42,4.29852,18.0447
22.8,0.000239332,2.43026e+42,4.26781,17.9592
22.9,0.000238782,2.3828e+42,4.23099,17.8547
23,0.000238232,2.33535e+42,4.19416,17.7502
23.1,0.000237412,2.2957e+42,4.16461,17.6646
23.2,0.000236592,2.25605e+42,4.13505,17.579
23.3,0.000236048,2.21678e+42,4.10038,17.4841
23.4,0.000235505,2.17751e+42,4.06571,17.3892
23.5,0.000234964,2.13567e+42,4.03441,17.3007
23.6,0.000234423,2.09383e+42,4.00312,17.2122
23.7,0.000233884,2.05722e+42,3.97537,17.1323
23.8,0.000233346,2.0206e+42,3.94762,17.0525
23.9,0.000232543,1.9884e+42,3.91513,16.9637
24,0.000231739,1.9562e+42,3.88263,16.8749
24.1,0.000231207,1.93302e+42,3.861,16.8102
24.2,0.000230675,1.90983e+42,3.83936,16.7456
24.3,0.000229881,1.88395e+42,3.81045,16.6642
24.4,0.000229087,1.85807e+42,3.78153,16.5829
24.5,0.00022856,1.82851e+42,3.75194,16.4986
24.6,0.000228034,1.79896e+42,3.72235,16.4142
24.7,0.00022751,1.76895e+42,3.6983,16.3453
24.8,0.000226986,1.73895e+42,3.67425,16.2763
24.9,0.000226465,1.71221e+42,3.64329,16.1928
25,0.000225944,1.68547e+42,3.61233,16.1093
25.1,0.000225425,1.66175e+42,3.59073,16.0482
25.2,0.000224905,1.63803e+42,3.56913,15.9871
25.3,0.000224131,1.61568e+42,3.54193,15.9111
25.4,0.000223357,1.59334e+42,3.51473,15.8352
25.5,0.000222844,1.56624e+42,3.4908,15.7712
25.6,0.000222331,1.53914e+42,3.46687,15.7073
25.7,0.00022182,1.5163e+42,3.44387,15.6436
25.8,0.000221309,1.49346e+42,3.42087,15.58
25.9,0.000220801,1.47028e+42,3.39557,15.5126
26,0.000220293,1.4471e+42,3.37027,15.4453
26.1,0.000219787,1.42656e+42,3.34763,15.3859
26.2,0.00021928,1.40602e+42,3.32498,15.3266
26.3,0.000218777,1.37694e+42,3.30068,15.2624
26.4,0.000218273,1.34786e+42,3.27638,15.1982
26.5,0.000217772,1.33027e+42,3.25288,15.1385
26.6,0.00021727,1.31268e+42,3.22939,15.0787
26.7,0.000216771,1.28894e+42,3.20525,15.013
26.8,0.000216272,1.26521e+42,3.18112,14.9474
26.9,0.000215775,1.24439e+42,3.15842,14.8844
27,0.000215278,1.22357e+42,3.13572,14.8214
27.1,0.000214784,1.2035e+42,3.10835,14.7461
27.2,0.000214289,1.18343e+42,3.08099,14.6708
27.3,0.000213797,1.16629e+42,3.05976,14.612
27.4,0.000213304,1.14916e+42,3.03853,14.5532
27.5,0.00021257,1.12658e+42,3.01538,14.4893
27.6,0.000211836,1.104e+42,2.99223,14.4254
27.7,0.000211349,1.08647e+42,2.96734,14.3562
27.8,0.000210863,1.06894e+42,2.94244,14.287
27.9,0.00021062,1.04864e+42,2.9192,14.2203
28,0.000210378,1.02834e+42,2.89596,14.1536
28.1,0.000209895,1.01767e+42,2.88127,14.1085
28.2,0.000209411,1.00701e+42,2.86659,14.0635
28.3,0.00020893,9.92096e+41,2.84749,14.0124
28.4,0.000208449,9.77183e+41,2.8284,13.9612
28.5,0.000207732,9.67634e+41,2.80706,13.8968
28.6,0.000207014,9.58084e+41,2.78573,13.8324
28.7,0.000206776,9.40326e+41,2.76353,13.7684
28.8,0.000206538,9.22568e+41,2.74134,13.7044
28.9,0.000205827,9.06373e+41,2.72091,13.6478
29,0.000205116,8.90177e+41,2.70047,13.5913
29.1,0.00020488,8.77389e+41,2.67944,13.5356
29.2,0.000204644,8.646e+41,2.6584,13.48
29.3,0.000204174,8.56722e+41,2.64158,13.4217
29.4,0.000203704,8.48844e+41,2.62475,13.3635
29.5,0.000203236,8.32142e+41,2.60496,13.315
29.6,0.000202768,8.15439e+41,2.58518,13.2666
29.7,0.000202302,8.04709e+41,2.56593,13.2106
29.8,0.000201837,7.93979e+41,2.54669,13.1547
29.9,0.000201373,7.86908e+41,2.53176,13.0992
30,0.000200909,7.79838e+41,2.51683,13.0438
30.1,0.000200448,7.61612e+41,2.49597,12.9752
30.2,0.000199986,7.43387e+41,2.47511,12.9065
30.3,0.000203262,7.29881e+41,2.45767,12.8555
30.4,0.000206538,7.16375e+41,2.44022,12.8044
30.5,0.000207975,7.11633e+41,2.42325,12.7402
30.6,0.000209411,7.06892e+41,2.40628,12.6761
30.7,0.00020917,6.92937e+41,2.3884,12.6116
