Title: Ion-by-Ion Cooling Efficiencies
Authors: Orly Gnat and Gary Ferland
Table: Ion-by-Ion Cooling Efficiencies for Lithium
================================================================================
Byte-by-byte Description of file: datafile1C.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  8 A8     K       Temperature  Temperature (column 1)
  10- 17 A8     ---     Li{0}         Ionic Cooling efficiency (column 2)
  19- 26 A8     ---     Li{+}         Ionic Cooling efficiency (column 3)
  28- 35 A8     ---     Li{2+}        Ionic Cooling efficiency (column 4)
  37- 44 A8     ---     Li{3+}        Ionic Cooling efficiency (column 5)
  46- 53 A8     ---     Li{CIE}       CIE Cooling efficiency (column 6)
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
4.17e+07 2.09e-19 6.06e-19 3.20e-19 1.09e-22 1.10e-22
4.37e+07 2.04e-19 6.00e-19 3.17e-19 1.11e-22 1.12e-22
4.57e+07 2.00e-19 5.93e-19 3.13e-19 1.12e-22 1.13e-22
4.79e+07 1.95e-19 5.87e-19 3.10e-19 1.14e-22 1.15e-22
5.01e+07 1.91e-19 5.81e-19 3.07e-19 1.16e-22 1.16e-22
5.25e+07 1.87e-19 5.75e-19 3.03e-19 1.17e-22 1.18e-22
5.50e+07 1.83e-19 5.69e-19 3.00e-19 1.18e-22 1.19e-22
5.75e+07 1.79e-19 5.63e-19 2.97e-19 1.20e-22 1.21e-22
6.03e+07 1.75e-19 5.57e-19 2.93e-19 1.21e-22 1.22e-22
6.31e+07 1.71e-19 5.51e-19 2.90e-19 1.22e-22 1.23e-22
6.61e+07 1.67e-19 5.45e-19 2.87e-19 1.23e-22 1.24e-22
6.92e+07 1.64e-19 5.39e-19 2.84e-19 1.25e-22 1.25e-22
7.24e+07 1.60e-19 5.33e-19 2.80e-19 1.26e-22 1.26e-22
7.59e+07 1.57e-19 5.27e-19 2.77e-19 1.27e-22 1.27e-22
7.94e+07 1.54e-19 5.21e-19 2.74e-19 1.27e-22 1.28e-22
8.32e+07 1.50e-19 5.15e-19 2.71e-19 1.28e-22 1.29e-22
8.71e+07 1.47e-19 5.09e-19 2.68e-19 1.29e-22 1.29e-22
9.12e+07 1.44e-19 5.03e-19 2.65e-19 1.29e-22 1.30e-22
9.55e+07 1.41e-19 4.97e-19 2.62e-19 1.30e-22 1.30e-22
1.00e+08 1.38e-19 4.91e-19 2.59e-19 1.30e-22 1.31e-22
