Title: Ion-by-Ion Cooling Efficiencies
Authors: Orly Gnat and Gary Ferland
Table: Ion-by-Ion Cooling Efficiencies for Helium
================================================================================
Byte-by-byte Description of file: datafile1B.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  8 A8     K       Temperature  Temperature (column 1)
  10- 17 A8     ---     He{0}         Ionic Cooling efficiency (column 2)
  19- 26 A8     ---     He{+}         Ionic Cooling efficiency (column 3)
  28- 35 A8     ---     He{2+}        Ionic Cooling efficiency (column 4)
  37- 44 A8     ---     He{CIE}       CIE Cooling efficiency (column 5)
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
3.32e+06 1.23e-18 5.52e-19 1.79e-23 2.07e-23
3.49e+06 1.23e-18 5.54e-19 1.83e-23 2.09e-23
3.68e+06 1.23e-18 5.56e-19 1.86e-23 2.11e-23
3.87e+06 1.23e-18 5.58e-19 1.89e-23 2.13e-23
4.07e+06 1.22e-18 5.60e-19 1.93e-23 2.14e-23
4.29e+06 1.22e-18 5.61e-19 1.96e-23 2.17e-23
4.51e+06 1.22e-18 5.61e-19 1.99e-23 2.19e-23
4.75e+06 1.21e-18 5.61e-19 2.03e-23 2.21e-23
5.00e+06 1.21e-18 5.61e-19 2.07e-23 2.24e-23
5.01e+06 1.21e-18 5.61e-19 2.07e-23 2.24e-23
5.25e+06 1.20e-18 5.61e-19 2.10e-23 2.26e-23
5.50e+06 1.20e-18 5.60e-19 2.13e-23 2.29e-23
5.75e+06 1.19e-18 5.59e-19 2.17e-23 2.31e-23
6.03e+06 1.19e-18 5.58e-19 2.20e-23 2.34e-23
6.31e+06 1.18e-18 5.57e-19 2.24e-23 2.36e-23
6.61e+06 1.17e-18 5.55e-19 2.27e-23 2.39e-23
6.92e+06 1.16e-18 5.53e-19 2.31e-23 2.42e-23
7.24e+06 1.16e-18 5.51e-19 2.34e-23 2.45e-23
7.59e+06 1.15e-18 5.48e-19 2.38e-23 2.48e-23
7.94e+06 1.14e-18 5.46e-19 2.41e-23 2.51e-23
8.32e+06 1.13e-18 5.43e-19 2.45e-23 2.54e-23
8.71e+06 1.12e-18 5.40e-19 2.49e-23 2.58e-23
9.12e+06 1.11e-18 5.37e-19 2.53e-23 2.61e-23
9.55e+06 1.10e-18 5.34e-19 2.57e-23 2.64e-23
1.00e+07 1.09e-18 5.30e-19 2.61e-23 2.68e-23
1.05e+07 1.08e-18 5.26e-19 2.66e-23 2.72e-23
1.10e+07 1.07e-18 5.23e-19 2.71e-23 2.77e-23
1.15e+07 1.06e-18 5.19e-19 2.76e-23 2.82e-23
1.20e+07 1.05e-18 5.15e-19 2.81e-23 2.87e-23
1.26e+07 1.04e-18 5.11e-19 2.87e-23 2.92e-23
1.32e+07 1.02e-18 5.06e-19 2.92e-23 2.97e-23
1.38e+07 1.01e-18 5.02e-19 2.98e-23 3.03e-23
1.45e+07 1.00e-18 4.98e-19 3.04e-23 3.08e-23
1.51e+07 9.91e-19 4.93e-19 3.09e-23 3.14e-23
1.58e+07 9.79e-19 4.88e-19 3.15e-23 3.19e-23
1.66e+07 9.68e-19 4.84e-19 3.21e-23 3.25e-23
1.74e+07 9.56e-19 4.79e-19 3.27e-23 3.31e-23
1.82e+07 9.44e-19 4.74e-19 3.33e-23 3.37e-23
1.91e+07 9.33e-19 4.69e-19 3.40e-23 3.43e-23
2.00e+07 9.21e-19 4.65e-19 3.46e-23 3.49e-23
2.09e+07 9.09e-19 4.60e-19 3.52e-23 3.55e-23
2.19e+07 8.97e-19 4.55e-19 3.58e-23 3.61e-23
2.29e+07 8.86e-19 4.50e-19 3.65e-23 3.67e-23
2.40e+07 8.74e-19 4.45e-19 3.71e-23 3.74e-23
2.51e+07 8.62e-19 4.40e-19 3.78e-23 3.80e-23
2.63e+07 8.51e-19 4.35e-19 3.84e-23 3.86e-23
2.75e+07 8.39e-19 4.30e-19 3.91e-23 3.93e-23
2.88e+07 8.28e-19 4.25e-19 3.97e-23 3.99e-23
3.02e+07 8.16e-19 4.20e-19 4.04e-23 4.05e-23
3.16e+07 8.05e-19 4.15e-19 4.10e-23 4.12e-23
3.31e+07 7.94e-19 4.10e-19 4.18e-23 4.20e-23
3.47e+07 7.83e-19 4.05e-19 4.26e-23 4.28e-23
3.63e+07 7.71e-19 4.00e-19 4.34e-23 4.35e-23
3.80e+07 7.60e-19 3.95e-19 4.42e-23 4.43e-23
3.98e+07 7.49e-19 3.90e-19 4.50e-23 4.51e-23
4.17e+07 7.39e-19 3.85e-19 4.58e-23 4.59e-23
4.37e+07 7.28e-19 3.80e-19 4.65e-23 4.66e-23
4.57e+07 7.17e-19 3.75e-19 4.73e-23 4.74e-23
4.79e+07 7.07e-19 3.70e-19 4.80e-23 4.81e-23
5.01e+07 6.96e-19 3.66e-19 4.87e-23 4.88e-23
5.25e+07 6.86e-19 3.61e-19 4.94e-23 4.95e-23
5.50e+07 6.75e-19 3.56e-19 5.01e-23 5.02e-23
5.75e+07 6.65e-19 3.52e-19 5.07e-23 5.08e-23
6.03e+07 6.55e-19 3.47e-19 5.14e-23 5.14e-23
6.31e+07 6.45e-19 3.42e-19 5.20e-23 5.20e-23
6.61e+07 6.36e-19 3.38e-19 5.25e-23 5.26e-23
6.92e+07 6.26e-19 3.33e-19 5.31e-23 5.31e-23
7.24e+07 6.16e-19 3.29e-19 5.36e-23 5.36e-23
7.59e+07 6.07e-19 3.24e-19 5.41e-23 5.41e-23
7.94e+07 5.98e-19 3.20e-19 5.45e-23 5.45e-23
8.32e+07 5.88e-19 3.16e-19 5.49e-23 5.49e-23
8.71e+07 5.79e-19 3.11e-19 5.53e-23 5.53e-23
9.12e+07 5.70e-19 3.07e-19 5.56e-23 5.56e-23
9.55e+07 5.61e-19 3.03e-19 5.59e-23 5.60e-23
1.00e+08 5.53e-19 2.99e-19 5.62e-23 5.62e-23
