Title: Ion-by-Ion Cooling Efficiencies
Authors: Orly Gnat and Gary Ferland
Table: Ion-by-Ion Cooling Efficiencies for Nitrogen
================================================================================
Byte-by-byte Description of file: datafile1G.txt
--------------------------------------------------------------------------------
   Bytes Format Units Label        Explanations
--------------------------------------------------------------------------------
   1-  8 A8     K       Temperature  Temperature (column 1)
  10- 17 A8     ---     N{0}         Ionic Cooling efficiency (column 2)
  19- 26 A8     ---     N{+}         Ionic Cooling efficiency (column 3)
  28- 35 A8     ---     N{2+}        Ionic Cooling efficiency (column 4)
  37- 44 A8     ---     N{3+}        Ionic Cooling efficiency (column 5)
  46- 53 A8     ---     N{4+}        Ionic Cooling efficiency (column 6)
  55- 62 A8     ---     N{5+}        Ionic Cooling efficiency (column 7)
  64- 71 A8     ---     N{6+}        Ionic Cooling efficiency (column 8)
  73- 80 A8     ---     N{7+}        Ionic Cooling efficiency (column 9)
  82- 89 A8     ---     N{CIE}       CIE Cooling efficiency (column 10)
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
2.98e+05 1.33e-18 1.69e-18 1.02e-18 1.02e-18 7.05e-19 2.44e-23 1.17e-22 1.86e-22 3.97e-20
3.13e+05 1.38e-18 1.74e-18 1.05e-18 1.04e-18 7.08e-19 2.51e-23 1.18e-22 1.89e-22 3.06e-20
3.30e+05 1.43e-18 1.80e-18 1.08e-18 1.06e-18 7.11e-19 2.60e-23 1.20e-22 1.92e-22 2.39e-20
3.47e+05 1.49e-18 1.86e-18 1.11e-18 1.07e-18 7.14e-19 2.71e-23 1.22e-22 1.96e-22 1.89e-20
3.66e+05 1.54e-18 1.91e-18 1.13e-18 1.09e-18 7.16e-19 2.83e-23 1.24e-22 1.99e-22 1.51e-20
3.85e+05 1.60e-18 1.97e-18 1.16e-18 1.10e-18 7.18e-19 2.99e-23 1.26e-22 2.02e-22 1.22e-20
4.05e+05 1.65e-18 2.02e-18 1.19e-18 1.11e-18 7.20e-19 3.22e-23 1.28e-22 2.05e-22 9.90e-21
4.26e+05 1.71e-18 2.08e-18 1.22e-18 1.13e-18 7.22e-19 3.55e-23 1.30e-22 2.09e-22 8.13e-21
4.49e+05 1.77e-18 2.13e-18 1.24e-18 1.14e-18 7.24e-19 4.04e-23 1.32e-22 2.12e-22 6.74e-21
4.72e+05 1.82e-18 2.18e-18 1.27e-18 1.15e-18 7.26e-19 4.79e-23 1.35e-22 2.15e-22 5.64e-21
4.97e+05 1.88e-18 2.24e-18 1.29e-18 1.16e-18 7.27e-19 5.92e-23 1.39e-22 2.19e-22 4.77e-21
5.23e+05 1.94e-18 2.29e-18 1.32e-18 1.18e-18 7.29e-19 7.62e-23 1.43e-22 2.22e-22 4.08e-21
5.51e+05 2.00e-18 2.34e-18 1.34e-18 1.19e-18 7.31e-19 1.01e-22 1.49e-22 2.26e-22 3.53e-21
5.80e+05 2.05e-18 2.39e-18 1.37e-18 1.20e-18 7.32e-19 1.37e-22 1.57e-22 2.29e-22 3.10e-21
6.10e+05 2.11e-18 2.43e-18 1.39e-18 1.21e-18 7.33e-19 1.89e-22 1.69e-22 2.33e-22 2.78e-21
6.43e+05 2.17e-18 2.48e-18 1.42e-18 1.22e-18 7.35e-19 2.61e-22 1.86e-22 2.37e-22 2.55e-21
6.76e+05 2.23e-18 2.52e-18 1.44e-18 1.23e-18 7.36e-19 3.60e-22 2.10e-22 2.40e-22 2.40e-21
7.12e+05 2.29e-18 2.57e-18 1.46e-18 1.24e-18 7.38e-19 4.92e-22 2.44e-22 2.44e-22 2.33e-21
7.49e+05 2.34e-18 2.61e-18 1.49e-18 1.25e-18 7.39e-19 6.67e-22 2.90e-22 2.48e-22 2.34e-21
7.89e+05 2.40e-18 2.65e-18 1.51e-18 1.26e-18 7.40e-19 8.95e-22 3.55e-22 2.51e-22 2.43e-21
8.30e+05 2.46e-18 2.69e-18 1.53e-18 1.27e-18 7.42e-19 1.19e-21 4.41e-22 2.55e-22 2.60e-21
8.74e+05 2.51e-18 2.73e-18 1.55e-18 1.28e-18 7.43e-19 1.55e-21 5.56e-22 2.59e-22 2.86e-21
9.20e+05 2.57e-18 2.76e-18 1.57e-18 1.29e-18 7.45e-19 2.01e-21 7.07e-22 2.63e-22 3.19e-21
9.69e+05 2.62e-18 2.79e-18 1.59e-18 1.30e-18 7.46e-19 2.57e-21 9.01e-22 2.67e-22 3.61e-21
1.02e+06 2.68e-18 2.83e-18 1.60e-18 1.31e-18 7.48e-19 3.24e-21 1.15e-21 2.71e-22 4.10e-21
1.07e+06 2.73e-18 2.86e-18 1.62e-18 1.32e-18 7.49e-19 4.04e-21 1.45e-21 2.75e-22 4.65e-21
