 20061204
12 23       298         1  1.02e-09      0.81      0.13
12 24     343.6         1  8.28e-10     0.809      0.13
12 25       392         1  6.61e-10     0.762      0.14
12 26       444         1  5.34e-10     0.718      0.15
12 27       499         1  4.48e-10     0.718      0.15
12 28       557         1  4.48e-10     0.718      0.15
12 29       619         1  4.48e-10     0.718      0.15
13 13       8.2         1  1.88e-07     0.376      0.25
13 14      19.8         1  5.88e-08     0.537      0.21
13 15      34.8         1  2.14e-08     0.353      0.24
13 16      53.5         1   1.1e-08     0.328      0.25
13 17        75         1  8.73e-09     0.366      0.31
13 18      99.4         1  4.11e-09      0.54      0.17
13 19     127.2         1  2.89e-09     0.548      0.17
13 20     158.1         1  2.18e-09     0.612      0.15
13 21     192.1         1   2.1e-09     0.722      0.16
13 22     230.5         1  1.65e-09     0.764      0.15
13 23       271         1   1.3e-09     0.764      0.15
13 24     314.4         1  1.04e-09     0.761      0.15
13 25       361         1  8.66e-10     0.805      0.14
13 26       411         1  7.12e-10     0.803      0.14
13 27       464         1  6.09e-10      0.85      0.13
13 28       520         1  6.09e-10      0.85      0.13
13 29       579         1  6.09e-10      0.85      0.13
14 14      10.5         1  1.99e-07     0.535      0.24
14 15      23.3         1  6.81e-08     0.693      0.21
14 16      39.6         1   3.4e-08     0.865      0.18
14 17      52.3         0     3e-08      1.03      0.25
14 18      82.7         1  6.95e-09     0.494      0.18
14 19     108.8         1  4.72e-09     0.526      0.17
14 20       138         1   3.4e-09      0.56      0.16
14 21     170.4         1  2.99e-09     0.693      0.17
14 22     205.8         1  2.24e-09     0.711      0.17
14 23     244.4         1  1.76e-09     0.732      0.16
14 24       286         1  1.39e-09     0.735      0.16
14 25       331         1  1.14e-09     0.773      0.15
14 26       379         1  9.54e-10     0.813      0.14
14 27       430         1  8.08e-10     0.856      0.13
14 28       484         1  8.08e-10     0.856      0.13
14 29       542         1  8.08e-10     0.856      0.13
15 15      10.4         1  5.49e-08       0.1      0.25
15 16      23.8         1  6.96e-08      0.67       0.2
15 17      40.9         1  3.43e-08     0.834      0.17
15 18      60.9         1  1.94e-08     0.889      0.16
15 19      84.5         1  1.26e-08      1.01      0.14
15 20     110.7         1  5.27e-09     0.561      0.17
15 21     140.8         1  4.95e-09     0.717      0.16
15 22     173.4         1  3.71e-09     0.761      0.15
15 23     209.3         1  2.81e-09     0.759      0.15
15 24     248.3         1  2.23e-09     0.806      0.14
15 25       290         1  1.76e-09     0.805      0.14
15 26       336         1  1.41e-09     0.804      0.14
15 27       384         1  1.16e-09     0.803      0.14
15 28       435         1  1.16e-09     0.803      0.14
15 29       490         1  1.16e-09     0.803      0.14
16 16        13         1  1.69e-07      0.43      0.24
16 17      27.6         1  6.07e-08     0.544      0.21
16 18      45.8         1   1.5e-08     0.433      0.21
16 19      67.3         1  1.72e-08     0.638      0.19
16 20      91.9         1  6.76e-09      0.46      0.15
16 21     119.5         1  7.01e-09     0.638      0.17
16 22     150.6         1  5.11e-09     0.679      0.16
16 23     184.7         1  3.85e-09     0.722      0.15
16 24     221.8         1  2.92e-09     0.719      0.15
16 25     262.1         1  2.34e-09     0.764      0.14
16 26       305         1  1.86e-09     0.762      0.14
16 27       352         1   1.5e-09     0.761      0.14
16 28       401         1   1.5e-09     0.761      0.14
16 29       454         1   1.5e-09     0.761      0.14
17 17      15.8         1  5.99e-08     0.136      0.26
17 18      31.6         1  4.01e-08     0.371      0.22
17 19      50.9         1  2.06e-08     0.418       0.2
17 20      73.5         1     1e-08     0.453      0.15
17 21      99.3         1     1e-08     0.579      0.18
17 22     128.1         1  5.87e-09     0.517      0.17
17 23     160.2         1  5.13e-09     0.657      0.16
17 24     194.5         1  3.91e-09     0.699      0.15
17 25     233.6         1  3.02e-09     0.697      0.15
17 26       275         1  2.41e-09     0.739      0.14
17 27       321         1  1.92e-09     0.738      0.14
17 28     368.8         1  1.92e-09     0.738      0.14
17 29     419.7         1  1.92e-09     0.738      0.14
18 18       4.3         1  2.02e-07     0.272      0.31
18 19      11.9         0  5.22e-08     0.151      0.34
18 20      24.8         1  5.08e-08     0.357      0.24
