# CIE bound-bound cooling efficiency for O (Z=8)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_O0           L_O1           L_O2           L_O3           L_O4           L_O5           L_O6           L_O7           L_O8         
         6.5000   0.000000e+00   2.889728e-24   1.227508e-23   2.899404e-23   5.383073e-23   8.809658e-23   1.291654e-22   1.608930e-22   2.060780e-22
         6.5500   0.000000e+00   3.048343e-24   1.286874e-23   3.029577e-23   5.618351e-23   9.213085e-23   1.354339e-22   1.728097e-22   2.212879e-22
         6.6000   0.000000e+00   3.217233e-24   1.350361e-23   3.167923e-23   5.864729e-23   9.624999e-23   1.417669e-22   1.856067e-22   2.376672e-22
         6.6500   0.000000e+00   3.396958e-24   1.418251e-23   3.315342e-23   6.124356e-23   1.004878e-22   1.482025e-22   1.993094e-22   2.552736e-22
         6.7000   0.000000e+00   3.588110e-24   1.490832e-23   3.472783e-23   6.399408e-23   1.048823e-22   1.547892e-22   2.139247e-22   2.741523e-22
         6.7500   0.000000e+00   3.791317e-24   1.568388e-23   3.641124e-23   6.691748e-23   1.094726e-22   1.615834e-22   2.294365e-22   2.943235e-22
         6.8000   0.000000e+00   4.007240e-24   1.651206e-23   3.821150e-23   7.003275e-23   1.142996e-22   1.686459e-22   2.458016e-22   3.157812e-22
         6.8500   0.000000e+00   4.236592e-24   1.739583e-23   4.013658e-23   7.335994e-23   1.194047e-22   1.760400e-22   2.629478e-22   3.384792e-22
         6.9000   0.000000e+00   4.480128e-24   1.833826e-23   4.219460e-23   7.691750e-23   1.248254e-22   1.838304e-22   2.807766e-22   3.623342e-22
         6.9500   0.000000e+00   4.740501e-24   1.934253e-23   4.439353e-23   8.072200e-23   1.305967e-22   1.920827e-22   2.991700e-22   3.872202e-22
         7.0000   0.000000e+00   5.021394e-24   2.041201e-23   4.674148e-23   8.479029e-23   1.367560e-22   2.008529e-22   3.180001e-22   4.129823e-22
