# CIE bound-bound cooling efficiency for Ca (Z=20)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ca0          L_Ca1          L_Ca2          L_Ca3          L_Ca4          L_Ca5          L_Ca6          L_Ca7          L_Ca8          L_Ca9          L_Ca10         L_Ca11         L_Ca12         L_Ca13         L_Ca14         L_Ca15         L_Ca16         L_Ca17         L_Ca18         L_Ca19         L_Ca20       
         5.0000   0.000000e+00   6.490041e-25   2.523010e-24   4.822649e-24   8.356901e-24   1.281535e-23   1.811634e-23   2.440556e-23   3.159470e-23   3.945208e-23   4.843465e-23   5.687262e-23   6.768311e-23   7.943365e-23   9.212424e-23   1.057549e-22   1.203255e-22   1.358362e-22   1.522870e-22   1.696778e-22   1.880087e-22
         5.0500   0.000000e+00   6.850732e-25   2.699506e-24   5.167208e-24   8.942956e-24   1.370027e-23   1.934651e-23   2.604630e-23   3.369966e-23   4.204292e-23   5.159558e-23   6.024253e-23   7.169359e-23   8.414039e-23   9.758294e-23   1.120212e-22   1.274553e-22   1.438851e-22   1.613106e-22   1.797318e-22   1.991489e-22
         5.1000   0.000000e+00   7.213250e-25   2.883188e-24   5.539108e-24   9.575009e-24   1.465371e-23   2.067020e-23   2.781021e-23   3.596080e-23   4.482209e-23   5.498414e-23   6.381340e-23   7.594170e-23   8.912603e-23   1.033651e-22   1.186589e-22   1.350075e-22   1.524108e-22   1.708688e-22   1.903816e-22   2.109492e-22
         5.1500   0.000000e+00   7.577425e-25   3.072861e-24   5.940566e-24   1.025694e-23   1.568150e-23   2.209538e-23   2.970779e-23   3.839128e-23   4.780525e-23   5.861902e-23   6.782654e-23   8.046719e-23   9.440708e-23   1.094899e-22   1.256899e-22   1.430072e-22   1.614417e-22   1.809934e-22   2.016625e-22   2.234487e-22
         5.2000   0.000000e+00   7.943990e-25   3.267196e-24   6.373906e-24   1.099291e-23   1.678997e-23   2.363073e-23   3.175043e-23   4.100548e-23   5.100946e-23   6.252074e-23   7.211197e-23   8.552976e-23   1.000755e-22   1.159775e-22   1.331375e-22   1.514809e-22   1.710077e-22   1.917180e-22   2.136117e-22   2.366889e-22
         5.2500   0.000000e+00   8.314470e-25   3.464900e-24   6.841516e-24   1.178736e-23   1.798592e-23   2.528565e-23   3.395051e-23   4.381906e-23   5.445330e-23   6.671160e-23   7.669042e-23   9.093605e-23   1.063754e-22   1.229309e-22   1.410264e-22   1.604567e-22   1.811406e-22   2.030780e-22   2.262690e-22   2.507136e-22
         5.3000   0.000000e+00   8.691156e-25   3.664839e-24   7.345818e-24   1.264494e-23   1.927665e-23   2.707033e-23   3.632149e-23   4.684903e-23   5.815710e-23   7.121592e-23   8.158436e-23   9.671226e-23   1.131035e-22   1.306687e-22   1.495923e-22   1.699643e-22   1.918738e-22   2.151111e-22   2.396763e-22   2.655693e-22
         5.3500   0.000000e+00   9.076917e-25   3.866159e-24   7.889123e-24   1.357048e-23   2.066995e-23   2.899573e-23   3.887795e-23   5.011388e-23   6.214303e-23   7.606028e-23   8.681830e-23   1.028868e-22   1.202924e-22   1.389323e-22   1.590178e-22   1.804468e-22   2.032430e-22   2.278572e-22   2.538780e-22   2.813052e-22
         5.4000   0.000000e+00   9.475086e-25   4.068449e-24   8.473544e-24   1.456894e-23   2.217395e-23   3.107360e-23   4.163558e-23   5.363367e-23   6.643514e-23   8.127367e-23   9.241905e-23   1.094906e-22   1.279775e-22   1.477618e-22   1.690849e-22   1.918300e-22   2.158143e-22   2.415016e-22   2.689212e-22   2.979736e-22
         5.4500   0.000000e+00   9.889211e-25   4.271702e-24   9.100761e-24   1.564514e-23   2.379714e-23   3.331653e-23   4.461130e-23   5.743003e-23   7.105960e-23   8.688758e-23   9.841588e-23   1.165576e-22   1.361975e-22   1.572006e-22   1.798425e-22   2.039895e-22   2.294317e-22   2.567013e-22   2.848558e-22   3.156297e-22
         5.5000   0.000000e+00   1.032303e-24   4.476456e-24   9.771784e-24   1.680366e-23   2.554819e-23   3.573771e-23   4.782319e-23   6.152627e-23   7.604480e-23   9.293622e-23   1.048407e-22   1.241248e-22   1.449947e-22   1.672962e-22   1.913438e-22   2.169848e-22   2.439782e-22   2.729336e-22   3.017346e-22   3.343319e-22
         5.5500   0.000000e+00   1.078031e-24   4.683653e-24   1.048674e-23   1.804828e-23   2.743554e-23   3.835093e-23   5.129035e-23   6.594732e-23   8.142138e-23   9.945673e-23   1.117285e-22   1.322326e-22   1.544153e-22   1.781006e-22   2.036471e-22   2.308804e-22   2.595248e-22   2.902773e-22   3.196134e-22   3.541423e-22
         5.6000   0.000000e+00   1.126486e-24   4.894663e-24   1.124451e-23   1.938181e-23   2.946719e-23   4.117028e-23   5.503284e-23   7.071973e-23   8.722237e-23   1.064892e-22   1.191172e-22   1.409250e-22   1.645097e-22   1.896704e-22   2.168158e-22   2.457470e-22   2.761489e-22   3.088178e-22   3.385517e-22   3.751266e-22
         5.6500   0.000000e+00   1.177994e-24   5.111141e-24   1.204272e-23   2.080522e-23   3.164973e-23   4.420972e-23   5.907120e-23   7.587128e-23   9.348313e-23   1.140768e-22   1.270486e-22   1.502502e-22   1.753328e-22   2.020676e-22   2.309193e-22   2.616617e-22   2.939352e-22   3.286483e-22   3.586122e-22   3.973542e-22
         5.7000   0.000000e+00   1.232890e-24   5.335005e-24   1.287753e-23   2.231744e-23   3.398804e-23   4.748249e-23   6.342628e-23   8.143073e-23   1.002414e-22   1.222658e-22   1.355680e-22   1.602608e-22   1.869448e-22   2.153595e-22   2.460333e-22   2.787090e-22   3.129761e-22   3.498706e-22   3.798613e-22   4.208989e-22
         5.7500   0.000000e+00   1.291525e-24   5.568233e-24   1.374396e-23   2.391466e-23   3.648376e-23   5.099989e-23   6.811792e-23   8.742742e-23   1.075366e-22   1.311055e-22   1.447250e-22   1.710143e-22   1.994114e-22   2.296200e-22   2.622405e-22   2.969806e-22   3.333726e-22   3.725962e-22   4.023695e-22   4.458388e-22
         5.8000   0.000000e+00   1.354221e-24   5.812936e-24   1.463611e-23   2.559033e-23   3.913493e-23   5.477063e-23   7.316414e-23   9.388959e-23   1.154099e-22   1.406476e-22   1.545735e-22   1.825732e-22   2.128043e-22   2.449298e-22   2.796312e-22   3.165770e-22   3.552346e-22   3.969465e-22   4.262114e-22   4.722564e-22
         5.8500   0.000000e+00   1.421270e-24   6.071227e-24   1.554788e-23   2.733511e-23   4.193477e-23   5.879837e-23   7.857924e-23   1.008438e-22   1.239032e-22   1.509458e-22   1.651727e-22   1.950058e-22   2.272013e-22   2.613768e-22   2.983043e-22   3.376079e-22   3.786824e-22   4.230540e-22   4.514660e-22   5.002393e-22
         5.9000   0.000000e+00   1.492967e-24   6.345166e-24   1.647326e-23   2.913777e-23   4.487173e-23   6.308139e-23   8.437152e-23   1.083113e-22   1.330574e-22   1.620548e-22   1.765865e-22   2.083868e-22   2.426879e-22   2.790567e-22   3.183671e-22   3.601934e-22   4.038475e-22   4.510635e-22   4.782170e-22   5.298804e-22
         5.9500   0.000000e+00   1.569612e-24   6.636551e-24   1.740757e-23   3.098563e-23   4.792938e-23   6.760997e-23   9.054175e-23   1.163069e-22   1.429109e-22   1.740281e-22   1.888844e-22   2.227968e-22   2.593570e-22   2.980743e-22   3.399370e-22   3.844638e-22   4.308736e-22   4.811335e-22   5.065532e-22   5.612778e-22
         6.0000   0.000000e+00   1.651501e-24   6.947269e-24   1.834731e-23   3.286640e-23   5.108796e-23   7.236692e-23   9.707969e-23   1.248345e-22   1.534955e-22   1.869159e-22   2.021422e-22   2.383240e-22   2.773096e-22   3.185437e-22   3.631422e-22   4.105617e-22   4.599169e-22   5.134367e-22   5.365683e-22   5.945356e-22
         6.0500   0.000000e+00   1.738936e-24   7.279290e-24   1.929136e-23   3.476906e-23   5.432531e-23   7.732669e-23   1.039644e-22   1.338843e-22   1.648344e-22   2.007595e-22   2.164411e-22   2.550637e-22   2.966552e-22   3.405889e-22   3.881223e-22   4.386428e-22   4.911480e-22   5.481609e-22   5.688361e-22   6.297640e-22
         6.1000   0.000000e+00   1.832228e-24   7.634329e-24   2.024050e-23   3.668534e-23   5.761987e-23   8.245811e-23   1.111623e-22   1.434309e-22   1.769352e-22   2.155892e-22   2.318691e-22   2.731188e-22   3.175128e-22   3.643443e-22   4.150286e-22   4.688763e-22   5.247533e-22   5.855121e-22   6.046495e-22   6.686420e-22
