# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         5.0000   0.000000e+00   2.334742e-18   1.845502e-21   6.224498e-21   3.653172e-20   6.795354e-20   7.099426e-20   6.129134e-20   5.244770e-20   9.560768e-20   7.436840e-86   4.381065e-93   0.000000e+00
         5.0500   0.000000e+00   2.471796e-18   3.734293e-21   9.513440e-21   4.386538e-20   8.185398e-20   8.619628e-20   7.876820e-20   7.212142e-20   1.167768e-19   1.380277e-78   4.849079e-85   0.000000e+00
         5.1000   0.000000e+00   2.599122e-18   7.050408e-21   1.446640e-20   5.319794e-20   9.787920e-20   1.044224e-19   1.000097e-19   9.590822e-20   1.387902e-19   4.131536e-72   7.115664e-78   0.000000e+00
         5.1500   0.000000e+00   2.715612e-18   1.250353e-20   2.170589e-20   6.469141e-20   1.158467e-19   1.255858e-19   1.249010e-19   1.235714e-19   1.610004e-19   2.440749e-66   1.724542e-71   0.000000e+00
         5.2000   0.000000e+00   2.820450e-18   2.094978e-20   3.199731e-20   7.847641e-20   1.354769e-19   1.494334e-19   1.530853e-19   1.545940e-19   1.827892e-19   3.397192e-61   8.396217e-66   0.000000e+00
         5.2500   0.000000e+00   2.913100e-18   3.333203e-20   4.622480e-20   9.469476e-20   1.564502e-19   1.755970e-19   1.840051e-19   1.882227e-19   2.036097e-19   1.303768e-56   9.777899e-61   0.000000e+00
         5.3000   0.000000e+00   2.993293e-18   5.058988e-20   6.532001e-20   1.135371e-19   1.784742e-19   2.036734e-19   2.169767e-19   2.235587e-19   2.230155e-19   1.586599e-52   3.182131e-56   0.000000e+00
         5.3500   0.000000e+00   3.060922e-18   7.356728e-20   9.016292e-20   1.352566e-19   2.013451e-19   2.333215e-19   2.512799e-19   2.596482e-19   2.406752e-19   6.931637e-49   3.324406e-52   0.000000e+00
         5.4000   0.000000e+00   3.115865e-18   1.029084e-19   1.214652e-19   1.601489e-19   2.249955e-19   2.643532e-19   2.862558e-19   2.955693e-19   2.563663e-19   1.213826e-45   1.261535e-48   0.000000e+00
         5.4500   0.000000e+00   3.158262e-18   1.389629e-19   1.596535e-19   1.884990e-19   2.495505e-19   2.967855e-19   3.213953e-19   3.305156e-19   2.699774e-19   9.400951e-43   1.941362e-45   0.000000e+00
         5.5000   0.000000e+00   3.188491e-18   1.817224e-19   2.047782e-19   2.205098e-19   2.752741e-19   3.308396e-19   3.563996e-19   3.638671e-19   2.815079e-19   3.518593e-40   1.336501e-42   0.000000e+00
         5.5500   0.000000e+00   3.207096e-18   2.307949e-19   2.564743e-19   2.562318e-19   3.024823e-19   3.669063e-19   3.912023e-19   3.952382e-19   2.910631e-19   6.888197e-38   4.492538e-40   0.000000e+00
         5.6000   0.000000e+00   3.214750e-18   2.854222e-19   3.140260e-19   2.955118e-19   3.314545e-19   4.054553e-19   4.259584e-19   4.244961e-19   2.988457e-19   7.568595e-36   7.971780e-38   0.000000e+00
         5.6500   0.000000e+00   3.212190e-18   3.445340e-19   3.764269e-19   3.379737e-19   3.623252e-19   4.469149e-19   4.609751e-19   4.517424e-19   3.051422e-19   4.970570e-34   8.005207e-36   0.000000e+00
         5.7000   0.000000e+00   3.200154e-18   4.068531e-19   4.424482e-19   3.830304e-19   3.950206e-19   4.915509e-19   4.966107e-19   4.772609e-19   3.102987e-19   2.063533e-32   4.840537e-34   0.000000e+00
         5.7500   0.000000e+00   3.179410e-18   4.710854e-19   5.107267e-19   4.299297e-19   4.292755e-19   5.393920e-19   5.331682e-19   5.014483e-19   3.147020e-19   5.692440e-31   1.862804e-32   0.000000e+00
         5.8000   0.000000e+00   3.150729e-18   5.359434e-19   5.798524e-19   4.778197e-19   4.646728e-19   5.902214e-19   5.708021e-19   5.247317e-19   3.187820e-19   1.090787e-29   4.793600e-31   0.000000e+00
         5.8500   0.000000e+00   3.114959e-18   6.001819e-19   6.484493e-19   5.258170e-19   5.006932e-19   6.435419e-19   6.094650e-19   5.474906e-19   3.229426e-19   1.510470e-28   8.620801e-30   0.000000e+00
