# CIE bound-bound cooling efficiency for Si (Z=14)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Si0          L_Si1          L_Si2          L_Si3          L_Si4          L_Si5          L_Si6          L_Si7          L_Si8          L_Si9          L_Si10         L_Si11         L_Si12         L_Si13         L_Si14       
         4.9500   1.128499e-24   4.350597e-24   2.711781e-23   6.622489e-23   1.909373e-22   3.957120e-22   5.598810e-22   5.302557e-22   1.423635e-21   2.624776e-21   1.955893e-21   1.017728e-20   2.911035e-20   2.971496e-20   0.000000e+00
         5.0000   1.063506e-24   4.274697e-24   2.593153e-23   6.319003e-23   1.814977e-22   3.748659e-22   5.300810e-22   5.018513e-22   1.345597e-21   2.479275e-21   1.849251e-21   9.634626e-21   2.758930e-20   2.806881e-20   0.000000e+00
         5.0500   1.018195e-24   4.224685e-24   2.481353e-23   6.033546e-23   1.726355e-22   3.552437e-22   5.020160e-22   4.750886e-22   1.271996e-21   2.341974e-21   1.748720e-21   9.123599e-21   2.616087e-20   2.651573e-20   0.000000e+00
         5.1000   9.935165e-25   4.201062e-24   2.375907e-23   5.764958e-23   1.643181e-22   3.367772e-22   4.755894e-22   4.498754e-22   1.202586e-21   2.212414e-21   1.653966e-21   8.642461e-21   2.471035e-20   2.505040e-20   0.000000e+00
         5.1500   9.902774e-25   4.204201e-24   2.276375e-23   5.512129e-23   1.565142e-22   3.194020e-22   4.507096e-22   4.261242e-22   1.137132e-21   2.090162e-21   1.564671e-21   8.189564e-21   2.327537e-20   2.366782e-20   0.000000e+00
         5.2000   1.009084e-24   4.234249e-24   2.182344e-23   5.274004e-23   1.491938e-22   3.030567e-22   4.272896e-22   7.288848e-22   1.075413e-21   1.974811e-21   1.480535e-21   7.763350e-21   2.204870e-20   2.236336e-20   0.000000e+00
         5.2500   1.050286e-24   4.291107e-24   2.093412e-23   5.049596e-23   1.423281e-22   2.876829e-22   4.052468e-22   6.900781e-22   1.017219e-21   1.865972e-21   1.401274e-21   7.362338e-21   2.087172e-20   2.113269e-20   0.000000e+00
         5.3000   1.113928e-24   4.374440e-24   2.009199e-23   4.837979e-23   1.358894e-22   2.732248e-22   3.845022e-22   6.535106e-22   9.623509e-22   1.763280e-21   1.326622e-21   6.985130e-21   1.974998e-20   1.997171e-20   0.000000e+00
         5.3500   1.199701e-24   4.483622e-24   1.929359e-23   4.638268e-23   1.298513e-22   2.596293e-22   3.649808e-22   6.190544e-22   9.106203e-22   1.666389e-21   1.256325e-21   6.630395e-21   1.866862e-20   1.887660e-20   0.000000e+00
         5.4000   1.306901e-24   4.617608e-24   1.853596e-23   4.449614e-23   1.241887e-22   2.468454e-22   3.466108e-22   5.865875e-22   8.618482e-22   1.574971e-21   1.190144e-21   6.296873e-21   1.766257e-20   1.784390e-20   0.000000e+00
