# CIE bound-bound cooling efficiency for Fe (Z=26)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Fe0          L_Fe1          L_Fe2          L_Fe3          L_Fe4          L_Fe5          L_Fe6          L_Fe7          L_Fe8          L_Fe9          L_Fe10         L_Fe11         L_Fe12         L_Fe13         L_Fe14         L_Fe15         L_Fe16         L_Fe17         L_Fe18         L_Fe19         L_Fe20         L_Fe21         L_Fe22         L_Fe23         L_Fe24         L_Fe25         L_Fe26       
         4.1000   0.000000e+00   1.864524e-25   7.064125e-25   1.536713e-24   2.674417e-24   4.169249e-24   6.003719e-24   8.171728e-24   1.067328e-23   1.350837e-23   1.667700e-23   2.017917e-23   2.401488e-23   2.818412e-23   3.268691e-23   3.752324e-23   4.269311e-23   4.819652e-23   5.403347e-23   6.020396e-23   6.670799e-23   7.354556e-23   8.071666e-23   8.822131e-23   9.605950e-23   1.042312e-22   1.127365e-22
         4.1500   0.000000e+00   1.995895e-25   7.538710e-25   1.636259e-24   2.843129e-24   4.416293e-24   6.359461e-24   8.655934e-24   1.130571e-23   1.430879e-23   1.766517e-23   2.137486e-23   2.543785e-23   2.985414e-23   3.462373e-23   3.974663e-23   4.522284e-23   5.105234e-23   5.723515e-23   6.377127e-23   7.066068e-23   7.790340e-23   8.549943e-23   9.344875e-23   1.017514e-22   1.104073e-22   1.194166e-22
         4.2000   0.000000e+00   2.137612e-25   8.048896e-25   1.742891e-24   3.023346e-24   4.677974e-24   6.736283e-24   9.168830e-24   1.197561e-23   1.515664e-23   1.871190e-23   2.264140e-23   2.694513e-23   3.162311e-23   3.667532e-23   4.210177e-23   4.790246e-23   5.407739e-23   6.062655e-23   6.754995e-23   7.484759e-23   8.251947e-23   9.056559e-23   9.898594e-23   1.077805e-22   1.169494e-22   1.264924e-22
         4.2500   0.000000e+00   2.290542e-25   8.597708e-25   1.857186e-24   3.215950e-24   4.971250e-24   7.135433e-24   9.712117e-24   1.268521e-23   1.605472e-23   1.982065e-23   2.398298e-23   2.854173e-23   3.349689e-23   3.884847e-23   4.459646e-23   5.074086e-23   5.728167e-23   6.421890e-23   7.155254e-23   7.928259e-23   8.740906e-23   9.593193e-23   1.048512e-22   1.141669e-22   1.238790e-22   1.339876e-22
         4.3000   0.000000e+00   2.455614e-25   9.188441e-25   1.979771e-24   3.421898e-24   5.285259e-24   7.558234e-24   1.028760e-23   1.343686e-23   1.700603e-23   2.099509e-23   2.540406e-23   3.023294e-23   3.548171e-23   4.115039e-23   4.723896e-23   5.374744e-23   6.067582e-23   6.802411e-23   7.579229e-23   8.398038e-23   9.258837e-23   1.016163e-22   1.110641e-22   1.209317e-22   1.312193e-22   1.419268e-22
         4.3500   0.000000e+00   2.633806e-25   9.824672e-25   2.111334e-24   3.642237e-24   5.620729e-24   8.020438e-24   1.089717e-23   1.423304e-23   1.801370e-23   2.223913e-23   2.690935e-23   3.202435e-23   3.758413e-23   4.358870e-23   5.003805e-23   5.693218e-23   6.427109e-23   7.205479e-23   8.028327e-23   8.895653e-23   9.807457e-23   1.076374e-22   1.176450e-22   1.280974e-22   1.389946e-22   1.503365e-22
         4.4000   0.000000e+00   2.826142e-25   1.051029e-24   2.252626e-24   3.878111e-24   5.979304e-24   8.526057e-24   1.154287e-23   1.507641e-23   1.908108e-23   2.355688e-23   2.850383e-23   3.392191e-23   3.981113e-23   4.617149e-23   5.300299e-23   6.030562e-23   6.807939e-23   7.632430e-23   8.504035e-23   9.422754e-23   1.038859e-22   1.140153e-22   1.246159e-22   1.356877e-22   1.472305e-22   1.592445e-22
         4.4500   0.000000e+00   3.033672e-25   1.124951e-24   2.404464e-24   4.130770e-24   6.362780e-24   9.066123e-24   1.224798e-23   1.596974e-23   2.021170e-23   2.495272e-23   3.019279e-23   3.593191e-23   4.217009e-23   4.890733e-23   5.614361e-23   6.387896e-23   7.211335e-23   8.084680e-23   9.007931e-23   9.981087e-23   1.100415e-22   1.207712e-22   1.319999e-22   1.437276e-22   1.559545e-22   1.686804e-22
         4.5000   0.000000e+00   3.257452e-25   1.204687e-24   2.567739e-24   4.401576e-24   6.773116e-24   9.643266e-24   1.302004e-23   1.691601e-23   2.140932e-23   2.643126e-23   3.198182e-23   3.806101e-23   4.466883e-23   5.180527e-23   5.947033e-23   6.766402e-23   7.638634e-23   8.563728e-23   9.541684e-23   1.057250e-22   1.165618e-22   1.279273e-22   1.398214e-22   1.522440e-22   1.651954e-22   1.786753e-22
         4.5500   0.000000e+00   3.498484e-25   1.290727e-24   2.743427e-24   4.692015e-24   7.212456e-24   1.026035e-23   1.384470e-23   1.797140e-23   2.267790e-23   2.799741e-23   3.387686e-23   4.031627e-23   4.731562e-23   5.487492e-23   6.299417e-23   7.167337e-23   8.091251e-23   9.071160e-23   1.010706e-22   1.119896e-22   1.234686e-22   1.355075e-22   1.481063e-22   1.612651e-22   1.749838e-22   1.892625e-22
