# CIE bound-bound cooling efficiency for Ne (Z=10)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ne0          L_Ne1          L_Ne2          L_Ne3          L_Ne4          L_Ne5          L_Ne6          L_Ne7          L_Ne8          L_Ne9          L_Ne10       
         5.7000   1.320831e-19   4.265420e-19   6.688629e-19   4.116433e-19   8.384652e-19   7.804898e-19   6.970925e-19   4.288309e-19   1.086811e-21   3.232414e-21   3.486830e-21
         5.7500   1.416939e-19   4.465219e-19   7.139268e-19   4.198611e-19   9.071403e-19   8.347712e-19   7.306191e-19   4.372575e-19   1.051066e-21   3.086641e-21   3.318332e-21
         5.8000   1.505465e-19   4.623657e-19   7.561316e-19   4.262269e-19   9.743175e-19   8.886760e-19   7.630277e-19   4.460452e-19   1.018167e-21   2.942481e-21   3.160532e-21
         5.8500   1.584191e-19   4.741114e-19   7.952467e-19   4.308942e-19   1.039045e-18   9.416182e-19   7.942448e-19   4.552730e-19   9.880601e-22   2.812439e-21   3.012914e-21
         5.9000   1.650812e-19   4.819131e-19   8.311363e-19   4.340277e-19   1.100483e-18   9.926939e-19   8.240847e-19   4.649126e-19   9.610462e-22   2.690145e-21   2.874967e-21
         5.9500   1.702591e-19   4.860131e-19   8.637397e-19   4.357935e-19   1.157923e-18   1.039311e-18   8.522755e-19   4.748536e-19   9.385384e-22   2.576170e-21   2.746207e-21
         6.0000   1.738384e-19   4.867154e-19   8.930611e-19   4.363520e-19   1.210795e-18   1.078525e-18   8.784927e-19   4.849202e-19   9.248385e-22   2.472187e-21   2.626176e-21
         6.0500   1.758406e-19   4.843624e-19   9.191564e-19   4.358521e-19   1.258666e-18   1.107934e-18   9.024130e-19   4.948758e-19   9.306227e-22   2.374557e-21   2.514443e-21
         6.1000   1.763714e-19   4.793155e-19   9.421061e-19   4.344282e-19   1.301237e-18   1.125828e-18   9.237800e-19   5.045082e-19   9.787285e-22   2.296962e-21   2.410611e-21
         6.1500   1.755835e-19   4.719390e-19   9.620039e-19   4.321986e-19   1.338317e-18   1.131249e-18   9.423920e-19   5.137007e-19   1.111908e-21   2.247832e-21   2.314303e-21
         6.2000   1.736509e-19   4.625884e-19   9.789497e-19   4.292651e-19   1.369786e-18   1.123981e-18   9.580982e-19   5.223940e-19   1.400987e-21   2.249770e-21   2.225165e-21
         6.2500   1.707519e-19   4.516013e-19   9.930446e-19   4.257140e-19   1.395637e-18   1.104473e-18   9.707977e-19   5.305235e-19   1.950729e-21   2.339890e-21   2.142886e-21
         6.3000   1.670584e-19   4.392914e-19   1.004389e-18   4.216176e-19   1.415974e-18   1.073766e-18   9.804369e-19   5.380183e-19   2.900646e-21   2.571089e-21   2.067187e-21
         6.3500   1.627293e-19   4.259449e-19   1.013081e-18   4.170359e-19   1.430980e-18   1.033571e-18   9.870072e-19   5.448688e-19   4.418904e-21   3.016061e-21   1.997811e-21
