# CIE bound-bound cooling efficiency for Si (Z=14)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Si0          L_Si1          L_Si2          L_Si3          L_Si4          L_Si5          L_Si6          L_Si7          L_Si8          L_Si9          L_Si10         L_Si11         L_Si12         L_Si13         L_Si14       
         6.4000   0.000000e+00   3.241196e-18   3.119540e-18   2.110193e-18   1.141658e-18   1.030256e-18   1.068715e-18   9.922790e-19   8.824538e-19   7.403875e-19   5.825230e-19   3.009965e-19   3.080246e-21   6.743236e-21   6.591535e-21
         6.4500   0.000000e+00   3.183990e-18   3.037241e-18   2.063361e-18   1.188721e-18   1.067177e-18   1.111222e-18   1.033623e-18   9.167949e-19   7.635973e-19   5.962673e-19   3.087846e-19   3.116098e-21   6.521785e-21   6.329363e-21
         6.5000   0.000000e+00   3.123651e-18   2.954072e-18   2.014586e-18   1.229521e-18   1.099145e-18   1.148258e-18   1.070471e-18   9.472588e-19   7.841242e-19   6.086036e-19   3.167723e-19   3.263595e-21   6.352582e-21   6.086783e-21
         6.5500   0.000000e+00   3.060599e-18   2.870442e-18   1.965655e-18   1.264034e-18   1.126370e-18   1.179896e-18   1.102669e-18   9.736728e-19   8.018143e-19   6.193308e-19   3.249044e-19   3.596294e-21   6.274099e-21   5.862957e-21
         6.6000   0.000000e+00   2.995235e-18   2.786698e-18   1.915873e-18   1.292383e-18   1.149058e-18   1.206285e-18   1.130167e-18   9.959694e-19   8.165821e-19   6.282938e-19   3.330984e-19   4.213449e-21   6.325802e-21   5.657123e-21
         6.6500   0.000000e+00   2.927939e-18   2.703136e-18   1.865432e-18   1.314805e-18   1.167399e-18   1.227628e-18   1.153002e-18   1.014177e-18   8.284038e-19   6.353844e-19   3.412498e-19   5.235562e-21   6.564937e-21   5.468588e-21
         6.7000   0.000000e+00   2.859066e-18   2.620010e-18   1.814551e-18   1.331616e-18   1.181586e-18   1.244168e-18   1.171284e-18   1.028429e-18   8.373090e-19   6.405396e-19   3.492480e-19   6.795351e-21   7.058387e-21   5.296735e-21
         6.7500   0.000000e+00   2.788950e-18   2.537530e-18   1.763419e-18   1.343191e-18   1.191844e-18   1.256169e-18   1.185174e-18   1.038915e-18   8.433818e-19   6.437391e-19   3.570213e-19   9.025023e-21   7.875916e-21   5.141024e-21
         6.8000   0.000000e+00   2.717902e-18   2.455888e-18   1.712213e-18   1.349965e-18   1.198419e-18   1.263896e-18   1.194877e-18   1.045846e-18   8.467718e-19   6.450029e-19   3.644936e-19   1.204198e-20   9.081276e-21   5.001013e-21
         6.8500   0.000000e+00   2.646209e-18   2.375258e-18   1.661109e-18   1.352376e-18   1.201570e-18   1.267632e-18   1.200639e-18   1.049447e-18   8.476471e-19   6.444486e-19   3.715773e-19   1.593493e-20   1.072294e-20   4.876281e-21
         6.9000   0.000000e+00   2.574135e-18   2.295801e-18   1.610266e-18   1.350843e-18   1.201612e-18   1.267669e-18   1.202779e-18   1.049952e-18   8.461781e-19   6.422774e-19   3.782313e-19   2.075379e-20   1.282662e-20   4.766460e-21
         6.9500   0.000000e+00   2.501925e-18   2.217656e-18   1.559828e-18   1.345763e-18   1.198875e-18   1.264301e-18   1.201612e-18   1.047598e-18   8.425340e-19   6.386603e-19   3.844947e-19   2.650455e-20   1.539059e-20   4.671253e-21
         7.0000   0.000000e+00   2.429799e-18   2.140944e-18   1.509927e-18   1.337500e-18   1.193659e-18   1.257819e-18   1.197431e-18   1.042640e-18   8.368823e-19   6.337357e-19   3.901907e-19   3.315046e-20   1.838483e-20   4.590338e-21
         7.0500   0.000000e+00   2.357958e-18   2.065773e-18   1.460675e-18   1.326392e-18   1.186213e-18   1.248566e-18   1.190507e-18   1.035322e-18   8.294080e-19   6.276178e-19   3.952438e-19   4.061790e-20   2.175389e-20   4.523346e-21
         7.1000   0.000000e+00   2.286585e-18   1.992231e-18   1.412163e-18   1.312748e-18   1.176745e-18   1.236966e-18   1.181092e-18   1.025867e-18   8.203540e-19   6.204041e-19   3.996052e-19   4.880452e-20   2.542270e-20   4.470011e-21
         7.1500   0.000000e+00   2.215843e-18   1.920384e-18   1.364467e-18   1.296855e-18   1.165436e-18   1.223357e-18   1.169420e-18   1.014482e-18   8.099350e-19   6.121641e-19   4.035519e-19   5.758833e-20   2.930331e-20   4.430179e-21
         7.2000   0.000000e+00   2.145876e-18   1.850281e-18   1.317649e-18   1.278997e-18   1.152444e-18   1.208002e-18   1.155697e-18   1.001362e-18   7.983263e-19   6.029490e-19   4.066943e-19   6.683637e-20   3.330209e-20   4.403541e-21
         7.2500   0.000000e+00   2.076814e-18   1.781960e-18   1.271971e-18   1.259429e-18   1.137913e-18   1.191112e-18   1.140115e-18   9.867012e-19   7.856758e-19   5.928285e-19   4.089774e-19   7.641111e-20   3.732704e-20   4.389452e-21
         7.3000   0.000000e+00   2.008769e-18   1.715447e-18   1.227529e-18   1.238380e-18   1.121978e-18   1.172862e-18   1.122862e-18   9.707444e-19   7.721121e-19   5.818872e-19   4.103608e-19   8.616537e-20   4.129376e-20   4.387289e-21
         7.3500   0.000000e+00   1.941842e-18   1.650760e-18   1.184150e-18   1.216056e-18   1.104768e-18   1.153405e-18   1.104122e-18   9.537139e-19   7.577558e-19   5.702187e-19   4.108196e-19   9.594439e-20   4.512907e-20   4.396522e-21
         7.4000   0.000000e+00   1.876118e-18   1.587906e-18   1.141829e-18   1.192642e-18   1.086407e-18   1.132878e-18   1.084070e-18   9.357857e-19   7.427297e-19   5.579218e-19   4.107291e-19   1.056028e-19   4.877285e-20   4.416576e-21
         7.4500   0.000000e+00   1.811669e-18   1.526888e-18   1.100562e-18   1.168308e-18   1.067016e-18   1.111408e-18   1.062876e-18   9.171037e-19   7.271378e-19   5.451448e-19   4.099251e-19   1.150104e-19   5.217817e-20   4.446496e-21
