# CIE bound-bound cooling efficiency for C (Z=6)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_C0           L_C1           L_C2           L_C3           L_C4           L_C5           L_C6         
         6.2000   0.000000e+00   2.097734e-24   8.992511e-24   2.200875e-23   4.039641e-23   5.772184e-23   8.097680e-23
         6.2500   0.000000e+00   2.206655e-24   9.403567e-24   2.298377e-23   4.231108e-23   6.199374e-23   8.692764e-23
         6.3000   0.000000e+00   2.322977e-24   9.841637e-24   2.399113e-23   4.425197e-23   6.658633e-23   9.334350e-23
         6.3500   0.000000e+00   2.447116e-24   1.030954e-23   2.503977e-23   4.623283e-23   7.151168e-23   1.002526e-22
         6.4000   0.000000e+00   2.579505e-24   1.080984e-23   2.613917e-23   4.826976e-23   7.677556e-23   1.076793e-22
         6.4500   0.000000e+00   2.720594e-24   1.134488e-23   2.729886e-23   5.038110e-23   8.237694e-23   1.156427e-22
         6.5000   0.000000e+00   2.870856e-24   1.191700e-23   2.852829e-23   5.258554e-23   8.830433e-23   1.241513e-22
         6.5500   0.000000e+00   3.030788e-24   1.252862e-23   2.983562e-23   5.490280e-23   9.453661e-23   1.332025e-22
         6.6000   0.000000e+00   3.200920e-24   1.318210e-23   3.122931e-23   5.735281e-23   1.010414e-22   1.427768e-22
         6.6500   0.000000e+00   3.381811e-24   1.387983e-23   3.271829e-23   5.995376e-23   1.077785e-22   1.528392e-22
         6.7000   0.000000e+00   3.574052e-24   1.462431e-23   3.431044e-23   6.272256e-23   1.147008e-22   1.633363e-22
         6.7500   0.000000e+00   3.778273e-24   1.541810e-23   3.601312e-23   6.567709e-23   1.217619e-22   1.742030e-22
         6.8000   0.000000e+00   3.995148e-24   1.626389e-23   3.783379e-23   6.883537e-23   1.289168e-22   1.853628e-22
         6.8500   0.000000e+00   4.225382e-24   1.716450e-23   3.978003e-23   7.221275e-23   1.361322e-22   1.967413e-22
         6.9000   0.000000e+00   4.475322e-24   1.812292e-23   4.185926e-23   7.582450e-23   1.433856e-22   2.082669e-22
         6.9500   0.000000e+00   4.740501e-24   1.914231e-23   4.407912e-23   7.968618e-23   1.506719e-22   2.198866e-22
         7.0000   0.000000e+00   5.021394e-24   2.022601e-23   4.644746e-23   8.381324e-23   1.580027e-22   2.315664e-22
         7.0500   0.000000e+00   5.318930e-24   2.137756e-23   4.897244e-23   8.822116e-23   1.654067e-22   2.432993e-22
         7.1000   0.000000e+00   5.634097e-24   2.260076e-23   5.166257e-23   9.292586e-23   1.729275e-22   2.551063e-22
         7.1500   0.000000e+00   5.967938e-24   2.389962e-23   5.452683e-23   9.794378e-23   1.806214e-22   2.670348e-22
         7.2000   0.000000e+00   6.321560e-24   2.528624e-23   5.757469e-23   1.032920e-22   1.885536e-22   2.791566e-22
         7.2500   0.000000e+00   6.696136e-24   2.678455e-23   6.081622e-23   1.089886e-22   1.967952e-22   2.915632e-22
         7.3000   0.000000e+00   7.092907e-24   2.837163e-23   6.426205e-23   1.150523e-22   2.054201e-22   3.043607e-22
