# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         4.8500   7.482898e-25   5.693838e-24   4.026639e-23   1.254376e-22   2.085304e-22   7.327105e-22   7.067700e-22   1.654631e-21   1.015347e-21   5.541380e-21   1.704221e-20   1.999258e-20   0.000000e+00
         4.9000   7.224932e-25   5.466468e-24   3.867330e-23   1.195434e-22   1.981530e-22   6.940647e-22   6.683914e-22   1.564075e-21   9.602267e-22   5.247690e-21   1.610303e-20   1.889396e-20   0.000000e+00
         4.9500   6.981879e-25   5.251780e-24   3.719997e-23   1.140266e-22   1.884097e-22   6.576808e-22   6.322106e-22   1.478673e-21   9.082779e-22   4.971187e-21   1.531607e-20   1.785781e-20   0.000000e+00
         5.0000   6.753554e-25   5.048929e-24   3.583981e-23   1.088658e-22   1.792645e-22   6.234327e-22   5.981049e-22   1.398137e-21   8.593261e-22   4.710924e-21   1.444598e-20   1.688052e-20   0.000000e+00
         5.0500   6.540087e-25   4.857204e-24   3.458634e-23   1.040405e-22   1.706833e-22   5.912004e-22   5.659579e-22   1.322194e-21   8.132069e-22   4.466003e-21   1.367402e-20   1.595876e-20   0.000000e+00
         5.1000   6.341724e-25   4.675980e-24   3.343329e-23   9.953100e-23   1.626332e-22   7.119140e-22   5.356595e-22   1.250587e-21   7.697648e-22   4.235575e-21   1.295382e-20   1.508942e-20   0.000000e+00
         5.1500   6.158725e-25   4.504647e-24   3.237442e-23   9.531811e-23   1.550825e-22   6.752916e-22   5.071052e-22   1.183073e-21   7.288530e-22   4.018833e-21   1.222421e-20   1.426962e-20   0.000000e+00
         5.2000   5.991526e-25   4.342616e-24   3.140347e-23   9.138316e-23   1.480007e-22   6.408292e-22   4.801956e-22   1.119419e-21   6.903327e-22   3.815014e-21   1.156895e-20   1.349662e-20   0.000000e+00
         5.2500   5.840815e-25   4.189407e-24   3.051406e-23   8.770800e-23   1.413583e-22   6.084023e-22   4.548365e-22   1.059407e-21   6.540726e-22   3.623391e-21   1.094558e-20   1.276796e-20   0.000000e+00
         5.3000   5.707492e-25   4.044729e-24   2.969990e-23   8.427488e-23   1.351268e-22   5.778917e-22   4.309381e-22   1.002829e-21   6.199484e-22   3.443275e-21   1.034952e-20   1.208129e-20   0.000000e+00
         5.3500   5.592627e-25   3.908381e-24   2.895462e-23   8.106632e-23   1.694166e-22   5.491836e-22   4.084148e-22   9.494884e-22   5.878425e-22   3.274007e-21   9.772885e-21   1.143428e-20   0.000000e+00
         5.4000   5.497596e-25   3.780171e-24   2.827137e-23   7.806527e-23   1.617594e-22   5.221692e-22   5.064971e-22   8.991987e-22   5.576436e-22   3.114964e-21   9.227398e-21   1.082475e-20   0.000000e+00
         5.4500   5.423997e-25   3.659947e-24   2.764303e-23   7.525516e-23   1.545575e-22   4.967440e-22   4.798736e-22   8.517826e-22   5.292461e-22   2.965552e-21   8.736653e-21   1.025062e-20   0.000000e+00
         5.5000   5.373571e-25   3.547647e-24   2.706327e-23   7.261954e-23   1.477786e-22   4.728083e-22   4.547649e-22   8.070714e-22   5.025497e-22   2.825206e-21   8.274884e-21   9.709919e-21   0.000000e+00
         5.5500   5.348159e-25   3.443306e-24   2.652624e-23   7.014175e-23   1.413913e-22   4.502658e-22   4.310790e-22   7.649046e-22   4.774595e-22   2.693386e-21   7.840681e-21   9.200725e-21   0.000000e+00
         5.6000   5.349857e-25   3.347033e-24   2.602493e-23   6.780602e-23   1.353656e-22   4.290238e-22   4.087286e-22   7.251290e-22   4.538845e-22   2.569576e-21   7.444726e-21   8.721138e-21   0.000000e+00
         5.6500   5.381167e-25   3.259041e-24   2.555123e-23   6.559825e-23   1.296721e-22   4.089950e-22   3.876295e-22   6.875986e-22   4.317384e-22   2.453282e-21   7.074516e-21   8.269385e-21   0.000000e+00
         5.7000   5.444995e-25   3.179664e-24   2.509777e-23   6.350451e-23   1.242827e-22   3.900957e-22   3.677024e-22   6.521742e-22   4.109402e-22   2.344030e-21   6.717013e-21   7.843838e-21   0.000000e+00
         5.7500   5.544562e-25   3.109273e-24   2.465989e-23   6.150905e-23   1.191708e-22   3.722411e-22   3.488722e-22   6.187248e-22   3.914124e-22   2.241367e-21   6.380968e-21   7.442961e-21   0.000000e+00
         5.8000   5.683399e-25   3.048240e-24   2.423433e-23   5.959590e-23   1.143114e-22   3.553506e-22   3.310654e-22   5.871267e-22   3.730774e-22   2.144859e-21   6.058346e-21   7.065334e-21   0.000000e+00
         5.8500   5.865365e-25   2.996970e-24   2.381625e-23   5.775243e-23   1.096799e-22   3.840516e-22   3.142105e-22   5.572601e-22   3.558651e-22   2.054090e-21   5.762973e-21   6.709649e-21   0.000000e+00
         5.9000   6.094735e-25   2.955960e-24   2.339754e-23   5.597030e-23   1.052529e-22   3.665040e-22   2.982433e-22   5.290058e-22   3.397138e-22   1.968669e-21   5.469434e-21   6.374728e-21   0.000000e+00
         5.9500   6.376283e-25   2.925858e-24   2.297019e-23   5.424221e-23   1.010090e-22   3.498571e-22   2.831077e-22   5.022545e-22   3.245577e-22   1.888225e-21   5.202867e-21   6.059466e-21   0.000000e+00
         6.0000   6.715330e-25   2.907406e-24   2.253027e-23   5.255654e-23   9.692947e-23   3.340215e-22   2.687465e-22   4.769130e-22   3.103132e-22   1.812385e-21   4.950419e-21   5.762780e-21   0.000000e+00
         6.0500   7.117804e-25   2.901408e-24   2.207665e-23   5.089934e-23   9.299770e-23   3.189186e-22   2.550953e-22   4.528928e-22   2.969179e-22   1.740771e-21   4.712640e-21   5.483588e-21   0.000000e+00
         6.1000   7.590322e-25   2.908712e-24   2.160818e-23   4.925974e-23   8.919770e-23   3.045071e-22   2.420908e-22   4.300898e-22   2.843520e-22   1.673054e-21   4.491060e-21   5.220840e-21   0.000000e+00
         6.1500   8.140303e-25   2.930217e-24   2.112275e-23   4.763405e-23   8.551379e-23   2.907619e-22   2.296906e-22   4.083955e-22   2.725960e-22   1.608972e-21   4.273599e-21   4.973534e-21   0.000000e+00
         6.2000   8.776001e-25   2.966909e-24   2.061905e-23   4.602072e-23   8.193223e-23   2.776378e-22   2.178697e-22   3.877275e-22   2.615465e-22   1.548261e-21   4.075846e-21   4.740707e-21   0.000000e+00
         6.2500   9.506580e-25   3.019864e-24   2.009540e-23   4.441740e-23   7.844297e-23   2.650500e-22   2.066031e-22   3.680463e-22   2.510551e-22   1.490567e-21   3.889909e-21   4.521449e-21   0.000000e+00
