# CIE bound-bound cooling efficiency for N (Z=7)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_N0           L_N1           L_N2           L_N3           L_N4           L_N5           L_N6           L_N7         
         6.0500   6.136139e-19   1.196117e-18   1.874853e-18   1.628338e-18   9.181307e-19   7.282573e-21   2.433384e-21   8.667491e-23
         6.1000   6.116537e-19   1.196389e-18   1.874605e-18   1.634862e-18   9.208701e-19   1.113735e-20   3.568013e-21   9.280425e-23
         6.1500   6.083862e-19   1.193753e-18   1.868879e-18   1.638146e-18   9.220505e-19   1.641394e-20   5.229840e-21   9.941746e-23
         6.2000   6.039097e-19   1.188433e-18   1.858147e-18   1.635551e-18   9.217452e-19   2.330934e-20   7.521356e-21   1.065549e-22
         6.2500   5.983213e-19   1.180646e-18   1.842873e-18   1.625446e-18   9.200445e-19   3.196005e-20   1.052082e-20   1.142594e-22
         6.3000   5.917163e-19   1.170600e-18   1.823532e-18   1.607556e-18   9.171362e-19   4.243194e-20   1.427302e-20   1.225762e-22
         6.3500   5.841880e-19   1.158493e-18   1.800712e-18   1.583825e-18   9.129809e-19   5.471454e-20   1.878498e-20   1.315519e-22
         6.4000   5.758270e-19   1.144519e-18   1.774931e-18   1.560286e-18   9.075803e-19   6.872709e-20   2.402526e-20   1.412342e-22
         6.4500   5.667212e-19   1.128860e-18   1.746603e-18   1.540555e-18   9.009247e-19   8.432982e-20   2.992110e-20   1.516696e-22
         6.5000   5.569550e-19   1.111693e-18   1.716075e-18   1.525551e-18   8.932810e-19   1.013367e-19   3.636504e-20   1.629018e-22
         6.5500   5.466093e-19   1.093184e-18   1.683646e-18   1.513658e-18   8.844592e-19   1.195293e-19   4.322558e-20   1.749667e-22
         6.6000   5.357614e-19   1.073494e-18   1.649582e-18   1.498784e-18   8.744604e-19   1.386669e-19   5.035748e-20   1.878903e-22
         6.6500   5.244844e-19   1.052773e-18   1.614126e-18   1.477008e-18   8.633236e-19   1.584817e-19   5.761195e-20   2.016808e-22
         6.7000   5.128473e-19   1.031166e-18   1.577516e-18   1.447331e-18   8.511009e-19   1.786957e-19   6.484565e-20   2.163258e-22
         6.7500   5.009149e-19   1.008807e-18   1.540015e-18   1.410364e-18   8.380651e-19   1.990382e-19   7.192789e-20   2.317868e-22
         6.8000   4.887476e-19   9.858242e-19   1.501856e-18   1.367488e-18   8.242998e-19   2.192537e-19   7.874567e-20   2.479985e-22
         6.8500   4.764018e-19   9.623362e-19   1.463236e-18   1.320331e-18   8.096878e-19   2.391090e-19   8.520644e-20   2.648693e-22
         6.9000   4.639293e-19   9.384544e-19   1.424324e-18   1.270478e-18   7.943072e-19   2.583928e-19   9.123889e-20   2.822894e-22
