# CIE bound-bound cooling efficiency for S (Z=16)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_S0           L_S1           L_S2           L_S3           L_S4           L_S5           L_S6           L_S7           L_S8           L_S9           L_S10          L_S11          L_S12          L_S13          L_S14          L_S15          L_S16        
         5.4500   1.783060e-24   5.755007e-24   1.037033e-23   4.746977e-23   1.063731e-22   1.872471e-22   2.730906e-22   5.835293e-22   7.225187e-22   1.120432e-21   1.592836e-21   2.831965e-21   4.520949e-21   1.088602e-20   2.898974e-20   2.874636e-20   0.000000e+00
         5.5000   1.886635e-24   5.974040e-24   1.067368e-23   4.647465e-23   1.018359e-22   1.790785e-22   2.601670e-22   5.534472e-22   6.847373e-22   1.060719e-21   1.506734e-21   2.676023e-21   4.288680e-21   1.033487e-20   2.744705e-20   2.717243e-20   0.000000e+00
         5.5500   2.025928e-24   6.226195e-24   1.101510e-23   4.558615e-23   9.754509e-23   1.713761e-22   2.480322e-22   5.251241e-22   8.437077e-22   1.004433e-21   1.425536e-21   2.528874e-21   4.070175e-21   9.816716e-21   2.590309e-20   2.568840e-20   0.000000e+00
         5.6000   2.198898e-24   6.508894e-24   1.139137e-23   4.479551e-23   9.348216e-23   1.641080e-22   2.366378e-22   4.984565e-22   7.993902e-22   9.513764e-22   1.348960e-21   2.390018e-21   3.864653e-21   9.329676e-21   2.451174e-20   2.428929e-20   0.000000e+00
         5.6500   2.403025e-24   6.818871e-24   1.179871e-23   4.409319e-23   8.962953e-23   1.572434e-22   2.259366e-22   4.733449e-22   7.576192e-22   9.013597e-22   1.276739e-21   2.258982e-21   3.671372e-21   8.871973e-21   2.320060e-20   2.297039e-20   0.000000e+00
         5.7000   2.635320e-24   7.152256e-24   1.223262e-23   4.346923e-23   8.597173e-23   1.507525e-22   2.158831e-22   4.496951e-22   7.182434e-22   8.542028e-22   1.574674e-21   2.135320e-21   3.489632e-21   8.441916e-21   2.196651e-20   2.172725e-20   0.000000e+00
         5.7500   2.892337e-24   7.504597e-24   1.268793e-23   4.291386e-23   8.249514e-23   1.446085e-22   2.064329e-22   4.274167e-22   6.811185e-22   8.097333e-22   1.490053e-21   2.018606e-21   3.318768e-21   8.037896e-21   2.084112e-20   2.055565e-20   0.000000e+00
         5.8000   3.170209e-24   7.870869e-24   1.315883e-23   4.241773e-23   7.918685e-23   1.387877e-22   1.975438e-22   4.064223e-22   6.461073e-22   7.677872e-22   1.410205e-21   1.908439e-21   3.158146e-21   7.658375e-21   1.973012e-20   1.945154e-20   0.000000e+00
         5.8500   3.464695e-24   8.245559e-24   1.363896e-23   4.197115e-23   7.603360e-23   1.332687e-22   1.891757e-22   3.866284e-22   6.130782e-22   7.282080e-22   1.334846e-21   1.804436e-21   3.007165e-21   7.301889e-21   1.871785e-20   1.841089e-20   0.000000e+00
         5.9000   3.771239e-24   8.622805e-24   1.412156e-23   4.156397e-23   7.302292e-23   1.280300e-22   1.812890e-22   3.679572e-22   5.819051e-22   6.908458e-22   1.263706e-21   1.706234e-21   2.865251e-21   6.967036e-21   1.776679e-20   1.742994e-20   0.000000e+00
         5.9500   4.085042e-24   8.996433e-24   1.459952e-23   4.118592e-23   7.014481e-23   1.230505e-22   1.738422e-22   3.503337e-22   5.524693e-22   6.555561e-22   1.196530e-21   1.613489e-21   2.731850e-21   6.652476e-21   1.685333e-20   1.650528e-20   0.000000e+00
         6.0000   4.401152e-24   9.360060e-24   1.506546e-23   4.082688e-23   6.739148e-23   1.183114e-22   1.667984e-22   3.336781e-22   5.246581e-22   8.037267e-22   1.133071e-21   1.525875e-21   2.606433e-21   6.356915e-21   1.601679e-20   1.563367e-20   0.000000e+00
         6.0500   4.714550e-24   9.707243e-24   1.551185e-23   4.047690e-23   6.475551e-23   1.137987e-22   1.601289e-22   3.179170e-22   4.983588e-22   7.621975e-22   1.073098e-21   1.443079e-21   2.488495e-21   6.079126e-21   1.518963e-20   1.481210e-20   0.000000e+00
         6.1000   5.020251e-24   1.003169e-23   1.593114e-23   4.012629e-23   6.222944e-23   1.095002e-22   1.538036e-22   3.029951e-22   4.734631e-22   7.229172e-22   1.016393e-21   1.364809e-21   2.377550e-21   5.817931e-21   1.442815e-20   1.403781e-20   0.000000e+00
         6.1500   5.313407e-24   1.032744e-23   1.631592e-23   3.976607e-23   5.980655e-23   1.054038e-22   1.477815e-22   2.888647e-22   4.498778e-22   6.857279e-22   9.627432e-22   1.290791e-21   2.273152e-21   5.572202e-21   1.371162e-20   1.330829e-20   0.000000e+00
         6.2000   5.589401e-24   1.058898e-23   1.665914e-23   3.938789e-23   5.748120e-23   1.014984e-22   1.420190e-22   2.754517e-22   4.275226e-22   6.504902e-22   9.119404e-22   1.220751e-21   2.174887e-21   5.340883e-21   1.304424e-20   1.262119e-20   0.000000e+00
         6.2500   5.843950e-24   1.081135e-23   1.695427e-23   3.898372e-23   5.524861e-23   9.777412e-23   1.364905e-22   2.626661e-22   4.063053e-22   6.170866e-22   8.638011e-22   1.154430e-21   2.082320e-21   5.122957e-21   1.240447e-20   1.197422e-20   0.000000e+00
         6.3000   6.073187e-24   1.099025e-23   1.719555e-23   3.854582e-23   5.310471e-23   9.422277e-23   1.311909e-22   2.504407e-22   3.861201e-22   5.853955e-22   8.181702e-22   1.091602e-21   1.994982e-21   4.917378e-21   1.179146e-20   1.136511e-20   0.000000e+00
         6.3500   6.273743e-24   1.112214e-23   1.737799e-23   3.806712e-23   5.104708e-23   9.083765e-23   1.261161e-22   2.387681e-22   3.668703e-22   5.552712e-22   7.748828e-22   1.032073e-21   1.912485e-21   4.723142e-21   1.122978e-20   1.079164e-20   0.000000e+00
         6.4000   6.442813e-24   1.120436e-23   1.749753e-23   3.754176e-23   4.907376e-23   8.761391e-23   1.212321e-22   2.276578e-22   3.485065e-22   5.265675e-22   7.337469e-22   9.756273e-22   1.834585e-21   4.539396e-21   1.070166e-20   1.025171e-20   0.000000e+00
