# CIE bound-bound cooling efficiency for Ca (Z=20)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ca0          L_Ca1          L_Ca2          L_Ca3          L_Ca4          L_Ca5          L_Ca6          L_Ca7          L_Ca8          L_Ca9          L_Ca10         L_Ca11         L_Ca12         L_Ca13         L_Ca14         L_Ca15         L_Ca16         L_Ca17         L_Ca18         L_Ca19         L_Ca20       
         5.2500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.060515e-21   1.544865e-21   1.411591e-21   1.949240e-21   2.503690e-21   1.770719e-21   4.984051e-21   7.763129e-21   7.488314e-21   3.617784e-20   9.200841e-20   8.842548e-20   0.000000e+00
         5.3000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   1.007393e-21   1.466629e-21   1.336569e-21   1.842214e-21   2.365923e-21   1.673638e-21   4.707877e-21   7.331696e-21   7.078477e-21   3.423971e-20   8.692874e-20   8.352543e-20   0.000000e+00
         5.3500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   9.574234e-22   1.393039e-21   1.265928e-21   1.741268e-21   2.235966e-21   1.582069e-21   4.447270e-21   6.924526e-21   6.692051e-21   3.241417e-20   8.190837e-20   7.890244e-20   0.000000e+00
         5.4000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   9.104204e-22   1.323824e-21   1.199427e-21   1.646063e-21   2.113384e-21   1.495705e-21   4.201358e-21   6.540264e-21   6.327747e-21   3.069504e-20   7.756197e-20   7.447349e-20   0.000000e+00
         5.4500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   8.662060e-22   1.258728e-21   1.136836e-21   1.556278e-21   1.997765e-21   2.892547e-21   3.969320e-21   6.177628e-21   5.984347e-21   2.907645e-20   7.334971e-20   7.032346e-20   0.000000e+00
         5.5000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   8.246106e-22   1.197507e-21   1.077936e-21   1.471611e-21   1.888720e-21   2.733878e-21   3.750377e-21   7.608737e-21   5.660702e-21   2.755286e-20   6.942413e-20   6.644610e-20   0.000000e+00
         5.5500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   7.854720e-22   1.139928e-21   1.022522e-21   1.391774e-21   1.785878e-21   2.584202e-21   3.543794e-21   7.186650e-21   5.355725e-21   2.611903e-20   6.537312e-20   6.278798e-20   0.000000e+00
         5.6000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   7.486353e-22   1.085767e-21   9.703971e-22   1.316494e-21   1.688891e-21   2.443013e-21   3.348875e-21   6.788303e-21   5.068390e-21   2.476997e-20   6.184314e-20   5.933695e-20   0.000000e+00
         5.6500   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   7.139526e-22   1.034811e-21   9.213741e-22   1.245516e-21   1.597427e-21   2.309830e-21   3.164961e-21   6.412361e-21   4.797728e-21   2.350098e-20   5.849522e-20   5.608159e-20   0.000000e+00
         5.7000   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   6.812833e-22   9.868587e-22   8.752745e-22   1.178593e-21   1.511171e-21   2.184200e-21   2.991429e-21   6.057566e-21   4.542823e-21   2.230758e-20   5.533483e-20   5.301155e-20   0.000000e+00
