# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         6.6000   0.000000e+00   3.176921e-24   1.290892e-23   3.313384e-23   6.128248e-23   9.868971e-23   1.456975e-22   2.002341e-22   2.623077e-22   3.306220e-22   4.058644e-22   4.148662e-22   4.883979e-22
         6.6500   0.000000e+00   3.359552e-24   1.362500e-23   3.459562e-23   6.397162e-23   1.031929e-22   1.529556e-22   2.109950e-22   2.774483e-22   3.513771e-22   4.323805e-22   4.447719e-22   5.233647e-22
         6.7000   0.000000e+00   3.554875e-24   1.438696e-23   3.614206e-23   6.676762e-23   1.077952e-22   1.602690e-22   2.218050e-22   2.926939e-22   3.724665e-22   4.595122e-22   4.770545e-22   5.611083e-22
         6.7500   0.000000e+00   3.765514e-24   1.519730e-23   3.778431e-23   6.969567e-23   1.125350e-22   1.676724e-22   2.326757e-22   3.080130e-22   3.937768e-22   4.870792e-22   5.118994e-22   6.018515e-22
         6.8000   0.000000e+00   3.988635e-24   1.605869e-23   3.953305e-23   7.278129e-23   1.174548e-22   1.752154e-22   2.436461e-22   3.234049e-22   4.152216e-22   5.149336e-22   5.494962e-22   6.458280e-22
         6.8500   0.000000e+00   4.224976e-24   1.697394e-23   4.139958e-23   7.605034e-23   1.225986e-22   1.829578e-22   2.547768e-22   3.389101e-22   4.367668e-22   5.429630e-22   5.900355e-22   6.932763e-22
         6.9000   0.000000e+00   4.475322e-24   1.794606e-23   4.339501e-23   7.952492e-23   1.280118e-22   1.909684e-22   2.661489e-22   3.545998e-22   4.584203e-22   5.711235e-22   6.336982e-22   7.444349e-22
         6.9500   0.000000e+00   4.740501e-24   1.897825e-23   4.552889e-23   8.322760e-23   1.337407e-22   1.993181e-22   2.778565e-22   3.705776e-22   4.802480e-22   5.994260e-22   6.806439e-22   7.995306e-22
         7.0000   0.000000e+00   5.021394e-24   2.008558e-23   4.781083e-23   8.718221e-23   1.398259e-22   2.080821e-22   2.900051e-22   3.869687e-22   5.023583e-22   6.279573e-22   7.309983e-22   8.587609e-22
         7.0500   0.000000e+00   5.318930e-24   2.127572e-23   5.025059e-23   9.141064e-23   1.463068e-22   2.173363e-22   3.027026e-22   4.039181e-22   5.249036e-22   6.568596e-22   7.848246e-22   9.222808e-22
         7.1000   0.000000e+00   5.634097e-24   2.253639e-23   5.285785e-23   9.593260e-23   1.532255e-22   2.271533e-22   3.160618e-22   4.215759e-22   5.480644e-22   6.863325e-22   8.421165e-22   9.901637e-22
         7.1500   0.000000e+00   5.967938e-24   2.387175e-23   5.564233e-23   1.007681e-22   1.606223e-22   2.375972e-22   3.301970e-22   4.401017e-22   5.720484e-22   7.166126e-22   9.027615e-22   1.062395e-21
         7.2000   0.000000e+00   6.321560e-24   2.528624e-23   5.861405e-23   1.059374e-22   1.685325e-22   2.487359e-22   3.452095e-22   4.596555e-22   5.970674e-22   7.479711e-22   9.665487e-22   1.138826e-21
         7.2500   0.000000e+00   6.696136e-24   2.678455e-23   6.178337e-23   1.114605e-22   1.769914e-22   2.606393e-22   3.611967e-22   4.803934e-22   6.233466e-22   7.806852e-22   1.033151e-21   1.219182e-21
         7.3000   0.000000e+00   7.092907e-24   2.837163e-23   6.516105e-23   1.173579e-22   1.860351e-22   2.733680e-22   3.782619e-22   5.024517e-22   6.511126e-22   8.150494e-22   1.102160e-21   1.303044e-21
         7.3500   0.000000e+00   7.513188e-24   3.005275e-23   6.875844e-23   1.236505e-22   1.956993e-22   2.869803e-22   3.965061e-22   5.259733e-22   6.805778e-22   8.513595e-22   1.173094e-21   1.389895e-21
         7.4000   0.000000e+00   7.958373e-24   3.183349e-23   7.258745e-23   1.303600e-22   2.060198e-22   3.015355e-22   4.160163e-22   5.511073e-22   7.119343e-22   8.898931e-22   1.245478e-21   1.479125e-21
         7.4500   0.000000e+00   8.429936e-24   3.371974e-23   7.666077e-23   1.375092e-22   2.170337e-22   3.170929e-22   4.368801e-22   5.779837e-22   7.453848e-22   9.309010e-22   1.318844e-21   1.570138e-21
         7.5000   0.000000e+00   8.929441e-24   3.571776e-23   8.099178e-23   1.451219e-22   2.287794e-22   3.337116e-22   4.591866e-22   6.067257e-22   7.811373e-22   9.746485e-22   1.392847e-21   1.662355e-21
         7.5500   0.000000e+00   9.458544e-24   3.783418e-23   8.559462e-23   1.532233e-22   2.412966e-22   3.514522e-22   4.830241e-22   6.374589e-22   8.193694e-22   1.021407e-21   1.467246e-21   1.755346e-21
         7.6000   0.000000e+00   1.001900e-23   4.007599e-23   9.048437e-23   1.618402e-22   2.546273e-22   3.703769e-22   5.084812e-22   6.703098e-22   8.602550e-22   1.071409e-21   1.541983e-21   1.848826e-21
         7.6500   0.000000e+00   1.061266e-23   4.245064e-23   9.567721e-23   1.710010e-22   2.688157e-22   3.905508e-22   5.356496e-22   7.054032e-22   9.039713e-22   1.124880e-21   1.617165e-21   1.942729e-21
         7.7000   0.000000e+00   1.124150e-23   4.496600e-23   1.011900e-22   1.807353e-22   2.839089e-22   4.120416e-22   5.646238e-22   7.428673e-22   9.506953e-22   1.182054e-21   1.693079e-21   2.037210e-21
         7.7500   0.000000e+00   1.190760e-23   4.763041e-23   1.071684e-22   1.910754e-22   2.999562e-22   4.349210e-22   5.955022e-22   7.828342e-22   1.000603e-21   1.243161e-21   1.770165e-21   2.132639e-21
         7.8000   0.000000e+00   1.261317e-23   5.045268e-23   1.135185e-22   2.020553e-22   3.170102e-22   4.592647e-22   6.283885e-22   8.254413e-22   1.053875e-21   1.308432e-21   1.848995e-21   2.229580e-21
         7.8500   0.000000e+00   1.336055e-23   5.344219e-23   1.202449e-22   2.137688e-22   3.351267e-22   4.851529e-22   6.633915e-22   8.708318e-22   1.110700e-21   1.378102e-21   1.930233e-21   2.328760e-21
         7.9000   0.000000e+00   1.415221e-23   5.660884e-23   1.273699e-22   2.264354e-22   3.543657e-22   5.126703e-22   7.006272e-22   9.191573e-22   1.171270e-21   1.452417e-21   2.014608e-21   2.431021e-21
         7.9500   0.000000e+00   1.499078e-23   5.996313e-23   1.349170e-22   2.398525e-22   3.747894e-22   5.419068e-22   7.402179e-22   9.705775e-22   1.235789e-21   1.531631e-21   2.102875e-21   2.537279e-21
         8.0000   0.000000e+00   1.587904e-23   6.351617e-23   1.429114e-22   2.540647e-22   3.969760e-22   5.729590e-22   7.822929e-22   1.025262e-21   1.304473e-21   1.616009e-21   2.195810e-21   2.648487e-21
         8.0500   0.000000e+00   1.681993e-23   6.727974e-23   1.513794e-22   2.691189e-22   4.204983e-22   6.059285e-22   8.269900e-22   1.083390e-21   1.377548e-21   1.705832e-21   2.294204e-21   2.765620e-21
         8.1000   0.000000e+00   1.781658e-23   7.126631e-23   1.603492e-22   2.850652e-22   4.454144e-22   6.413968e-22   8.744571e-22   1.145151e-21   1.455255e-21   1.801398e-21   2.398741e-21   2.889668e-21
         8.1500   0.000000e+00   1.887228e-23   7.548910e-23   1.698505e-22   3.019564e-22   4.718069e-22   6.794019e-22   9.248482e-22   1.210749e-21   1.537849e-21   1.903020e-21   2.510100e-21   3.021484e-21
         8.2000   0.000000e+00   1.999053e-23   7.996212e-23   1.799148e-22   3.198485e-22   4.997632e-22   7.196590e-22   9.795359e-22   1.280400e-21   1.625598e-21   2.011033e-21   2.629000e-21   3.161924e-21
         8.2500   0.000000e+00   2.117504e-23   8.470017e-23   1.905754e-22   3.388007e-22   5.293761e-22   7.623015e-22   1.037577e-21   1.355203e-21   1.718793e-21   2.125788e-21   2.756125e-21   3.311893e-21
         8.3000   0.000000e+00   2.242974e-23   8.971897e-23   2.018677e-22   3.588759e-22   5.607436e-22   8.074707e-22   1.099057e-21   1.435504e-21   1.817739e-21   2.247664e-21   2.892072e-21   3.472241e-21
         8.3500   0.000000e+00   2.375879e-23   9.503515e-23   2.138291e-22   3.801406e-22   5.939697e-22   8.553164e-22   1.164181e-21   1.520562e-21   1.924462e-21   2.377061e-21   3.037449e-21   3.643718e-21
         8.4000   0.000000e+00   2.516658e-23   1.006663e-22   2.264993e-22   4.026654e-22   6.291646e-22   9.059971e-22   1.233163e-21   1.610661e-21   2.038493e-21   2.516658e-21   3.192872e-21   3.827087e-21
         8.4500   0.000000e+00   2.665780e-23   1.066312e-22   2.399202e-22   4.265248e-22   6.664450e-22   9.596808e-22   1.306232e-21   1.706099e-21   2.159282e-21   2.665780e-21   3.358949e-21   4.023123e-21
         8.5000   0.000000e+00   2.823737e-23   1.129495e-22   2.541364e-22   4.517980e-22   7.059343e-22   1.016545e-21   1.383631e-21   1.807192e-21   2.287227e-21   2.823737e-21   3.536296e-21   4.232589e-21
         8.5500   0.000000e+00   2.991054e-23   1.196422e-22   2.691949e-22   4.785687e-22   7.477636e-22   1.076780e-21   1.465617e-21   1.914275e-21   2.422754e-21   2.991054e-21   3.725547e-21   4.456260e-21
         8.6000   0.000000e+00   3.168285e-23   1.267314e-22   2.851457e-22   5.069256e-22   7.920713e-22   1.140583e-21   1.552460e-21   2.027703e-21   2.566311e-21   3.168285e-21   3.927360e-21   4.694934e-21
         8.6500   0.000000e+00   3.356018e-23   1.342407e-22   3.020416e-22   5.369629e-22   8.390045e-22   1.208166e-21   1.644449e-21   2.147852e-21   2.718375e-21   3.356018e-21   4.142417e-21   4.949440e-21
         8.7000   0.000000e+00   3.554875e-23   1.421950e-22   3.199387e-22   5.687799e-22   8.887186e-22   1.279755e-21   1.741889e-21   2.275120e-21   2.879448e-21   3.554875e-21   4.371440e-21   5.220636e-21
         8.7500   0.000000e+00   3.765514e-23   1.506206e-22   3.388963e-22   6.024823e-22   9.413785e-22   1.355585e-21   1.845102e-21   2.409929e-21   3.050066e-21   3.765514e-21   4.615187e-21   5.509433e-21
         8.8000   0.000000e+00   3.988635e-23   1.595454e-22   3.589771e-22   6.381816e-22   9.971587e-22   1.435909e-21   1.954431e-21   2.552726e-21   3.230794e-21   3.988635e-21   4.874465e-21   5.816786e-21
         8.8500   0.000000e+00   4.224976e-23   1.689991e-22   3.802479e-22   6.759962e-22   1.056244e-21   1.520991e-21   2.070238e-21   2.703985e-21   3.422231e-21   4.224976e-21   5.150125e-21   6.143711e-21
         8.9000   0.000000e+00   4.475322e-23   1.790129e-22   4.027790e-22   7.160515e-22   1.118830e-21   1.611116e-21   2.192908e-21   2.864206e-21   3.625011e-21   4.475322e-21   5.443065e-21   6.491282e-21
         8.9500   0.000000e+00   4.740501e-23   1.896201e-22   4.266451e-22   7.584802e-22   1.185125e-21   1.706581e-21   2.322846e-21   3.033921e-21   3.839806e-21   4.740501e-21   5.754248e-21   6.860631e-21
