# CIE bound-bound cooling efficiency for Ne (Z=10)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ne0          L_Ne1          L_Ne2          L_Ne3          L_Ne4          L_Ne5          L_Ne6          L_Ne7          L_Ne8          L_Ne9          L_Ne10       
         6.0500   0.000000e+00   1.943077e-24   8.408026e-24   1.952509e-23   3.459517e-23   5.307975e-23   7.475091e-23   9.859803e-23   1.265831e-22   1.367308e-22   1.673361e-22
         6.1000   0.000000e+00   2.029205e-24   8.794361e-24   2.057465e-23   3.680622e-23   5.674785e-23   8.013844e-23   1.058755e-22   1.359590e-22   1.460278e-22   1.786189e-22
         6.1500   0.000000e+00   2.120487e-24   9.188488e-24   2.162900e-23   3.905967e-23   6.055155e-23   8.580706e-23   1.136362e-22   1.460051e-22   1.560326e-22   1.907521e-22
         6.2000   0.000000e+00   2.217535e-24   9.593589e-24   2.268926e-23   4.134153e-23   6.446458e-23   9.172811e-23   1.218708e-22   1.567291e-22   1.668057e-22   2.038080e-22
         6.2500   0.000000e+00   2.320977e-24   1.001330e-23   2.375922e-23   4.364147e-23   6.846044e-23   9.786551e-23   1.305558e-22   1.681231e-22   1.784127e-22   2.178654e-22
         6.3000   0.000000e+00   2.431477e-24   1.045134e-23   2.484479e-23   4.595312e-23   7.251303e-23   1.041767e-22   1.396523e-22   1.801585e-22   1.909249e-22   2.330097e-22
         6.3500   0.000000e+00   2.549632e-24   1.091164e-23   2.595385e-23   4.827532e-23   7.660264e-23   1.106190e-22   1.491075e-22   1.927865e-22   2.044190e-22   2.493340e-22
         6.4000   0.000000e+00   2.675989e-24   1.139815e-23   2.709559e-23   5.061261e-23   8.071497e-23   1.171508e-22   1.588586e-22   2.059367e-22   2.189782e-22   2.669385e-22
         6.4500   0.000000e+00   2.811104e-24   1.191455e-23   2.828029e-23   5.297462e-23   8.484600e-23   1.237407e-22   1.688379e-22   2.195247e-22   2.346910e-22   2.859314e-22
         6.5000   0.000000e+00   2.955542e-24   1.246419e-23   2.951848e-23   5.537585e-23   8.900049e-23   1.303664e-22   1.789791e-22   2.334550e-22   2.516524e-22   3.064286e-22
         6.5500   0.000000e+00   3.109857e-24   1.305062e-23   3.082115e-23   5.783456e-23   9.319349e-23   1.370223e-22   1.892273e-22   2.476349e-22   2.699615e-22   3.285542e-22
         6.6000   0.000000e+00   3.274618e-24   1.367746e-23   3.219946e-23   6.037192e-23   9.744838e-23   1.437169e-22   1.995407e-22   2.619807e-22   2.897217e-22   3.524381e-22
         6.6500   0.000000e+00   3.450407e-24   1.434777e-23   3.366328e-23   6.301059e-23   1.017962e-22   1.504751e-22   2.099024e-22   2.764301e-22   3.110386e-22   3.782161e-22
         6.7000   0.000000e+00   3.637832e-24   1.506461e-23   3.522214e-23   6.577432e-23   1.062731e-22   1.573354e-22   2.203160e-22   2.909502e-22   3.340151e-22   4.060267e-22
         6.7500   0.000000e+00   3.837525e-24   1.583107e-23   3.688608e-23   6.868719e-23   1.109194e-22   1.643484e-22   2.308127e-22   3.055381e-22   3.587490e-22   4.360069e-22
         6.8000   0.000000e+00   4.050153e-24   1.665022e-23   3.866498e-23   7.177351e-23   1.157764e-22   1.715726e-22   2.414442e-22   3.202295e-22   3.853208e-22   4.682865e-22
         6.8500   0.000000e+00   4.276420e-24   1.752516e-23   4.056732e-23   7.505410e-23   1.208872e-22   1.790730e-22   2.522837e-22   3.350896e-22   4.137904e-22   5.029751e-22
         6.9000   0.000000e+00   4.517073e-24   1.845903e-23   4.260164e-23   7.855026e-23   1.262955e-22   1.869166e-22   2.634177e-22   3.502146e-22   4.441786e-22   5.401570e-22
         6.9500   0.000000e+00   4.772902e-24   1.945513e-23   4.477664e-23   8.228446e-23   1.320398e-22   1.951725e-22   2.749460e-22   3.657219e-22   4.764621e-22   5.798657e-22
         7.0000   0.000000e+00   5.044739e-24   2.051684e-23   4.710091e-23   8.627727e-23   1.381573e-22   2.039113e-22   2.869704e-22   3.817479e-22   5.105594e-22   6.220807e-22
         7.0500   0.000000e+00   5.333483e-24   2.164772e-23   4.958313e-23   9.054723e-23   1.446877e-22   2.131944e-22   2.995992e-22   3.984346e-22   5.463306e-22   6.667036e-22
         7.1000   0.000000e+00   5.640081e-24   2.285155e-23   5.223221e-23   9.511323e-23   1.516694e-22   2.230821e-22   3.129413e-22   4.159328e-22   5.835760e-22   7.135613e-22
         7.1500   0.000000e+00   5.967938e-24   2.413230e-23   5.505737e-23   9.999443e-23   1.591356e-22   2.336383e-22   3.270991e-22   4.343941e-22   6.220558e-22   7.623994e-22
         7.2000   0.000000e+00   6.321560e-24   2.549419e-23   5.806823e-23   1.052097e-22   1.671197e-22   2.449243e-22   3.421651e-22   4.539680e-22   6.614995e-22   8.129091e-22
         7.2500   0.000000e+00   6.696136e-24   2.694167e-23   6.127486e-23   1.107781e-22   1.756559e-22   2.569935e-22   3.582366e-22   4.747840e-22   7.016447e-22   8.647346e-22
         7.3000   0.000000e+00   7.092907e-24   2.847947e-23   6.468790e-23   1.167197e-22   1.847778e-22   2.699000e-22   3.754138e-22   4.969769e-22   7.422562e-22   9.175309e-22
         7.3500   0.000000e+00   7.513188e-24   3.011268e-23   6.831867e-23   1.230548e-22   1.945194e-22   2.836985e-22   3.937822e-22   5.206882e-22   7.831581e-22   9.709759e-22
         7.4000   0.000000e+00   7.958373e-24   3.184662e-23   7.217906e-23   1.298049e-22   2.049156e-22   2.984435e-22   4.134255e-22   5.460429e-22   8.242592e-22   1.024831e-21
         7.4500   0.000000e+00   8.429936e-24   3.371974e-23   7.628171e-23   1.369926e-22   2.160027e-22   3.141895e-22   4.344290e-22   5.731577e-22   8.655532e-22   1.078956e-21
         7.5000   0.000000e+00   8.929441e-24   3.571776e-23   8.064004e-23   1.446417e-22   2.278182e-22   3.309931e-22   4.568776e-22   6.021515e-22   9.071426e-22   1.133329e-21
         7.5500   0.000000e+00   9.458544e-24   3.783418e-23   8.526847e-23   1.527773e-22   2.404019e-22   3.489126e-22   4.808561e-22   6.331441e-22   9.492138e-22   1.188067e-21
         7.6000   0.000000e+00   1.001900e-23   4.007599e-23   9.018203e-23   1.614263e-22   2.537953e-22   3.680089e-22   5.064515e-22   6.662540e-22   9.920404e-22   1.243400e-21
         7.6500   0.000000e+00   1.061266e-23   4.245064e-23   9.551395e-23   1.706168e-22   2.680430e-22   3.883459e-22   5.337537e-22   7.016025e-22   1.035956e-21   1.299676e-21
         7.7000   0.000000e+00   1.124150e-23   4.496600e-23   1.011735e-22   1.803791e-22   2.831915e-22   4.099909e-22   5.628561e-22   7.393144e-22   1.081346e-21   1.357326e-21
         7.7500   0.000000e+00   1.190760e-23   4.763041e-23   1.071684e-22   1.907453e-22   2.992904e-22   4.330157e-22   5.938564e-22   7.795198e-22   1.128614e-21   1.416849e-21
         7.8000   0.000000e+00   1.261317e-23   5.045268e-23   1.135185e-22   2.018107e-22   3.163926e-22   4.574959e-22   6.268577e-22   8.223537e-22   1.178187e-21   1.478775e-21
         7.8500   0.000000e+00   1.336055e-23   5.344219e-23   1.202449e-22   2.137688e-22   3.345544e-22   4.835112e-22   6.619694e-22   8.679594e-22   1.230494e-21   1.543664e-21
         7.9000   0.000000e+00   1.415221e-23   5.660884e-23   1.273699e-22   2.264354e-22   3.538348e-22   5.111472e-22   6.993070e-22   9.164876e-22   1.285957e-21   1.612079e-21
         7.9500   0.000000e+00   1.499078e-23   5.996313e-23   1.349170e-22   2.398525e-22   3.747695e-22   5.404951e-22   7.389927e-22   9.680986e-22   1.344942e-21   1.684586e-21
         8.0000   0.000000e+00   1.587904e-23   6.351617e-23   1.429114e-22   2.540647e-22   3.969760e-22   5.716499e-22   7.811560e-22   1.022961e-21   1.407832e-21   1.761669e-21
