# CIE bound-bound cooling efficiency for Ne (Z=10)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ne0          L_Ne1          L_Ne2          L_Ne3          L_Ne4          L_Ne5          L_Ne6          L_Ne7          L_Ne8          L_Ne9          L_Ne10       
         5.3500   3.197982e-24   1.535437e-23   4.346970e-23   1.099944e-22   2.016036e-22   4.470496e-22   4.898085e-22   1.381901e-21   4.517985e-21   4.946969e-21   0.000000e+00
         5.4000   3.387758e-24   1.544237e-23   4.243244e-23   1.057112e-22   1.918883e-22   4.251990e-22   4.669263e-22   1.318262e-21   4.281349e-21   4.681461e-21   0.000000e+00
         5.4500   3.584265e-24   1.554040e-23   4.145658e-23   1.016630e-22   1.827240e-22   4.045908e-22   4.454239e-22   1.258491e-21   4.058853e-21   4.431204e-21   0.000000e+00
         5.5000   3.785242e-24   1.564294e-23   4.053196e-23   9.782693e-23   1.740730e-22   3.851437e-22   4.252156e-22   1.202348e-21   3.855710e-21   4.195307e-21   0.000000e+00
         5.5500   3.988146e-24   1.574445e-23   3.964803e-23   9.418213e-23   1.658987e-22   3.667811e-22   4.062195e-22   1.149598e-21   3.665657e-21   3.972945e-21   0.000000e+00
         5.6000   4.190099e-24   1.583868e-23   3.879466e-23   9.071005e-23   1.581652e-22   3.494298e-22   3.883557e-22   1.100021e-21   3.482240e-21   3.763343e-21   0.000000e+00
         5.6500   4.388067e-24   1.591909e-23   3.796329e-23   8.739248e-23   1.508394e-22   3.330176e-22   3.715510e-22   1.053402e-21   3.310514e-21   3.565781e-21   0.000000e+00
         5.7000   4.578938e-24   1.597985e-23   3.714669e-23   9.990226e-23   1.438921e-22   3.174755e-22   3.557391e-22   1.009542e-21   3.145072e-21   3.379596e-21   0.000000e+00
         5.7500   4.759495e-24   1.601639e-23   3.633776e-23   9.605256e-23   1.372942e-22   3.027417e-22   3.408526e-22   9.682493e-22   2.993635e-21   3.204189e-21   0.000000e+00
         5.8000   4.926522e-24   1.602469e-23   3.552840e-23   9.235078e-23   1.310141e-22   2.887617e-22   3.268150e-22   9.293386e-22   2.843406e-21   3.038994e-21   0.000000e+00
         5.8500   5.077070e-24   1.600091e-23   3.471086e-23   8.878505e-23   1.250210e-22   2.754781e-22   3.135604e-22   8.926168e-22   2.706845e-21   2.883453e-21   0.000000e+00
         5.9000   5.208517e-24   1.594180e-23   3.387973e-23   8.534476e-23   1.192923e-22   2.628288e-22   3.010472e-22   8.579084e-22   2.577490e-21   2.737014e-21   0.000000e+00
         5.9500   5.318502e-24   1.584486e-23   3.303180e-23   8.201345e-23   1.138128e-22   2.507546e-22   2.892386e-22   8.250714e-22   2.455635e-21   2.599145e-21   0.000000e+00
         6.0000   5.404912e-24   1.570796e-23   3.216462e-23   7.877190e-23   1.085682e-22   2.392184e-22   2.780588e-22   7.939817e-22   2.342087e-21   2.469339e-21   0.000000e+00
         6.0500   5.466028e-24   1.552953e-23   3.127586e-23   7.560523e-23   1.035344e-22   2.281964e-22   2.674115e-22   7.644710e-22   2.230789e-21   2.347107e-21   0.000000e+00
         6.1000   5.500613e-24   1.530931e-23   3.036434e-23   7.250833e-23   9.868380e-23   2.176614e-22   2.572398e-22   7.363417e-22   2.129526e-21   2.231992e-21   0.000000e+00
         6.1500   5.507972e-24   1.504840e-23   2.942958e-23   6.947935e-23   9.399581e-23   2.075598e-22   2.475627e-22   7.094366e-22   2.034278e-21   2.123551e-21   0.000000e+00
         6.2000   5.487925e-24   1.474858e-23   2.847105e-23   6.651530e-23   8.946350e-23   1.978330e-22   2.384122e-22   6.837142e-22   1.944620e-21   2.021357e-21   0.000000e+00
         6.2500   5.440810e-24   1.441179e-23   2.748899e-23   6.361261e-23   8.508358e-23   1.884429e-22   2.297355e-22   6.591686e-22   1.860098e-21   1.925021e-21   0.000000e+00
         6.3000   5.367464e-24   1.404034e-23   2.648589e-23   6.076828e-23   8.085142e-23   1.793806e-22   2.213953e-22   6.357036e-22   1.779122e-21   1.834177e-21   0.000000e+00
         6.3500   5.269211e-24   1.363705e-23   2.546574e-23   5.797663e-23   7.676050e-23   1.706453e-22   2.132736e-22   6.130938e-22   1.703860e-21   1.748477e-21   0.000000e+00
         6.4000   5.147826e-24   1.320534e-23   2.443271e-23   5.523223e-23   7.280397e-23   1.622303e-22   2.053770e-22   5.911193e-22   1.632737e-21   1.667594e-21   0.000000e+00
         6.4500   5.005445e-24   1.274895e-23   2.339032e-23   5.253454e-23   6.896985e-23   1.541221e-22   1.977519e-22   5.697252e-22   1.565489e-21   1.591217e-21   0.000000e+00
         6.5000   4.844470e-24   1.227179e-23   2.234223e-23   4.989023e-23   6.524715e-23   1.462998e-22   1.904286e-22   5.489464e-22   1.501870e-21   1.519067e-21   0.000000e+00
         6.5500   4.667541e-24   1.177783e-23   2.129245e-23   4.730666e-23   6.163256e-23   1.387319e-22   1.833928e-22   5.288222e-22   1.441621e-21   1.450866e-21   0.000000e+00
