# CIE bound-bound cooling efficiency for Fe (Z=26)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Fe0          L_Fe1          L_Fe2          L_Fe3          L_Fe4          L_Fe5          L_Fe6          L_Fe7          L_Fe8          L_Fe9          L_Fe10         L_Fe11         L_Fe12         L_Fe13         L_Fe14         L_Fe15         L_Fe16         L_Fe17         L_Fe18         L_Fe19         L_Fe20         L_Fe21         L_Fe22         L_Fe23         L_Fe24         L_Fe25         L_Fe26       
         4.5000   0.000000e+00   0.000000e+00   0.000000e+00   7.915088e-23   1.384646e-22   6.763053e-22   1.253556e-21   2.994367e-21   2.209095e-21   3.222276e-21   3.995776e-21   5.660163e-21   7.992172e-21   1.152622e-20   1.692703e-20   2.181722e-20   2.433852e-20   2.171899e-20   3.335924e-20   6.357594e-21   2.646706e-20   3.407675e-20   1.230269e-19   2.659402e-19   5.231535e-19   6.020386e-19   0.000000e+00
         4.5500   0.000000e+00   0.000000e+00   0.000000e+00   7.569815e-23   1.923511e-22   6.421320e-22   1.569582e-21   2.831685e-21   2.088621e-21   3.046136e-21   3.777062e-21   5.348901e-21   7.552244e-21   1.089038e-20   1.598983e-20   2.060811e-20   2.298776e-20   2.050609e-20   3.149524e-20   6.010752e-21   2.512811e-20   3.217810e-20   1.161704e-19   2.511331e-19   4.939550e-19   5.686237e-19   0.000000e+00
         4.6000   0.000000e+00   0.000000e+00   0.000000e+00   7.250735e-23   1.840096e-22   6.100424e-22   1.486705e-21   2.678340e-21   1.975053e-21   2.880074e-21   3.570846e-21   5.055347e-21   7.137322e-21   1.029061e-20   1.510560e-20   1.946727e-20   2.171319e-20   1.936117e-20   2.973563e-20   5.675642e-21   2.372948e-20   3.038609e-20   1.096988e-19   2.371582e-19   4.666947e-19   5.378773e-19   0.000000e+00
         4.6500   0.000000e+00   0.000000e+00   0.000000e+00   6.956728e-23   1.762633e-22   5.799229e-22   1.408698e-21   2.533814e-21   1.868011e-21   2.723534e-21   3.376441e-21   5.055069e-21   6.746029e-21   9.724916e-21   1.427139e-20   1.839092e-20   2.051056e-20   1.828041e-20   2.807457e-20   5.359343e-21   2.240950e-20   3.395281e-20   1.035909e-19   2.239694e-19   4.406492e-19   5.078306e-19   0.000000e+00
         4.7000   0.000000e+00   0.000000e+00   0.000000e+00   6.686695e-23   1.690828e-22   5.516653e-22   1.335294e-21   2.397621e-21   1.767137e-21   2.575995e-21   3.429909e-21   4.779355e-21   6.377061e-21   9.191419e-21   1.348445e-20   1.737548e-20   1.937591e-20   1.726024e-20   2.650657e-20   5.146120e-21   2.116379e-20   3.206269e-20   9.782622e-20   2.115228e-19   4.164642e-19   4.801036e-19   0.000000e+00
         4.7500   0.000000e+00   0.000000e+00   0.000000e+00   8.207884e-23   1.624397e-22   5.251663e-22   1.266238e-21   2.269299e-21   1.672092e-21   2.436963e-21   3.244356e-21   4.519445e-21   6.029189e-21   8.688345e-21   1.274214e-20   1.641757e-20   1.830545e-20   1.629728e-20   2.502643e-20   4.859623e-21   2.079746e-20   3.027883e-20   9.238580e-20   1.997772e-19   3.933662e-19   4.530079e-19   0.000000e+00
         4.8000   0.000000e+00   0.000000e+00   0.000000e+00   7.951871e-23   1.563063e-22   6.595821e-22   1.201291e-21   2.148410e-21   1.582556e-21   2.305972e-21   3.069515e-21   4.274470e-21   5.701254e-21   8.214017e-21   1.204201e-20   1.551402e-20   1.729564e-20   1.538833e-20   2.362923e-20   4.589231e-21   1.964307e-20   2.859532e-20   8.725155e-20   1.886936e-19   3.713314e-19   4.262143e-19   0.000000e+00
         4.8500   0.000000e+00   0.000000e+00   0.000000e+00   7.725432e-23   1.506555e-22   6.284538e-22   1.140224e-21   2.034543e-21   1.498228e-21   2.256752e-21   2.904802e-21   4.043612e-21   5.893660e-21   7.766855e-21   1.138172e-20   1.466182e-20   1.634312e-20   1.453039e-20   2.231034e-20   4.875608e-21   1.855377e-20   2.700657e-20   8.240644e-20   1.782353e-19   3.515153e-19   4.026378e-19   0.000000e+00
         4.9000   0.000000e+00   0.000000e+00   0.000000e+00   7.527504e-23   1.454605e-22   5.992961e-22   1.082818e-21   1.927304e-21   1.418823e-21   2.136437e-21   2.749661e-21   3.826096e-21   5.575093e-21   7.345367e-21   1.075908e-20   1.385813e-20   1.544473e-20   1.372059e-20   2.106540e-20   4.604723e-21   1.752594e-20   3.614741e-20   7.783441e-20   1.683675e-19   3.320121e-19   3.804397e-19   0.000000e+00
         4.9500   0.000000e+00   0.000000e+00   0.000000e+00   7.356948e-23   1.997784e-22   5.719958e-22   1.028867e-21   1.826322e-21   1.344069e-21   2.023146e-21   2.603571e-21   3.621193e-21   5.274927e-21   6.948142e-21   1.017199e-20   1.310027e-20   1.459749e-20   1.295627e-20   1.989027e-20   4.349095e-21   1.944830e-20   3.413788e-20   7.352028e-20   1.590575e-19   3.142472e-19   3.586905e-19   0.000000e+00
         5.0000   0.000000e+00   0.000000e+00   0.000000e+00   7.212506e-23   1.931780e-22   5.464438e-22   9.781723e-22   1.731244e-21   1.273712e-21   1.916494e-21   2.466036e-21   3.428210e-21   4.992157e-21   6.573852e-21   9.618505e-21   1.238571e-20   1.379858e-20   1.223488e-20   1.878106e-20   4.107876e-21   1.837235e-20   3.224146e-20   6.944975e-20   1.502744e-19   3.606304e-19   3.390612e-19   0.000000e+00
         5.0500   0.000000e+00   0.000000e+00   0.000000e+00   7.092775e-23   1.871393e-22   5.225349e-22   9.305456e-22   1.641736e-21   1.207510e-21   1.816119e-21   2.336589e-21   3.516654e-21   4.725829e-21   6.221239e-21   9.096766e-21   1.171206e-20   1.304534e-20   1.155404e-20   1.773409e-20   3.880265e-21   1.735726e-20   3.045187e-20   6.560929e-20   1.419890e-19   3.405195e-19   3.201597e-19   0.000000e+00
         5.1000   0.000000e+00   0.000000e+00   0.000000e+00   8.769657e-23   1.816267e-22   5.001670e-22   8.858052e-22   1.557478e-21   1.145233e-21   1.721675e-21   2.214788e-21   3.331246e-21   4.475044e-21   5.889116e-21   8.605023e-21   1.107706e-20   1.233526e-20   1.091147e-20   1.674588e-20   5.493431e-21   1.639964e-20   2.876316e-20   6.198617e-20   1.341738e-19   3.213480e-19   3.023185e-19   0.000000e+00
         5.1500   0.000000e+00   0.000000e+00   0.000000e+00   8.656753e-23   1.766042e-22   4.792409e-22   8.437775e-22   1.478167e-21   1.086663e-21   1.632837e-21   2.100215e-21   3.156753e-21   4.238952e-21   5.576362e-21   8.141620e-21   1.047859e-20   1.166598e-20   1.030506e-20   1.581317e-20   5.189406e-21   1.549633e-20   2.716973e-20   5.856834e-20   1.268028e-19   3.038413e-19   2.851117e-19   0.000000e+00
         5.2000   0.000000e+00   0.000000e+00   0.000000e+00   8.571876e-23   1.720351e-22   4.596602e-22   8.042951e-22   1.403512e-21   1.031595e-21   1.549295e-21   1.992473e-21   2.992576e-21   4.016749e-21   5.281916e-21   7.704993e-21   9.914635e-21   1.103526e-20   9.732781e-21   1.493284e-20   4.902561e-21   2.049621e-20   2.566629e-20   5.534445e-20   1.198515e-19   2.871355e-19   2.690284e-19   0.000000e+00
         5.2500   0.000000e+00   0.000000e+00   0.000000e+00   8.512912e-23   1.678819e-22   4.413303e-22   8.867143e-22   1.333238e-21   9.798326e-22   1.470757e-21   1.891185e-21   2.838150e-21   3.807672e-21   5.313741e-21   7.293663e-21   9.383284e-21   1.044099e-20   9.192741e-21   1.410199e-20   4.631942e-21   1.936674e-20   2.424783e-20   5.230377e-20   1.132968e-19   2.724639e-19   2.540576e-19   0.000000e+00
         5.3000   0.000000e+00   0.000000e+00   0.000000e+00   8.477495e-23   1.641061e-22   4.241591e-22   8.453698e-22   1.267081e-21   9.311883e-22   1.396943e-21   1.795996e-21   2.692938e-21   3.611003e-21   5.035866e-21   6.906230e-21   8.882738e-21   9.881172e-21   8.683144e-21   1.331785e-20   4.376648e-21   1.830135e-20   3.329993e-20   4.943619e-20   1.071167e-19   2.564338e-19   2.405823e-19   0.000000e+00
         5.3500   0.000000e+00   0.000000e+00   0.000000e+00   8.463023e-23   1.606681e-22   4.080559e-22   8.064781e-22   1.204786e-21   8.854847e-22   1.327589e-21   1.706566e-21   2.556430e-21   3.426056e-21   4.774414e-21   6.541368e-21   8.411294e-21   9.353934e-21   8.202295e-21   1.257783e-20   7.834110e-21   1.729649e-20   3.145674e-20   4.673214e-20   1.012906e-19   2.431358e-19   2.272121e-19   0.000000e+00
         5.4000   0.000000e+00   0.000000e+00   0.000000e+00   8.466661e-23   1.575273e-22   3.929323e-22   7.698735e-22   1.146113e-21   8.425522e-22   1.262443e-21   1.622572e-21   2.428144e-21   3.252184e-21   4.528479e-21   6.197822e-21   7.967340e-21   8.857494e-21   7.748596e-21   1.187945e-20   7.401714e-21   1.634882e-20   2.971767e-20   4.418261e-20   9.579918e-20   2.294810e-19   2.145925e-19   0.000000e+00
         5.4500   0.000000e+00   0.000000e+00   0.000000e+00   8.485333e-23   1.546425e-22   3.787019e-22   7.353964e-22   1.090829e-21   8.022290e-22   1.201265e-21   1.613725e-21   2.307620e-21   3.088771e-21   4.297203e-21   5.874402e-21   7.549347e-21   8.390172e-21   7.320534e-21   1.122040e-20   6.993792e-21   1.545516e-20   2.807694e-20   4.177908e-20   9.062390e-20   2.165055e-19   2.028709e-19   0.000000e+00
         5.5000   0.000000e+00   0.000000e+00   0.000000e+00   8.515724e-23   1.519715e-22   3.652798e-22   7.028933e-22   1.038711e-21   7.643603e-22   1.143826e-21   1.535902e-21   2.194421e-21   2.935233e-21   4.079768e-21   5.569978e-21   7.155866e-21   7.950376e-21   6.916685e-21   1.059849e-20   6.608983e-21   1.461252e-20   2.652907e-20   3.951351e-20   8.574743e-20   2.045402e-19   1.912455e-19   0.000000e+00
         5.5500   0.000000e+00   0.000000e+00   0.000000e+00   8.554338e-23   1.494720e-22   3.998191e-22   6.722161e-22   9.895450e-22   7.287983e-22   1.089906e-21   1.462856e-21   2.088130e-21   2.791011e-21   3.875401e-21   5.283479e-21   6.785524e-21   7.536603e-21   6.535701e-21   1.001164e-20   6.245998e-21   1.381807e-20   2.506889e-20   3.737828e-20   8.115334e-20   1.937726e-19   1.806526e-19   0.000000e+00
         5.6000   0.000000e+00   0.000000e+00   0.000000e+00   8.597571e-23   1.471012e-22   3.854565e-22   6.432221e-22   9.431277e-22   6.954012e-22   1.039297e-21   1.394309e-21   1.988349e-21   2.803907e-21   3.683363e-21   5.013884e-21   6.437016e-21   7.147427e-21   6.176308e-21   9.457902e-21   5.903622e-21   1.878381e-20   2.369154e-20   3.536622e-20   7.682612e-20   1.833153e-19   1.708062e-19   0.000000e+00
         5.6500   0.000000e+00   0.000000e+00   0.000000e+00   8.641753e-23   1.448168e-22   3.718102e-22   6.157744e-22   8.992627e-22   6.640334e-22   9.917983e-22   1.329994e-21   1.894698e-21   2.668696e-21   3.502953e-21   4.760226e-21   6.109103e-21   6.781499e-21   5.837304e-21   8.935426e-21   5.580702e-21   1.775962e-20   2.239238e-20   3.347054e-20   7.275109e-20   1.729096e-19   1.613686e-19   0.000000e+00
         5.7000   0.000000e+00   0.000000e+00   0.000000e+00   8.683179e-23   1.602131e-22   3.587987e-22   5.897430e-22   8.577623e-22   6.345642e-22   9.472171e-22   1.269654e-21   1.806814e-21   2.541745e-21   3.333499e-21   4.521581e-21   5.800605e-21   6.437535e-21   5.517551e-21   8.442465e-21   5.276152e-21   1.679389e-20   2.116707e-20   3.168481e-20   6.891436e-20   1.633109e-19   1.522356e-19   0.000000e+00
         5.7500   0.000000e+00   0.000000e+00   0.000000e+00   8.718127e-23   1.573291e-22   3.463437e-22   5.650044e-22   8.184477e-22   6.068686e-22   9.053691e-22   1.213045e-21   1.724347e-21   2.422566e-21   3.174361e-21   4.297070e-21   5.510401e-21   6.114317e-21   5.215974e-21   7.977370e-21   8.600594e-21   1.588336e-20   2.001148e-20   3.000295e-20   6.530281e-20   1.545421e-19   1.438465e-19   0.000000e+00
         5.8000   0.000000e+00   0.000000e+00   0.000000e+00   8.742938e-23   1.544691e-22   3.343719e-22   5.414410e-22   7.811505e-22   5.808273e-22   8.660773e-22   1.159930e-21   1.726927e-21   2.310690e-21   3.024928e-21   4.085853e-21   5.237420e-21   5.810692e-21   4.931556e-21   7.538581e-21   8.129333e-21   1.502495e-20   1.892170e-20   2.841920e-20   6.190398e-20   1.456484e-19   1.359318e-19   0.000000e+00
         5.8500   0.000000e+00   0.000000e+00   0.000000e+00   9.288222e-23   1.515952e-22   3.228166e-22   5.189401e-22   7.457110e-22   5.563255e-22   8.291724e-22   1.110084e-21   1.650074e-21   2.205669e-21   2.884613e-21   3.887132e-21   4.980645e-21   5.525560e-21   4.663335e-21   7.124621e-21   7.684804e-21   1.421573e-20   1.789405e-20   2.692813e-20   5.870609e-20   1.374667e-19   1.283505e-19   0.000000e+00
