# CIE bound-bound cooling efficiency for Ca (Z=20)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ca0          L_Ca1          L_Ca2          L_Ca3          L_Ca4          L_Ca5          L_Ca6          L_Ca7          L_Ca8          L_Ca9          L_Ca10         L_Ca11         L_Ca12         L_Ca13         L_Ca14         L_Ca15         L_Ca16         L_Ca17         L_Ca18         L_Ca19         L_Ca20       
         5.3000   0.000000e+00   2.958548e-18   3.664839e-24   7.345818e-24   4.111874e-20   5.724209e-20   8.943558e-19   1.062041e-18   1.028122e-18   7.109295e-19   1.537850e-21   7.245505e-21   2.316727e-20   3.582773e-20   5.304799e-20   4.348123e-20   3.719594e-20   5.728880e-20   3.445482e-20   8.716841e-20   8.379100e-20
         5.3500   0.000000e+00   2.964886e-18   3.866159e-24   7.889123e-24   3.875254e-20   5.304818e-20   1.047507e-18   1.203813e-18   1.161752e-18   7.829933e-19   1.469145e-21   8.288829e-21   2.619384e-20   4.312541e-20   5.987076e-20   5.230821e-20   4.780140e-20   6.742839e-20   3.264203e-20   8.216225e-20   7.918374e-20
         5.4000   0.000000e+00   2.962449e-18   4.068449e-24   8.473544e-24   3.647601e-20   4.884903e-20   1.202799e-18   1.343255e-18   1.292075e-18   8.508756e-19   1.405421e-21   9.798179e-21   3.019605e-20   5.174029e-20   6.830086e-20   6.301393e-20   6.047621e-20   7.788760e-20   3.093654e-20   7.783089e-20   7.477146e-20
         5.4500   0.000000e+00   2.951972e-18   4.271702e-24   9.100761e-24   3.430090e-20   4.471510e-20   1.356641e-18   1.477333e-18   1.416989e-18   9.138105e-19   1.347431e-21   1.184150e-20   3.522682e-20   6.157318e-20   7.978293e-20   7.559228e-20   7.502351e-20   8.834419e-20   2.933315e-20   7.363456e-20   7.063909e-20
         5.5000   0.000000e+00   2.934176e-18   4.476456e-24   9.771784e-24   3.223416e-20   4.070177e-20   1.505795e-18   1.603509e-18   1.534838e-18   9.712957e-19   1.298880e-21   1.445523e-20   4.126334e-20   7.243532e-20   9.112027e-20   8.986079e-20   9.292304e-20   9.849952e-20   2.782579e-20   6.972586e-20   6.678043e-20
         5.5500   0.000000e+00   2.909765e-18   4.683653e-24   1.048674e-23   3.027893e-20   3.685497e-20   1.647510e-18   1.719768e-18   1.644403e-18   1.023060e-18   1.272541e-21   1.764083e-20   4.821115e-20   8.407565e-20   1.036224e-19   1.054940e-19   1.101194e-19   1.080973e-19   2.640930e-20   6.569273e-20   6.314212e-20
         5.6000   0.000000e+00   2.879409e-18   4.894663e-24   1.124451e-23   2.843547e-20   3.321140e-20   1.779605e-18   1.824642e-18   1.744856e-18   1.069026e-18   1.304511e-21   2.137208e-20   5.591849e-20   9.621774e-20   1.169636e-19   1.220834e-19   1.279994e-19   1.169312e-19   2.507879e-20   6.218170e-20   5.971208e-20
         5.6500   0.000000e+00   2.843748e-18   5.111141e-24   1.204272e-23   2.670189e-20   2.979622e-20   1.900482e-18   1.917230e-18   1.835664e-18   1.109283e-18   1.481744e-21   2.561387e-20   6.419853e-20   1.085823e-19   1.307820e-19   1.391711e-19   1.460508e-19   1.248485e-19   2.382963e-20   5.885383e-20   5.647895e-20
         5.7000   0.000000e+00   2.803386e-18   5.335005e-24   1.287753e-23   2.507480e-20   2.662488e-20   2.009100e-18   1.997132e-18   1.916426e-18   1.144059e-18   1.986152e-21   3.036155e-20   7.286617e-20   1.208780e-19   1.447155e-19   1.562829e-19   1.637777e-19   1.317502e-19   2.265745e-20   5.571469e-20   5.343245e-20
         5.7500   0.000000e+00   2.758889e-18   5.568233e-24   1.374396e-23   2.354978e-20   2.370519e-20   2.104917e-18   2.064334e-18   1.986886e-18   1.173678e-18   3.152129e-21   3.570003e-20   8.178719e-20   1.328580e-19   1.584372e-19   1.729604e-19   1.807301e-19   1.375855e-19   2.155812e-20   5.264843e-20   5.056276e-20
