# CIE bound-bound cooling efficiency for N (Z=7)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_N0           L_N1           L_N2           L_N3           L_N4           L_N5           L_N6           L_N7         
         6.5500   3.469585e-24   6.642746e-24   1.451658e-23   5.045924e-23   1.567761e-22   3.444486e-22   4.622253e-22   0.000000e+00
         6.6000   3.230787e-24   6.216086e-24   1.359337e-23   4.828389e-23   1.501286e-22   3.314605e-22   4.440355e-22   0.000000e+00
         6.6500   2.999822e-24   5.803868e-24   1.270845e-23   4.614777e-23   1.436126e-22   3.189261e-22   4.265376e-22   0.000000e+00
         6.7000   2.777585e-24   5.406976e-24   1.186212e-23   4.405446e-23   1.372206e-22   3.068460e-22   4.096619e-22   0.000000e+00
         6.7500   2.564725e-24   5.026164e-24   1.105375e-23   4.200739e-23   1.309559e-22   2.952179e-22   3.933786e-22   0.000000e+00
         6.8000   2.361673e-24   4.661908e-24   1.028242e-23   4.000920e-23   1.248267e-22   2.839729e-22   3.776809e-22   0.000000e+00
         6.8500   2.168684e-24   4.314433e-24   9.547790e-24   3.806281e-23   1.188405e-22   2.730069e-22   3.625379e-22   0.000000e+00
         6.9000   1.985877e-24   3.983847e-24   8.850205e-24   3.617124e-23   1.130051e-22   2.622960e-22   3.478562e-22   0.000000e+00
         6.9500   1.813264e-24   3.670205e-24   8.189909e-24   3.433369e-23   1.073285e-22   2.518746e-22   3.335524e-22   0.000000e+00
         7.0000   1.650781e-24   3.373513e-24   7.566402e-24   3.254581e-23   1.018179e-22   2.417486e-22   3.196270e-22   0.000000e+00
         7.0500   1.498304e-24   3.093685e-24   6.978631e-24   3.080493e-23   9.647286e-23   2.318749e-22   3.060984e-22   0.000000e+00
         7.1000   1.355669e-24   2.830544e-24   6.425403e-24   2.911570e-23   9.128861e-23   2.222323e-22   2.929470e-22   0.000000e+00
         7.1500   1.222677e-24   2.583813e-24   5.905665e-24   2.748434e-23   8.626342e-23   2.128337e-22   2.801367e-22   0.000000e+00
         7.2000   1.099099e-24   2.353142e-24   5.418503e-24   2.591442e-23   8.140575e-23   2.036454e-22   2.676648e-22   0.000000e+00
         7.2500   9.846819e-25   2.138110e-24   4.962945e-24   2.440458e-23   7.672595e-23   1.946083e-22   2.555328e-22   0.000000e+00
         7.3000   8.791453e-25   1.938243e-24   4.537922e-24   2.295266e-23   7.222936e-23   1.857390e-22   2.436890e-22   0.000000e+00
         7.3500   7.821833e-25   1.753012e-24   4.142241e-24   2.155742e-23   6.791351e-23   1.770937e-22   2.320986e-22   0.000000e+00
         7.4000   6.934641e-25   1.581846e-24   3.774654e-24   2.021940e-23   6.377455e-23   1.686936e-22   2.207986e-22   0.000000e+00
         7.4500   6.126299e-25   1.424134e-24   3.433895e-24   1.893925e-23   5.980996e-23   1.605174e-22   2.098304e-22   0.000000e+00
         7.5000   5.392990e-25   1.279234e-24   3.118685e-24   1.771712e-23   5.601945e-23   1.525467e-22   1.991944e-22   0.000000e+00
         7.5500   4.730680e-25   1.146483e-24   2.827753e-24   1.655246e-23   5.240247e-23   1.447835e-22   1.888739e-22   0.000000e+00
         7.6000   4.135161e-25   1.025203e-24   2.559829e-24   1.544428e-23   4.895756e-23   1.372394e-22   1.788600e-22   0.000000e+00
         7.6500   3.602093e-25   9.147089e-25   2.313637e-24   1.439153e-23   4.568203e-23   1.299243e-22   1.691587e-22   0.000000e+00
         7.7000   3.127060e-25   8.143175e-25   2.087902e-24   1.339310e-23   4.257261e-23   1.228425e-22   1.597780e-22   0.000000e+00
         7.7500   2.705618e-25   7.233518e-25   1.881359e-24   1.244785e-23   3.962566e-23   1.159947e-22   1.507235e-22   0.000000e+00
         7.8000   2.333360e-25   6.411471e-25   1.692767e-24   1.155463e-23   3.683719e-23   1.093833e-22   1.419970e-22   0.000000e+00
         7.8500   2.005959e-25   5.670562e-25   1.520912e-24   1.071214e-23   3.420314e-23   1.030194e-22   1.335984e-22   0.000000e+00
         7.9000   1.719222e-25   5.004529e-25   1.364618e-24   9.918885e-24   3.171930e-23   9.690601e-23   1.255321e-22   0.000000e+00
         7.9500   1.469125e-25   4.407361e-25   1.222751e-24   9.173265e-24   2.938111e-23   9.102598e-23   1.178064e-22   0.000000e+00
         8.0000   1.251854e-25   3.873317e-25   1.094220e-24   8.473570e-24   2.718368e-23   8.537107e-23   1.104132e-22   0.000000e+00
         8.0500   1.063826e-25   3.396945e-25   9.779829e-25   7.818012e-24   2.512187e-23   7.995652e-23   1.033345e-22   0.000000e+00
         8.1000   9.017081e-26   2.973093e-25   8.730505e-25   7.204773e-24   2.319032e-23   7.479476e-23   9.656991e-23   0.000000e+00
         8.1500   7.624276e-26   2.596915e-25   7.784896e-25   6.632011e-24   2.138354e-23   6.988043e-23   9.013022e-23   0.000000e+00
         8.2000   6.431750e-26   2.263874e-25   6.934231e-25   6.097857e-24   1.969597e-23   6.520296e-23   8.401703e-23   0.000000e+00
         8.2500   5.414023e-26   1.969745e-25   6.170268e-25   5.600438e-24   1.812209e-23   6.075483e-23   7.821930e-23   0.000000e+00
         8.3000   4.548160e-26   1.710607e-25   5.485292e-25   5.137900e-24   1.665636e-23   5.653349e-23   7.272514e-23   0.000000e+00
         8.3500   3.813660e-26   1.482843e-25   4.872104e-25   4.708428e-24   1.529331e-23   5.253598e-23   6.752626e-23   0.000000e+00
         8.4000   3.192317e-26   1.283124e-25   4.323992e-25   4.310256e-24   1.402751e-23   4.875798e-23   6.261640e-23   0.000000e+00
         8.4500   2.668070e-26   1.108402e-25   3.834728e-25   3.941651e-24   1.285365e-23   4.519332e-23   5.798836e-23   0.000000e+00
         8.5000   2.226825e-26   9.558970e-26   3.398569e-25   3.600920e-24   1.176652e-23   4.183540e-23   5.363376e-23   0.000000e+00
         8.5500   1.856284e-26   8.230790e-26   3.010238e-25   3.286406e-24   1.076107e-23   3.867739e-23   4.954316e-23   0.000000e+00
         8.6000   1.545774e-26   7.076583e-26   2.664899e-25   2.996493e-24   9.832384e-24   3.571238e-23   4.570683e-23   0.000000e+00
         8.6500   1.286072e-26   6.075684e-26   2.358128e-25   2.729604e-24   8.975705e-24   3.293355e-23   4.211482e-23   0.000000e+00
         8.7000   1.069249e-26   5.209517e-26   2.085895e-25   2.484223e-24   8.186416e-24   3.033380e-23   3.875724e-23   0.000000e+00
         8.7500   8.885135e-27   4.461435e-26   1.844531e-25   2.258899e-24   7.460064e-24   2.790575e-23   3.562418e-23   0.000000e+00
         8.8000   7.380746e-27   3.816579e-26   1.630714e-25   2.052248e-24   6.792395e-24   2.564186e-23   3.270558e-23   0.000000e+00
         8.8500   6.130100e-27   3.261720e-26   1.441440e-25   1.862948e-24   6.179363e-24   2.353447e-23   2.999123e-23   0.000000e+00
         8.9000   5.091515e-27   2.785125e-26   1.274002e-25   1.689743e-24   5.617123e-24   2.157586e-23   2.747091e-23   0.000000e+00
         8.9500   4.229810e-27   2.376419e-26   1.125969e-25   1.531444e-24   5.102031e-24   1.975836e-23   2.513442e-23   0.000000e+00
         9.0000   3.515374e-27   2.026467e-26   9.951565e-26   1.386923e-24   4.630637e-24   1.807438e-23   2.297165e-23   0.000000e+00
