# CIE bound-bound cooling efficiency for O (Z=8)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_O0           L_O1           L_O2           L_O3           L_O4           L_O5           L_O6           L_O7           L_O8         
         5.6500   6.533249e-20   1.127616e-18   1.244418e-18   1.250676e-18   1.045898e-18   6.448792e-19   1.342827e-21   1.750365e-21   6.576875e-23
         5.7000   6.636663e-20   1.170485e-18   1.306153e-18   1.316177e-18   1.090225e-18   6.598836e-19   1.282608e-21   1.671528e-21   7.007964e-23
         5.7500   6.718737e-20   1.207339e-18   1.361731e-18   1.375955e-18   1.130928e-18   6.744304e-19   1.232214e-21   1.598102e-21   7.470299e-23
         5.8000   6.780321e-20   1.238220e-18   1.410848e-18   1.429498e-18   1.167743e-18   6.882232e-19   1.194151e-21   1.530679e-21   7.966471e-23
         5.8500   6.822354e-20   1.263298e-18   1.453393e-18   1.476465e-18   1.200476e-18   7.009687e-19   1.183222e-21   1.471558e-21   8.499307e-23
         5.9000   6.845831e-20   1.282833e-18   1.489412e-18   1.516677e-18   1.228980e-18   7.125332e-19   1.230321e-21   1.426898e-21   9.071885e-23
         5.9500   6.851791e-20   1.297159e-18   1.519067e-18   1.550126e-18   1.253157e-18   7.229306e-19   1.388679e-21   1.410279e-21   9.687564e-23
         6.0000   6.841298e-20   1.306694e-18   1.542586e-18   1.577052e-18   1.272954e-18   7.321721e-19   1.752405e-21   1.447470e-21   1.035002e-22
         6.0500   6.815433e-20   1.311857e-18   1.560178e-18   1.597785e-18   1.288368e-18   7.402379e-19   2.452186e-21   1.581383e-21   1.106323e-22
         6.1000   6.775280e-20   1.313033e-18   1.572114e-18   1.612677e-18   1.299440e-18   7.471090e-19   3.661785e-21   1.875380e-21   1.183155e-22
         6.1500   6.721923e-20   1.310582e-18   1.578729e-18   1.622084e-18   1.306285e-18   7.527772e-19   5.588160e-21   2.412999e-21   1.265967e-22
         6.2000   6.656433e-20   1.304836e-18   1.580393e-18   1.626363e-18   1.309126e-18   7.572694e-19   8.454561e-21   3.292899e-21   1.355269e-22
         6.2500   6.579868e-20   1.296104e-18   1.577493e-18   1.625861e-18   1.308209e-18   7.606515e-19   1.248105e-20   4.618733e-21   1.451610e-22
         6.3000   6.493260e-20   1.284677e-18   1.570440e-18   1.620897e-18   1.303777e-18   7.629279e-19   1.785889e-20   6.485898e-21   1.555578e-22
         6.3500   6.397616e-20   1.270837e-18   1.559706e-18   1.611789e-18   1.296066e-18   7.641073e-19   2.473321e-20   8.967852e-21   1.667804e-22
         6.4000   6.293907e-20   1.254892e-18   1.545722e-18   1.598865e-18   1.285311e-18   7.642576e-19   3.318933e-20   1.210483e-20   1.788948e-22
         6.4500   6.183069e-20   1.237119e-18   1.528865e-18   1.582456e-18   1.271770e-18   7.633739e-19   4.324672e-20   1.589731e-20   1.919704e-22
         6.5000   6.065999e-20   1.217755e-18   1.509464e-18   1.562893e-18   1.255762e-18   7.613965e-19   5.486016e-20   2.030542e-20   2.060780e-22
         6.5500   5.943546e-20   1.197008e-18   1.487812e-18   1.540536e-18   1.237580e-18   7.583183e-19   6.792710e-20   2.525351e-20   2.212879e-22
         6.6000   5.816519e-20   1.175063e-18   1.464175e-18   1.515869e-18   1.217482e-18   7.542417e-19   8.229791e-20   3.063875e-20   2.376672e-22
         6.6500   5.685675e-20   1.152096e-18   1.438797e-18   1.489309e-18   1.195701e-18   7.492516e-19   9.778808e-20   3.634216e-20   2.552736e-22
         6.7000   5.551726e-20   1.128291e-18   1.411917e-18   1.461174e-18   1.172453e-18   7.431874e-19   1.141906e-19   4.223793e-20   2.741523e-22
         6.7500   5.415336e-20   1.103806e-18   1.383819e-18   1.431714e-18   1.147967e-18   7.360657e-19   1.312824e-19   4.819625e-20   2.943235e-22
         6.8000   5.277120e-20   1.078772e-18   1.354753e-18   1.401137e-18   1.122524e-18   7.279122e-19   1.488258e-19   5.408989e-20   3.157812e-22
         6.8500   5.137647e-20   1.053303e-18   1.324920e-18   1.369626e-18   1.096350e-18   7.187659e-19   1.665833e-19   5.980368e-20   3.384792e-22
         6.9000   4.997437e-20   1.027500e-18   1.294493e-18   1.337343e-18   1.069612e-18   7.091138e-19   1.843276e-19   6.523904e-20   3.623342e-22
         6.9500   4.856970e-20   1.001455e-18   1.263614e-18   1.304447e-18   1.042444e-18   6.986128e-19   2.018476e-19   7.031653e-20   3.872202e-22
         7.0000   4.716679e-20   9.752528e-19   1.232412e-18   1.271106e-18   1.014958e-18   6.873212e-19   2.189530e-19   7.498541e-20   4.129823e-22
         7.0500   4.576959e-20   9.489714e-19   1.200999e-18   1.237472e-18   9.872556e-19   6.753062e-19   2.354634e-19   7.924083e-20   4.394396e-22
         7.1000   4.438164e-20   9.226838e-19   1.169473e-18   1.203679e-18   9.594277e-19   6.626401e-19   2.511956e-19   8.309603e-20   4.664154e-22
         7.1500   4.300612e-20   8.964575e-19   1.137915e-18   1.169845e-18   9.315661e-19   6.493939e-19   2.659935e-19   8.657121e-20   4.937399e-22
