# CIE bound-bound cooling efficiency for Ar (Z=18)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ar0          L_Ar1          L_Ar2          L_Ar3          L_Ar4          L_Ar5          L_Ar6          L_Ar7          L_Ar8          L_Ar9          L_Ar10         L_Ar11         L_Ar12         L_Ar13         L_Ar14         L_Ar15         L_Ar16         L_Ar17         L_Ar18       
         4.8000   0.000000e+00   4.601542e-25   5.040682e-20   2.395751e-19   2.603387e-19   2.308607e-19   1.859222e-19   1.709899e-19   1.083685e-21   1.621205e-20   1.717831e-20   7.943338e-21   2.404750e-20   4.061673e-20   8.343857e-21   9.649161e-21   3.767274e-20   9.893475e-20   9.724005e-20
         4.8500   0.000000e+00   4.942032e-25   4.878591e-20   3.058562e-19   3.278613e-19   3.004358e-19   2.605172e-19   2.310116e-19   1.029473e-21   1.521417e-20   1.750961e-20   9.613326e-21   2.558795e-20   3.888866e-20   8.249857e-21   1.084634e-20   3.561852e-20   9.344005e-20   9.165763e-20
         4.9000   0.000000e+00   5.308148e-25   4.692009e-20   3.875245e-19   4.120907e-19   3.870892e-19   3.514386e-19   3.007783e-19   9.786444e-22   1.421235e-20   1.821796e-20   1.151279e-20   2.724058e-20   3.712707e-20   8.453900e-21   1.297891e-20   3.368214e-20   8.825529e-20   8.660311e-20
         4.9500   0.000000e+00   5.700883e-25   4.487187e-20   4.849269e-19   5.140488e-19   4.912912e-19   4.581570e-19   3.789653e-19   9.310269e-22   1.323979e-20   1.844813e-20   1.368547e-20   2.903322e-20   3.560746e-20   9.134521e-21   1.629455e-20   3.185716e-20   8.343863e-20   8.184178e-20
         5.0000   0.000000e+00   6.120748e-25   4.270117e-20   5.975455e-19   6.338948e-19   6.126522e-19   5.793250e-19   4.637830e-19   8.864578e-22   1.233250e-20   1.872563e-20   1.721083e-20   3.203210e-20   3.469870e-20   1.054666e-20   2.099947e-20   3.013747e-20   7.872860e-20   7.730801e-20
         5.0500   0.000000e+00   6.567715e-25   4.046240e-20   7.240457e-19   7.708419e-19   7.499291e-19   7.129256e-19   5.531637e-19   8.447845e-22   1.153346e-20   1.915024e-20   2.023297e-20   3.448424e-20   3.483349e-20   1.301794e-20   2.722181e-20   2.851733e-20   7.456409e-20   7.291990e-20
         5.1000   0.000000e+00   7.040931e-25   3.820273e-20   8.624562e-19   9.231737e-19   9.011249e-19   8.563369e-19   6.449614e-19   8.058637e-22   1.089749e-20   1.985492e-20   2.401060e-20   3.768780e-20   3.828906e-20   1.692339e-20   3.498581e-20   2.699131e-20   7.045529e-20   6.888948e-20
         5.1500   0.000000e+00   7.538775e-25   3.596129e-20   1.010260e-18   1.088335e-18   1.063650e-18   1.006593e-18   7.371298e-19   7.695632e-22   1.049369e-20   2.100790e-20   2.880076e-20   4.196459e-20   4.158831e-20   2.264550e-20   4.420187e-20   2.555429e-20   6.682532e-20   6.508708e-20
         5.2000   0.000000e+00   8.058714e-25   3.376923e-20   1.164510e-18   1.263064e-18   1.234514e-18   1.160606e-18   8.277938e-19   7.357791e-22   1.041210e-20   2.281184e-20   3.485898e-20   4.763303e-20   4.703702e-20   3.051837e-20   5.467168e-20   2.420143e-20   6.312301e-20   6.144506e-20
         5.2500   0.000000e+00   8.597575e-25   3.165013e-20   1.322035e-18   1.443621e-18   1.410517e-18   1.315343e-18   9.153362e-19   7.045380e-22   1.076460e-20   2.547158e-20   4.237566e-20   5.496044e-20   5.483000e-20   4.077147e-20   6.610851e-20   2.292815e-20   5.957889e-20   5.803396e-20
