# CIE bound-bound cooling efficiency for Ne (Z=10)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ne0          L_Ne1          L_Ne2          L_Ne3          L_Ne4          L_Ne5          L_Ne6          L_Ne7          L_Ne8          L_Ne9          L_Ne10       
         6.3000   1.670584e-19   4.392836e-19   1.004364e-18   4.215662e-19   1.415867e-18   1.073613e-18   9.801534e-19   5.376572e-19   1.857764e-21   4.992704e-22   0.000000e+00
         6.3500   1.627293e-19   4.259370e-19   1.013057e-18   4.169845e-19   1.430874e-18   1.033417e-18   9.867259e-19   5.445064e-19   3.226673e-21   9.236604e-22   0.000000e+00
         6.4000   1.579078e-19   4.118109e-19   1.019195e-18   4.119678e-19   1.440799e-18   9.856445e-19   9.902631e-19   5.507502e-19   5.274434e-21   1.592618e-21   0.000000e+00
         6.4500   1.527194e-19   3.971324e-19   1.022877e-18   4.065582e-19   1.445955e-18   9.321422e-19   9.908906e-19   5.564446e-19   8.169498e-21   2.578791e-21   0.000000e+00
         6.5000   1.472728e-19   3.821001e-19   1.024206e-18   4.007917e-19   1.446739e-18   8.746003e-19   9.888508e-19   5.615995e-19   1.206262e-20   3.947994e-21   0.000000e+00
         6.5500   1.416606e-19   3.668848e-19   1.023284e-18   3.946997e-19   1.443539e-18   8.145009e-19   9.843727e-19   5.662150e-19   1.707104e-20   5.749730e-21   0.000000e+00
         6.6000   1.359603e-19   3.516321e-19   1.020221e-18   3.883103e-19   1.436716e-18   7.529682e-19   9.776606e-19   5.703328e-19   2.326679e-20   8.009732e-21   0.000000e+00
         6.6500   1.302362e-19   3.364640e-19   1.015132e-18   3.816495e-19   1.426607e-18   6.903559e-19   9.689009e-19   5.739641e-19   3.067042e-20   1.072597e-20   0.000000e+00
         6.7000   1.245410e-19   3.214817e-19   1.008134e-18   3.747419e-19   1.413529e-18   6.271404e-19   9.582678e-19   5.769584e-19   3.925029e-20   1.386868e-20   0.000000e+00
         6.7500   1.189171e-19   3.067675e-19   9.993522e-19   3.676112e-19   1.397785e-18   5.640922e-19   9.459510e-19   5.792100e-19   4.892714e-20   1.738476e-20   0.000000e+00
         6.8000   1.133983e-19   2.923876e-19   9.889133e-19   3.602808e-19   1.379676e-18   5.020978e-19   9.321612e-19   5.806920e-19   5.958203e-20   2.120401e-20   0.000000e+00
         6.8500   1.080110e-19   2.783935e-19   9.769471e-19   3.527736e-19   1.359476e-18   4.420276e-19   9.170696e-19   5.815335e-19   7.106596e-20   2.524590e-20   0.000000e+00
         6.9000   1.027750e-19   2.648247e-19   9.635846e-19   3.451127e-19   1.337433e-18   3.849019e-19   9.008165e-19   5.814615e-19   8.320978e-20   2.942633e-20   0.000000e+00
         6.9500   9.770537e-20   2.517098e-19   9.489570e-19   3.373209e-19   1.313776e-18   3.327290e-19   8.835243e-19   5.804396e-19   9.583275e-20   3.366341e-20   0.000000e+00
