# CIE bound-bound cooling efficiency for C (Z=6)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_C0           L_C1           L_C2           L_C3           L_C4           L_C5           L_C6         
         7.8500   9.864748e-26   3.363737e-25   3.772363e-24   1.346406e-23   5.165265e-23   7.096731e-23   0.000000e+00
         7.9000   8.441308e-26   2.968676e-25   3.485099e-24   1.243417e-23   4.840318e-23   6.644916e-23   0.000000e+00
         7.9500   7.205504e-26   2.616267e-25   3.215900e-24   1.146981e-23   4.530224e-23   6.212712e-23   0.000000e+00
         8.0000   6.136245e-26   2.302616e-25   2.964015e-24   1.056820e-23   4.234734e-23   5.800758e-23   0.000000e+00
         8.0500   5.214115e-26   2.024074e-25   2.728686e-24   9.726551e-24   3.953263e-23   5.409443e-23   0.000000e+00
         8.1000   4.421369e-26   1.777229e-25   2.509152e-24   8.942057e-24   3.685383e-23   5.038232e-23   0.000000e+00
         8.1500   3.741904e-26   1.558910e-25   2.304665e-24   8.211927e-24   3.430960e-23   4.686358e-23   0.000000e+00
         8.2000   3.161200e-26   1.366181e-25   2.114488e-24   7.533384e-24   3.189839e-23   4.353205e-23   0.000000e+00
         8.2500   2.666252e-26   1.196347e-25   1.937891e-24   6.903692e-24   2.961784e-23   4.038376e-23   0.000000e+00
         8.3000   2.245480e-26   1.046936e-25   1.774153e-24   6.320162e-24   2.746450e-23   3.741438e-23   0.000000e+00
         8.3500   1.888632e-26   9.156942e-26   1.622564e-24   5.780168e-24   2.543460e-23   3.461890e-23   0.000000e+00
         8.4000   1.586679e-26   8.005750e-26   1.482421e-24   5.281154e-24   2.352424e-23   3.199152e-23   0.000000e+00
         8.4500   1.331710e-26   6.997250e-26   1.353039e-24   4.820635e-24   2.172944e-23   2.952618e-23   0.000000e+00
         8.5000   1.116828e-26   6.114739e-26   1.233751e-24   4.396198e-24   2.004623e-23   2.721664e-23   0.000000e+00
         8.5500   9.360470e-27   5.343230e-26   1.123917e-24   4.005500e-24   1.847050e-23   2.505664e-23   0.000000e+00
         8.6000   7.841951e-27   4.669323e-26   1.022918e-24   3.646295e-24   1.699794e-23   2.303997e-23   0.000000e+00
         8.6500   6.568213e-27   4.081077e-26   9.301634e-25   3.316438e-24   1.562412e-23   2.116033e-23   0.000000e+00
         8.7000   5.501098e-27   3.567886e-26   8.450847e-25   3.013887e-24   1.434454e-23   1.941132e-23   0.000000e+00
         8.7500   4.608010e-27   3.120355e-26   7.671408e-25   2.736703e-24   1.315465e-23   1.778650e-23   0.000000e+00
         8.8000   3.861200e-27   2.730175e-26   6.958162e-25   2.483045e-24   1.204991e-23   1.627945e-23   0.000000e+00
         8.8500   3.237119e-27   2.390030e-26   6.306231e-25   2.251171e-24   1.102583e-23   1.488378e-23   0.000000e+00
         8.9000   2.715840e-27   2.093491e-26   5.711005e-25   2.039432e-24   1.007794e-23   1.359319e-23   0.000000e+00
         8.9500   2.280548e-27   1.834928e-26   5.168144e-25   1.846278e-24   9.201858e-24   1.240157e-23   0.000000e+00
         9.0000   1.917088e-27   1.609413e-26   4.673563e-25   1.670254e-24   8.393317e-24   1.130293e-23   0.000000e+00
