# CIE bound-bound cooling efficiency for Ca (Z=20)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ca0          L_Ca1          L_Ca2          L_Ca3          L_Ca4          L_Ca5          L_Ca6          L_Ca7          L_Ca8          L_Ca9          L_Ca10         L_Ca11         L_Ca12         L_Ca13         L_Ca14         L_Ca15         L_Ca16         L_Ca17         L_Ca18         L_Ca19         L_Ca20       
         4.4500   0.000000e+00   1.286593e-18   0.000000e+00   0.000000e+00   5.192917e-20   4.612727e-20   1.206010e-20   1.118472e-19   5.513165e-22   7.265743e-22   4.286675e-80   1.782368e-21   5.867425e-21   4.699174e-22   1.606927e-20   3.668656e-21   4.991117e-26   1.883290e-25   0.000000e+00   0.000000e+00   0.000000e+00
         4.5000   0.000000e+00   1.434573e-18   0.000000e+00   0.000000e+00   5.483361e-20   5.204476e-20   1.236476e-20   1.084376e-19   1.384502e-21   1.835462e-21   2.366137e-73   2.038102e-21   6.535447e-21   8.079837e-22   1.734619e-20   4.362941e-21   2.208743e-25   9.409190e-25   0.000000e+00   0.000000e+00   0.000000e+00
         4.5500   0.000000e+00   1.584426e-18   0.000000e+00   0.000000e+00   5.736325e-20   5.759917e-20   1.307022e-20   1.059114e-19   3.208068e-21   4.167613e-21   2.400683e-67   2.291874e-21   7.215774e-21   1.299749e-21   1.861978e-20   5.091472e-21   8.336964e-25   3.955101e-24   0.000000e+00   0.000000e+00   0.000000e+00
         4.6000   0.000000e+00   1.734078e-18   0.000000e+00   0.000000e+00   5.941136e-20   6.263938e-20   1.454761e-20   1.050339e-19   6.874202e-21   8.605157e-21   5.381078e-62   2.539300e-21   7.911947e-21   1.969324e-21   1.990887e-20   5.846382e-21   2.733221e-24   1.423620e-23   0.000000e+00   0.000000e+00   0.000000e+00
         4.6500   0.000000e+00   1.881420e-18   0.000000e+00   0.000000e+00   6.088781e-20   6.704646e-20   1.740242e-20   1.068820e-19   1.365783e-20   1.632598e-20   3.139639e-57   2.776575e-21   8.627900e-21   2.827164e-21   2.123137e-20   6.622657e-21   7.923522e-24   4.457499e-23   0.000000e+00   0.000000e+00   0.000000e+00
         4.7000   0.000000e+00   2.024397e-18   0.000000e+00   0.000000e+00   6.174636e-20   7.073420e-20   2.256712e-20   1.128957e-19   2.527544e-20   2.872760e-20   5.519944e-53   3.000485e-21   9.366842e-21   3.865830e-21   2.260126e-20   7.419464e-21   2.068446e-23   1.231316e-22   0.000000e+00   0.000000e+00   0.000000e+00
         4.7500   0.000000e+00   2.161063e-18   0.000000e+00   0.000000e+00   6.198294e-20   7.364559e-20   3.138802e-20   1.248821e-19   4.380430e-20   4.727697e-20   3.332657e-49   3.208364e-21   1.012991e-20   5.058936e-21   2.402671e-20   8.241679e-21   4.953450e-23   3.039037e-22   0.000000e+00   0.000000e+00   0.000000e+00
         4.8000   0.000000e+00   2.289664e-18   0.000000e+00   0.000000e+00   6.162829e-20   7.574650e-20   4.567097e-20   1.449476e-19   7.148965e-20   7.330992e-20   7.765352e-46   3.398037e-21   1.091445e-20   6.364679e-21   2.550968e-20   9.101971e-21   1.107876e-22   6.778876e-22   0.000000e+00   0.000000e+00   0.000000e+00
         4.8500   0.000000e+00   2.408715e-18   0.000000e+00   0.000000e+00   6.073904e-20   7.702173e-20   6.764430e-20   1.753428e-19   1.104862e-19   1.078259e-19   7.751134e-43   3.567818e-21   1.171209e-20   7.735304e-21   2.704751e-20   1.002409e-20   2.349695e-22   1.380766e-21  9.012332e-294  1.065050e-312   0.000000e+00
         4.9000   0.000000e+00   2.517047e-18   0.000000e+00   0.000000e+00   5.938855e-20   7.747916e-20   9.981047e-20   2.182297e-19   1.626051e-19   1.513213e-19   3.637910e-40   3.716729e-21   1.250688e-20   9.133606e-21   2.863720e-20   1.104828e-20   4.774455e-22   2.592237e-21  6.725868e-264  2.940417e-279   0.000000e+00
         4.9500   0.000000e+00   2.613827e-18   0.000000e+00   0.000000e+00   5.765851e-20   7.714036e-20   1.446877e-19   2.754057e-19   2.291221e-19   2.036907e-19   8.724131e-38   3.845246e-21   1.327457e-20   1.055664e-20   3.028295e-20   1.223934e-20   9.334218e-22   4.523560e-21  2.831565e-237  5.685481e-251   0.000000e+00
         5.0000   0.000000e+00   2.698553e-18   0.000000e+00   0.000000e+00   5.563208e-20   7.604080e-20   2.044799e-19   3.480324e-19   3.104678e-19   2.642056e-19   1.151192e-35   3.957045e-21   1.399892e-20   1.206499e-20   3.200633e-20   1.369628e-20   1.754615e-21   7.393306e-21  1.517556e-213  9.195112e-226   0.000000e+00
         5.0500   0.000000e+00   2.771027e-18   0.000000e+00   0.000000e+00   5.338867e-20   7.422533e-20   2.807399e-19   4.364252e-19   4.061125e-19   3.315838e-19   8.926918e-34   4.062150e-21   1.469440e-20   1.379664e-20   3.385737e-20   1.556018e-20   3.161263e-21   1.139532e-20  2.137730e-192  2.686757e-203   0.000000e+00
         5.1000   0.000000e+00   2.831315e-18   0.000000e+00   0.000000e+00   5.100043e-20   7.174913e-20   3.740974e-19   5.399410e-19   5.146480e-19   4.041705e-19   4.311094e-32   4.181459e-21   1.541238e-20   1.593943e-20   3.593683e-20   1.801458e-20   5.440822e-21   1.666579e-20  1.509649e-173  2.817753e-183   0.000000e+00
         5.1500   0.000000e+00   2.879702e-18   0.000000e+00   0.000000e+00   4.853024e-20   6.869842e-20   4.841085e-19   6.569862e-19   6.339268e-19   4.801093e-19   1.364719e-30   4.351759e-21   1.625227e-20   1.872878e-20   3.844440e-20   2.127839e-20   8.925691e-21   2.325687e-20  9.499222e-157  1.955777e-165   0.000000e+00
