# CIE bound-bound cooling efficiency for O (Z=8)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_O0           L_O1           L_O2           L_O3           L_O4           L_O5           L_O6           L_O7           L_O8         
         6.2000   6.655769e-20   1.304820e-18   1.580359e-18   1.626284e-18   1.308942e-18   7.569604e-19   6.789159e-21   1.813645e-21   0.000000e+00
         6.2500   6.579226e-20   1.296089e-18   1.577460e-18   1.625784e-18   1.308028e-18   7.603474e-19   1.044619e-20   2.961646e-21   0.000000e+00
         6.3000   6.492643e-20   1.284662e-18   1.570408e-18   1.620821e-18   1.303598e-18   7.626284e-19   1.533787e-20   4.570850e-21   0.000000e+00
         6.3500   6.397024e-20   1.270822e-18   1.559674e-18   1.611715e-18   1.295890e-18   7.638122e-19   2.160580e-20   6.707834e-21   0.000000e+00
         6.4000   6.293343e-20   1.254878e-18   1.545691e-18   1.598793e-18   1.285138e-18   7.639665e-19   2.933909e-20   9.411541e-21   0.000000e+00
         6.4500   6.182534e-20   1.237106e-18   1.528835e-18   1.582385e-18   1.271600e-18   7.630866e-19   3.856828e-20   1.268704e-20   0.000000e+00
         6.5000   6.065492e-20   1.217742e-18   1.509434e-18   1.562824e-18   1.255594e-18   7.611128e-19   4.926556e-20   1.650469e-20   0.000000e+00
         6.5500   5.943069e-20   1.196995e-18   1.487783e-18   1.540468e-18   1.237414e-18   7.580381e-19   6.135039e-20   2.080376e-20   0.000000e+00
         6.6000   5.816070e-20   1.175050e-18   1.464147e-18   1.515801e-18   1.217318e-18   7.539648e-19   7.469778e-20   2.549969e-20   0.000000e+00
         6.6500   5.685255e-20   1.152084e-18   1.438769e-18   1.489242e-18   1.195539e-18   7.489778e-19   8.914856e-20   3.049332e-20   0.000000e+00
         6.7000   5.551334e-20   1.128280e-18   1.411889e-18   1.461108e-18   1.172293e-18   7.429162e-19   1.045201e-19   3.567890e-20   0.000000e+00
         6.7500   5.414972e-20   1.103795e-18   1.383791e-18   1.431648e-18   1.147808e-18   7.357968e-19   1.206121e-19   4.094560e-20   0.000000e+00
         6.8000   5.276782e-20   1.078761e-18   1.354724e-18   1.401071e-18   1.122366e-18   7.276453e-19   1.372071e-19   4.618306e-20   0.000000e+00
         6.8500   5.137333e-20   1.053293e-18   1.324892e-18   1.369559e-18   1.096193e-18   7.185005e-19   1.540847e-19   5.129008e-20   0.000000e+00
         6.9000   4.997148e-20   1.027490e-18   1.294464e-18   1.337277e-18   1.069455e-18   7.088495e-19   1.710305e-19   5.617886e-20   0.000000e+00
         6.9500   4.856704e-20   1.001445e-18   1.263586e-18   1.304380e-18   1.042287e-18   6.983491e-19   1.878425e-19   6.077754e-20   0.000000e+00
         7.0000   4.716435e-20   9.752426e-19   1.232383e-18   1.271038e-18   1.014802e-18   6.870576e-19   2.043357e-19   6.503992e-20   0.000000e+00
         7.0500   4.576736e-20   9.489614e-19   1.200970e-18   1.237403e-18   9.870979e-19   6.750420e-19   2.203319e-19   6.896298e-20   0.000000e+00
         7.1000   4.437960e-20   9.226739e-19   1.169443e-18   1.203609e-18   9.592690e-19   6.623748e-19   2.356486e-19   7.255927e-20   0.000000e+00
         7.1500   4.300426e-20   8.964475e-19   1.137884e-18   1.169773e-18   9.314058e-19   6.491267e-19   2.501278e-19   7.584633e-20   0.000000e+00
         7.2000   4.164417e-20   8.703445e-19   1.106367e-18   1.136000e-18   9.036052e-19   6.353675e-19   2.636393e-19   7.884290e-20   0.000000e+00
         7.2500   4.030182e-20   8.444219e-19   1.074957e-18   1.102387e-18   8.759525e-19   6.212248e-19   2.760810e-19   8.156649e-20   0.000000e+00
         7.3000   3.897941e-20   8.187317e-19   1.043719e-18   1.069037e-18   8.485218e-19   6.070164e-19   2.873785e-19   8.403201e-20   0.000000e+00
         7.3500   3.767887e-20   7.933212e-19   1.012710e-18   1.036030e-18   8.213779e-19   5.925139e-19   2.974793e-19   8.625049e-20   0.000000e+00
         7.4000   3.640185e-20   7.682328e-19   9.819850e-19   1.003424e-18   7.945775e-19   5.777810e-19   3.063512e-19   8.821924e-20   0.000000e+00
         7.4500   3.514976e-20   7.435045e-19   9.515948e-19   9.712686e-19   7.681772e-19   5.628779e-19   3.139759e-19   8.992969e-20   0.000000e+00
         7.5000   3.392378e-20   7.191699e-19   9.215862e-19   9.396033e-19   7.422397e-19   5.478599e-19   3.203477e-19   9.137730e-20   0.000000e+00
         7.5500   3.272491e-20   6.952583e-19   8.920019e-19   9.084636e-19   7.168066e-19   5.327762e-19   3.254780e-19   9.256131e-20   0.000000e+00
         7.6000   3.155394e-20   6.717954e-19   8.628804e-19   8.778811e-19   6.919030e-19   5.176749e-19   3.293932e-19   9.348429e-20   0.000000e+00
         7.6500   3.041150e-20   6.488030e-19   8.342562e-19   8.478841e-19   6.675453e-19   5.025998e-19   3.321334e-19   9.415156e-20   0.000000e+00
         7.7000   2.929806e-20   6.262994e-19   8.061598e-19   8.184975e-19   6.437447e-19   4.875887e-19   3.337482e-19   9.457074e-20   0.000000e+00
         7.7500   2.821396e-20   6.043000e-19   7.786176e-19   7.897436e-19   6.205098e-19   4.726756e-19   3.342985e-19   9.475134e-20   0.000000e+00
         7.8000   2.715941e-20   5.828170e-19   7.516522e-19   7.616411e-19   5.978474e-19   4.578926e-19   3.338594e-19   9.470431e-20   0.000000e+00
         7.8500   2.613448e-20   5.618600e-19   7.252827e-19   7.342058e-19   5.757632e-19   4.432685e-19   3.325086e-19   9.444175e-20   0.000000e+00
         7.9000   2.513918e-20   5.414361e-19   6.995246e-19   7.074505e-19   5.542613e-19   4.288298e-19   3.303225e-19   9.397661e-20   0.000000e+00
         7.9500   2.417340e-20   5.215500e-19   6.743903e-19   6.813848e-19   5.333451e-19   4.146002e-19   3.273770e-19   9.332242e-20   0.000000e+00
         8.0000   2.323697e-20   5.022045e-19   6.498893e-19   6.560158e-19   5.130162e-19   4.006716e-19   3.237470e-19   9.249308e-20   0.000000e+00
