# CIE bound-bound cooling efficiency for Fe (Z=26)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 101 log-spaced points, 10^4.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Fe0          L_Fe1          L_Fe2          L_Fe3          L_Fe4          L_Fe5          L_Fe6          L_Fe7          L_Fe8          L_Fe9          L_Fe10         L_Fe11         L_Fe12         L_Fe13         L_Fe14         L_Fe15         L_Fe16         L_Fe17         L_Fe18         L_Fe19         L_Fe20         L_Fe21         L_Fe22         L_Fe23         L_Fe24         L_Fe25         L_Fe26       
         5.3000   0.000000e+00   2.134816e-18   8.935084e-19   8.975378e-20   8.985046e-20   2.532224e-19   2.738891e-19   2.418362e-19   2.012242e-19   3.210805e-19   4.019588e-19   4.373047e-19   4.667151e-19   4.099962e-19   3.667644e-19   2.679218e-19   9.056700e-21   1.658887e-20   2.286963e-20   2.818966e-20   3.127352e-20   3.253829e-20   3.904803e-20   6.377673e-20   1.074991e-19   2.568488e-19   2.410311e-19
         5.3500   0.000000e+00   2.160895e-18   9.280118e-19   8.572136e-20   8.578381e-20   2.755518e-19   3.486488e-19   3.321601e-19   2.842219e-19   4.087091e-19   4.957102e-19   5.270382e-19   5.484088e-19   4.913245e-19   4.497525e-19   3.176862e-19   8.596522e-21   1.628598e-20   2.355479e-20   2.998992e-20   3.758298e-20   3.447386e-20   4.046073e-20   6.603409e-20   1.016957e-19   2.435753e-19   2.276875e-19
         5.4000   0.000000e+00   2.179340e-18   9.577284e-19   8.156831e-20   8.145183e-20   2.960988e-19   4.376682e-19   4.420796e-19   3.872578e-19   5.135231e-19   6.044152e-19   6.289246e-19   6.403369e-19   5.810765e-19   5.377458e-19   3.684645e-19   8.164633e-21   1.607538e-20   2.443885e-20   3.245198e-20   4.065075e-20   3.740959e-20   4.327417e-20   6.926772e-20   9.622826e-20   2.299465e-19   2.150961e-19
         5.4500   0.000000e+00   2.190590e-18   9.825851e-19   7.737052e-20   7.697055e-20   3.142484e-19   5.399711e-19   5.712835e-19   5.106930e-19   6.347255e-19   7.267284e-19   7.415673e-19   7.409909e-19   6.772706e-19   6.283638e-19   4.188615e-19   7.759573e-21   1.602332e-20   2.564797e-20   3.571513e-20   4.453430e-20   4.154116e-20   4.766452e-20   7.335196e-20   9.107841e-20   2.169987e-19   2.034044e-19
         5.5000   0.000000e+00   2.195110e-18   1.002682e-18   7.319208e-20   7.244100e-20   3.295886e-19   6.538000e-19   7.183582e-19   6.539077e-19   7.706856e-19   8.606885e-19   8.628129e-19   8.484762e-19   7.776354e-19   7.193065e-19   4.676286e-19   7.379963e-21   1.620446e-20   2.731741e-20   3.988219e-20   4.934243e-20   4.701285e-20   5.371476e-20   7.811302e-20   8.622887e-20   2.050626e-19   1.918105e-19
         5.5500   0.000000e+00   2.193372e-18   1.018243e-18   6.908551e-20   6.794727e-20   3.419064e-19   7.768222e-19   8.808641e-19   8.153534e-19   9.190640e-19   1.003849e-18   9.903588e-19   9.606441e-19   8.798390e-19   8.084925e-19   5.137389e-19   7.024507e-21   1.669230e-20   2.957138e-20   4.499955e-20   5.513252e-20   5.389200e-20   6.139797e-20   8.334452e-20   8.166331e-20   1.943260e-19   1.812511e-19
         5.6000   0.000000e+00   2.185854e-18   1.029576e-18   6.509210e-20   6.355627e-20   3.511621e-19   9.061524e-19   1.055569e-18   9.926704e-19   1.076983e-18   1.153311e-18   1.121606e-18   1.075090e-18   9.818426e-19   8.941905e-19   5.564158e-19   6.691987e-21   1.754950e-20   3.250405e-20   5.104298e-20   6.190982e-20   6.787121e-20   7.057161e-20   8.882576e-20   7.736630e-20   1.839014e-19   1.714402e-19
         5.6500   0.000000e+00   2.173031e-18   1.037029e-18   6.124279e-20   5.931883e-20   3.574667e-19   1.038871e-18   1.238688e-18   1.182846e-18   1.241214e-18   1.305968e-18   1.253936e-18   1.189371e-18   1.081480e-18   9.750683e-19   5.951619e-19   6.381269e-21   1.881764e-20   3.614855e-20   5.791920e-20   6.964592e-20   7.708728e-20   8.099320e-20   9.434104e-20   7.332372e-20   1.735305e-19   1.620401e-19
         5.7000   0.000000e+00   2.155369e-18   1.040950e-18   5.755932e-20   5.527131e-20   3.611133e-19   1.172042e-18   1.426150e-18   1.382406e-18   1.408365e-18   1.458709e-18   1.384853e-18   1.301170e-18   1.177488e-18   1.050164e-18   6.297655e-19   6.091371e-21   2.051025e-20   4.047742e-20   6.547438e-20   7.827364e-20   8.739045e-20   9.235149e-20   9.969266e-20   6.952305e-20   1.639685e-19   1.529469e-19
         5.7500   0.000000e+00   2.133322e-18   1.041609e-18   5.405557e-20   5.143763e-20   3.624100e-19   1.302938e-18   1.613866e-18   1.587623e-18   1.575051e-18   1.608556e-18   1.512051e-18   1.408444e-18   1.268926e-18   1.118873e-18   6.602725e-19   5.821791e-21   2.261013e-20   4.541205e-20   7.351101e-20   9.121179e-20   9.850875e-20   1.043115e-19   1.047129e-19   6.595000e-20   1.552387e-19   1.445999e-19
         5.8000   0.000000e+00   2.107328e-18   1.039278e-18   5.073895e-20   4.783141e-20   3.617224e-19   1.429149e-18   1.797974e-18   1.794708e-18   1.738046e-18   1.752818e-18   1.633414e-18   1.509714e-18   1.355265e-18   1.180931e-18   6.868739e-19   5.573788e-21   2.507158e-20   5.083289e-20   8.180778e-20   1.007857e-19   1.101210e-19   1.165219e-19   1.092717e-19   6.259230e-20   1.463863e-19   1.367299e-19
         5.8500   0.000000e+00   2.077810e-18   1.034246e-18   4.761167e-20   4.446329e-20   3.593241e-19   1.548680e-18   1.975026e-18   1.999972e-18   1.894448e-18   1.889179e-18   1.747150e-18   1.603647e-18   1.436267e-18   1.236332e-18   7.098623e-19   5.354301e-21   2.782782e-20   5.659470e-20   9.013680e-20   1.105495e-19   1.218798e-19   1.286225e-19   1.132753e-19   5.943839e-20   1.382484e-19   1.291960e-19
         5.9000   0.000000e+00   2.045169e-18   1.026795e-18   4.467196e-20   4.132143e-20   3.554096e-19   1.659986e-18   2.142089e-18   2.199969e-18   2.041789e-18   2.015735e-18   1.851830e-18   1.689466e-18   1.511814e-18   1.285242e-18   7.296010e-19   5.185747e-21   3.080465e-20   6.254338e-20   9.828260e-20   1.202371e-19   1.334131e-19   1.402839e-19   1.166639e-19   5.647729e-20   1.308473e-19   1.221442e-19
         5.9500   0.000000e+00   2.009788e-18   1.017195e-18   4.191503e-20   3.840546e-20   3.502922e-19   1.761979e-18   2.296841e-18   2.391580e-18   2.178082e-18   2.131013e-18   1.946284e-18   1.766570e-18   1.581823e-18   1.327920e-18   7.464762e-19   5.126129e-21   3.394258e-20   6.852688e-20   1.060591e-19   1.296055e-19   1.443629e-19   1.512226e-19   1.194070e-19   5.369866e-20   1.238665e-19   1.155658e-19
         6.0000   0.000000e+00   1.972027e-18   1.005703e-18   3.933403e-20   3.570619e-20   3.447976e-19   1.853988e-18   2.437587e-18   2.571975e-18   2.301842e-18   2.233973e-18   2.029372e-18   1.834578e-18   1.646164e-18   1.364642e-18   7.608630e-19   5.303245e-21   3.723066e-20   7.442581e-20   1.133258e-19   1.384518e-19   1.544618e-19   1.644603e-19   1.214974e-19   5.109269e-20   1.174980e-19   1.093698e-19
         6.0500   0.000000e+00   1.932226e-18   9.926025e-19   3.692069e-20   3.321221e-20   3.394219e-19   1.935654e-18   2.563242e-18   2.738775e-18   2.412063e-18   2.323975e-18   2.100547e-18   1.893276e-18   1.704627e-18   1.395648e-18   7.731084e-19   5.962512e-21   4.075164e-20   8.019319e-20   1.200052e-19   1.466344e-19   1.635400e-19   1.731338e-19   1.229448e-19   4.865008e-20   1.113063e-19   1.035352e-19
         6.1000   0.000000e+00   1.890701e-18   9.781610e-19   3.466591e-20   3.091083e-20   3.338081e-19   2.006729e-18   2.673266e-18   2.890136e-18   2.508197e-18   2.400700e-18   2.160437e-18   1.942410e-18   1.756963e-18   1.421117e-18   7.835265e-19   7.519915e-21   4.473342e-20   8.589644e-20   1.261095e-19   1.540832e-19   1.715304e-19   1.805805e-19   1.237712e-19   4.636205e-20   1.056984e-19   9.804250e-20
         6.1500   0.000000e+00   1.847748e-18   9.626115e-19   3.256018e-20   2.878871e-20   3.275816e-19   2.067206e-18   2.767602e-18   3.024743e-18   2.590100e-18   2.464191e-18   2.209731e-18   1.981896e-18   1.802884e-18   1.441235e-18   7.924021e-19   1.060177e-20   4.959317e-20   9.175889e-20   1.317745e-19   1.608172e-19   1.784870e-19   1.867715e-19   1.240225e-19   4.422030e-20   1.002137e-19   9.287300e-20
         6.2000   0.000000e+00   1.803640e-18   9.461507e-19   3.059393e-20   2.683246e-20   3.205388e-19   2.117325e-18   2.846652e-18   3.141791e-18   2.657956e-18   2.514996e-18   2.248558e-18   2.012020e-18   1.842050e-18   1.456173e-18   8.000172e-19   1.604674e-20   5.595662e-20   9.818803e-20   1.372787e-19   1.669660e-19   1.845684e-19   1.917467e-19   1.237674e-19   4.221697e-20   9.505635e-20   8.800908e-20
         6.2500   0.000000e+00   1.758628e-18   9.289419e-19   2.875777e-20   2.502895e-20   3.126123e-19   2.157516e-18   2.911115e-18   3.241017e-18   2.712199e-18   2.553883e-18   2.277129e-18   2.033257e-18   1.874180e-18   1.466087e-18   8.066586e-19   2.486365e-20   6.462863e-20   1.057754e-19   1.430514e-19   1.727857e-19   1.899704e-19   1.956170e-19   1.230943e-19   4.034461e-20   9.034047e-20   8.343340e-20
         6.3000   0.000000e+00   1.712945e-18   9.111196e-19   2.704262e-20   2.336563e-20   3.038343e-19   2.188340e-18   2.961856e-18   3.323094e-18   2.753447e-18   2.581705e-18   2.295852e-18   2.046171e-18   1.899130e-18   1.471145e-18   8.126042e-19   3.814120e-20   7.652052e-20   1.152507e-19   1.496554e-19   1.786599e-19   1.949383e-19   1.985655e-19   1.221150e-19   3.859617e-20   8.588111e-20   7.912959e-20
         6.3500   0.000000e+00   1.666802e-18   8.927950e-19   2.543985e-20   2.183063e-20   2.945416e-19   2.210441e-18   2.999834e-18   3.389127e-18   2.782524e-18   2.599291e-18   2.305358e-18   2.051377e-18   1.916866e-18   1.471534e-18   8.181139e-19   5.691737e-20   9.254493e-20   1.273820e-19   1.577356e-19   1.850719e-19   2.014628e-19   2.008441e-19   1.209648e-19   3.696500e-20   8.159853e-20   7.508673e-20
         6.4000   0.000000e+00   1.620391e-18   8.740607e-19   2.394132e-20   2.041291e-20   2.858019e-19   2.224505e-18   3.026042e-18   3.440261e-18   2.800631e-18   2.607301e-18   2.306634e-18   2.049519e-18   1.927483e-18   1.467499e-18   8.233858e-19   8.203787e-20   1.134898e-19   1.429069e-19   1.679320e-19   1.925607e-19   2.063927e-19   2.027605e-19   1.198003e-19   3.544475e-20   7.747241e-20   7.128696e-20
         6.4500   0.000000e+00   1.573887e-18   8.549946e-19   2.253946e-20   1.910227e-20   2.782431e-19   2.231122e-18   3.041468e-18   3.477599e-18   2.808947e-18   2.606388e-18   2.300653e-18   2.041231e-18   1.931245e-18   1.459432e-18   8.285450e-19   1.140313e-19   1.398999e-19   1.624385e-19   1.807938e-19   2.028136e-19   2.118702e-19   2.046539e-19   1.187901e-19   3.402943e-20   7.370359e-20   6.771717e-20
         6.5000   0.000000e+00   1.527447e-18   8.356639e-19   2.122720e-20   1.788935e-20   2.719852e-19   2.230574e-18   3.047073e-18   3.502163e-18   2.808509e-18   2.597239e-18   2.288266e-18   2.027125e-18   1.928525e-18   1.447755e-18   8.337080e-19   1.530244e-19   1.719956e-19   1.863697e-19   1.967068e-19   2.139782e-19   2.182631e-19   2.068648e-19   1.181032e-19   3.271335e-20   7.005215e-20   6.436533e-20
         6.5500   0.000000e+00   1.481211e-18   8.161275e-19   1.999803e-20   1.676564e-20   2.668625e-19   2.223196e-18   3.043767e-18   3.514885e-18   2.800215e-18   2.580700e-18   2.270218e-18   2.007859e-18   1.919826e-18   1.432867e-18   8.389393e-19   1.987056e-19   2.096581e-19   2.148078e-19   2.158365e-19   2.275657e-19   2.259008e-19   2.096996e-19   1.178955e-19   3.149121e-20   6.665414e-20   6.122053e-20
         6.6000   0.000000e+00   1.435306e-18   7.964385e-19   1.884594e-20   1.572338e-20   2.625773e-19   2.209429e-18   3.032388e-18   3.516626e-18   2.784843e-18   2.558045e-18   2.247178e-18   1.984301e-18   1.905751e-18   1.415137e-18   8.441182e-19   2.503418e-19   2.524389e-19   2.475469e-19   2.381195e-19   2.436966e-19   2.350473e-19   2.133942e-19   1.182922e-19   3.035795e-20   6.355351e-20   5.827296e-20
         6.6500   0.000000e+00   1.389842e-18   7.766454e-19   1.776542e-20   1.475558e-20   2.584784e-19   2.189782e-18   3.013711e-18   3.508155e-18   2.763081e-18   2.530376e-18   2.219735e-18   1.957211e-18   1.886895e-18   1.394909e-18   8.490838e-19   3.068434e-19   2.995748e-19   2.840816e-19   2.632779e-19   2.622933e-19   2.458475e-19   2.180909e-19   1.193737e-19   2.930895e-20   6.064794e-20   5.551324e-20
         6.7000   0.000000e+00   1.344918e-18   7.567933e-19   1.675140e-20   1.385591e-20   2.529603e-19   2.164805e-18   2.988464e-18   3.490035e-18   2.735544e-18   2.498492e-18   2.188412e-18   1.927186e-18   1.863826e-18   1.372488e-18   8.536580e-19   3.668592e-19   3.500490e-19   3.236572e-19   2.908493e-19   2.831015e-19   2.582327e-19   2.238300e-19   1.211693e-19   2.833989e-20   5.793010e-20   5.293222e-20
