# CIE bound-bound cooling efficiency for Si (Z=14)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Si0          L_Si1          L_Si2          L_Si3          L_Si4          L_Si5          L_Si6          L_Si7          L_Si8          L_Si9          L_Si10         L_Si11         L_Si12         L_Si13         L_Si14       
         5.0000   0.000000e+00   6.471735e-25   2.437958e-24   5.039216e-24   8.676852e-24   1.225536e-23   1.746058e-23   2.356754e-23   3.052241e-23   3.842553e-23   4.722818e-23   5.687262e-23   6.768311e-23   7.943365e-23   9.212424e-23
         5.0500   0.000000e+00   6.876441e-25   2.616558e-24   5.408182e-24   9.301555e-24   1.306583e-23   1.860187e-23   2.509326e-23   3.247843e-23   4.087179e-23   5.021753e-23   6.042610e-23   7.171111e-23   8.414039e-23   9.758294e-23
         5.1000   0.000000e+00   7.287422e-25   2.805996e-24   5.806200e-24   9.975908e-24   1.393583e-23   1.982554e-23   2.672749e-23   3.457129e-23   4.348733e-23   5.341187e-23   6.424189e-23   7.622232e-23   8.912603e-23   1.033651e-22
         5.1500   0.000000e+00   7.702536e-25   3.005715e-24   6.235181e-24   1.070381e-23   1.487034e-23   2.113837e-23   2.847902e-23   3.681189e-23   4.628544e-23   5.682697e-23   6.831835e-23   8.103978e-23   9.440708e-23   1.094899e-22
         5.2000   0.000000e+00   8.120159e-25   3.214799e-24   6.696931e-24   1.148926e-23   1.587478e-23   2.254782e-23   3.035748e-23   3.921211e-23   4.928058e-23   6.048011e-23   7.267547e-23   8.618681e-23   1.000010e-22   1.159775e-22
         5.2500   0.000000e+00   8.539716e-25   3.432024e-24   7.192931e-24   1.233631e-23   1.695508e-23   2.406195e-23   3.237337e-23   4.178495e-23   5.248860e-23   6.439013e-23   7.733501e-23   9.168869e-23   1.059265e-22   1.228496e-22
         5.3000   0.000000e+00   8.961453e-25   3.655933e-24   7.724262e-24   1.324883e-23   1.811772e-23   2.568960e-23   3.453818e-23   4.454455e-23   5.592673e-23   6.857762e-23   8.232076e-23   9.757304e-23   1.122030e-22   1.301289e-22
         5.3500   0.000000e+00   9.386737e-25   3.884979e-24   8.291270e-24   1.423031e-23   1.936972e-23   2.744041e-23   3.686440e-23   4.750643e-23   5.961382e-23   7.306504e-23   8.765874e-23   1.038700e-22   1.188515e-22   1.378396e-22
         5.4000   0.000000e+00   9.817755e-25   4.117643e-24   8.893465e-24   1.528354e-23   2.071871e-23   2.932488e-23   3.936568e-23   5.068751e-23   6.357049e-23   7.787689e-23   9.337732e-23   1.106126e-22   1.258939e-22   1.460071e-22
         5.4500   0.000000e+00   1.025754e-24   4.352693e-24   9.529280e-24   1.641014e-23   2.217298e-23   3.135442e-23   4.205694e-23   5.410620e-23   6.781924e-23   8.304000e-23   9.950747e-23   1.178368e-22   1.333535e-22   1.546585e-22
         5.5000   0.000000e+00   1.070965e-24   4.589193e-24   1.019604e-23   1.761025e-23   2.374147e-23   3.354142e-23   4.495437e-23   5.778262e-23   7.238458e-23   8.858367e-23   1.060830e-22   1.255817e-22   1.412552e-22   1.638226e-22
         5.5500   0.000000e+00   1.117815e-24   4.826794e-24   1.089000e-23   1.888190e-23   2.543381e-23   3.589934e-23   4.807558e-23   6.173875e-23   7.729324e-23   9.453980e-23   1.131409e-22   1.338904e-22   1.496251e-22   1.735297e-22
         5.6000   0.000000e+00   1.166719e-24   5.065609e-24   1.160664e-23   2.022100e-23   2.726030e-23   3.844264e-23   5.143970e-23   6.599843e-23   8.257447e-23   1.009432e-22   1.207216e-22   1.428096e-22   1.584910e-22   1.838120e-22
         5.6500   0.000000e+00   1.218114e-24   5.306390e-24   1.234094e-23   2.162103e-23   2.923195e-23   4.118695e-23   5.506741e-23   7.058760e-23   8.826005e-23   1.078319e-22   1.288689e-22   1.523906e-22   1.678822e-22   1.947036e-22
         5.7000   0.000000e+00   1.272444e-24   5.550355e-24   1.308801e-23   2.307360e-23   3.136024e-23   4.414896e-23   5.898100e-23   7.553440e-23   9.438449e-23   1.152472e-22   1.376310e-22   1.626890e-22   1.778298e-22   2.062405e-22
         5.7500   0.000000e+00   1.330115e-24   5.799204e-24   1.384357e-23   2.456874e-23   3.365713e-23   4.734637e-23   6.320440e-23   8.086927e-23   1.009853e-22   1.232343e-22   1.470601e-22   1.737657e-22   1.888212e-22   2.184610e-22
         5.8000   0.000000e+00   1.391503e-24   6.054940e-24   1.460437e-23   2.609627e-23   3.613479e-23   5.079776e-23   6.776321e-23   8.662496e-23   1.081031e-22   1.318418e-22   1.572133e-22   1.856871e-22   2.007348e-22   2.321256e-22
         5.8500   0.000000e+00   1.457003e-24   6.319861e-24   1.536884e-23   2.764616e-23   3.880502e-23   5.452227e-23   7.268433e-23   9.283661e-23   1.157815e-22   1.411227e-22   1.681524e-22   1.985252e-22   2.134610e-22   2.467852e-22
         5.9000   0.000000e+00   1.527017e-24   6.596308e-24   1.613694e-23   2.921069e-23   4.167895e-23   5.853937e-23   7.799594e-23   9.954175e-23   1.240677e-22   1.511341e-22   1.799444e-22   2.123584e-22   2.270622e-22   2.624463e-22
         5.9500   0.000000e+00   1.601889e-24   6.886764e-24   1.691068e-23   3.078414e-23   4.476565e-23   6.286772e-23   8.372682e-23   1.067797e-22   1.330118e-22   1.619373e-22   1.926620e-22   2.272717e-22   2.416060e-22   2.791858e-22
         6.0000   0.000000e+00   1.681956e-24   7.193732e-24   1.769363e-23   3.236479e-23   4.807157e-23   6.752462e-23   8.990572e-23   1.145916e-22   1.426667e-22   1.735980e-22   2.063832e-22   2.433567e-22   2.571664e-22   2.970874e-22
         6.0500   0.000000e+00   1.767565e-24   7.519533e-24   1.849093e-23   3.395413e-23   5.159863e-23   7.252392e-23   9.655994e-23   1.230193e-22   1.530880e-22   1.861854e-22   2.211917e-22   2.607121e-22   2.738243e-22   3.162424e-22
         6.1000   0.000000e+00   1.859059e-24   7.866289e-24   1.930884e-23   3.555772e-23   5.534341e-23   7.787456e-23   1.037132e-22   1.321040e-22   1.643322e-22   1.997723e-22   2.371769e-22   2.794437e-22   2.916679e-22   3.367509e-22
         6.1500   0.000000e+00   1.956781e-24   8.236241e-24   2.015459e-23   3.718427e-23   5.929584e-23   8.357832e-23   1.113840e-22   1.418850e-22   1.764563e-22   2.144333e-22   2.544322e-22   2.996640e-22   3.107935e-22   3.587220e-22
         6.2000   0.000000e+00   2.061086e-24   8.631673e-24   2.103566e-23   3.884551e-23   6.343892e-23   8.962747e-23   1.195811e-22   1.523949e-22   1.895144e-22   2.302438e-22   2.730552e-22   3.214906e-22   3.313063e-22   3.822746e-22
         6.2500   0.000000e+00   2.172337e-24   9.054533e-24   2.196004e-23   4.055511e-23   6.774908e-23   9.600403e-23   1.283023e-22   1.636588e-22   2.035540e-22   2.472758e-22   2.931453e-22   3.450457e-22   3.533213e-22   4.075386e-22
         6.3000   0.000000e+00   2.290915e-24   9.506741e-24   2.293569e-23   4.232849e-23   7.219811e-23   1.026785e-22   1.375293e-22   1.756862e-22   2.186126e-22   2.655942e-22   3.147997e-22   3.704536e-22   3.769641e-22   4.346563e-22
         6.3500   0.000000e+00   2.417218e-24   9.990251e-24   2.397041e-23   4.418137e-23   7.675489e-23   1.096116e-22   1.472288e-22   1.884701e-22   2.347089e-22   2.852508e-22   3.381105e-22   3.978342e-22   4.023713e-22   4.637829e-22
         6.4000   0.000000e+00   2.551664e-24   1.050701e-23   2.507101e-23   4.613025e-23   8.138913e-23   1.167569e-22   1.573499e-22   2.019797e-22   2.518406e-22   3.062749e-22   3.631537e-22   4.273003e-22   4.296922e-22   4.950872e-22
         6.4500   0.000000e+00   2.694701e-24   1.105897e-23   2.624461e-23   4.819185e-23   8.607469e-23   1.240650e-22   1.678299e-22   2.161618e-22   2.699740e-22   3.286689e-22   3.899862e-22   4.589429e-22   4.590899e-22   5.287537e-22
         6.5000   0.000000e+00   2.846796e-24   1.164812e-23   2.749865e-23   5.038109e-23   9.079181e-23   1.314874e-22   1.785953e-22   2.309387e-22   2.890456e-22   3.523948e-22   4.186274e-22   4.928251e-22   4.907416e-22   5.649840e-22
         6.5500   0.000000e+00   3.008450e-24   1.227653e-23   2.883963e-23   5.271220e-23   9.553146e-23   1.389851e-22   1.895741e-22   2.462165e-22   3.089574e-22   3.773758e-22   4.490559e-22   5.289639e-22   5.248398e-22   6.039965e-22
         6.6000   0.000000e+00   3.180188e-24   1.294634e-23   3.027369e-23   5.520025e-23   1.002940e-22   1.465287e-22   2.006967e-22   2.618875e-22   3.295870e-22   4.034893e-22   4.811951e-22   5.673195e-22   5.615934e-22   6.460292e-22
         6.6500   0.000000e+00   3.362580e-24   1.365981e-23   3.180711e-23   5.786008e-23   1.050925e-22   1.541073e-22   2.119118e-22   2.778474e-22   3.507907e-22   4.305784e-22   5.149133e-22   6.077851e-22   6.012286e-22   6.913399e-22
         6.7000   0.000000e+00   3.556221e-24   1.441930e-23   3.344618e-23   6.070448e-23   1.099495e-22   1.617249e-22   2.231853e-22   2.940001e-22   3.724260e-22   4.584569e-22   5.500226e-22   6.501822e-22   6.439888e-22   7.402072e-22
         6.7500   0.000000e+00   3.765514e-24   1.522733e-23   3.519715e-23   6.374623e-23   1.148977e-22   1.694060e-22   2.345101e-22   3.102740e-22   3.943537e-22   4.869354e-22   5.862970e-22   6.942671e-22   6.901352e-22   7.929313e-22
         6.8000   0.000000e+00   3.988635e-24   1.608656e-23   3.706640e-23   6.699836e-23   1.199759e-22   1.771896e-22   2.459052e-22   3.266288e-22   4.164707e-22   5.158268e-22   6.234816e-22   7.397484e-22   7.399471e-22   8.498337e-22
         6.8500   0.000000e+00   4.224976e-24   1.699980e-23   3.906054e-23   7.047380e-23   1.252294e-22   1.851302e-22   2.574158e-22   3.430590e-22   4.387058e-22   5.449884e-22   6.613289e-22   7.863094e-22   7.937176e-22   9.112574e-22
         6.9000   0.000000e+00   4.475322e-24   1.797003e-23   4.118641e-23   7.418550e-23   1.307045e-22   1.932921e-22   2.691105e-22   3.596016e-22   4.610418e-22   5.743151e-22   6.996169e-22   8.336406e-22   8.517534e-22   9.775618e-22
         6.9500   0.000000e+00   4.740501e-24   1.900047e-23   4.345117e-23   7.814683e-23   1.364508e-22   2.017484e-22   2.810771e-22   3.763277e-22   4.835115e-22   6.037756e-22   7.381793e-22   8.814812e-22   9.143671e-22   1.049121e-21
         7.0000   0.000000e+00   5.021394e-24   2.009446e-23   4.586236e-23   8.237160e-23   1.425179e-22   2.105741e-22   2.934176e-22   3.933435e-22   5.062012e-22   6.333997e-22   7.769299e-22   9.296334e-22   9.818692e-22   1.126317e-21
         7.0500   0.000000e+00   5.318930e-24   2.127572e-23   4.842798e-23   8.687417e-23   1.489535e-22   2.198483e-22   3.062424e-22   4.107798e-22   5.292425e-22   6.632921e-22   8.158621e-22   9.780131e-22   1.054554e-21   1.209522e-21
         7.1000   0.000000e+00   5.634097e-24   2.253639e-23   5.115647e-23   9.166966e-23   1.557999e-22   2.296508e-22   3.196667e-22   4.287887e-22   5.528068e-22   6.936162e-22   8.550720e-22   1.026631e-21   1.132674e-21   1.299089e-21
         7.1500   0.000000e+00   5.967938e-24   2.387175e-23   5.405678e-23   9.677396e-23   1.631014e-22   2.400555e-22   3.338080e-22   4.475302e-22   5.770929e-22   7.245918e-22   8.947351e-22   1.075628e-21   1.216422e-21   1.395308e-21
         7.2000   0.000000e+00   6.321560e-24   2.528624e-23   5.713836e-23   1.022040e-22   1.709040e-22   2.511300e-22   3.487855e-22   4.671738e-22   6.023186e-22   7.564745e-22   9.351087e-22   1.125242e-21   1.305881e-21   1.498396e-21
         7.2500   0.000000e+00   6.696136e-24   2.678455e-23   6.041140e-23   1.079776e-22   1.792477e-22   2.629459e-22   3.647019e-22   4.878896e-22   6.287097e-22   7.895515e-22   9.765070e-22   1.175809e-21   1.401013e-21   1.608425e-21
         7.3000   0.000000e+00   7.092907e-24   2.837163e-23   6.388662e-23   1.141135e-22   1.881705e-22   2.755759e-22   3.816604e-22   5.098480e-22   6.564984e-22   8.241166e-22   1.019294e-21   1.227732e-21   1.501605e-21   1.725308e-21
