# CIE bound-bound cooling efficiency for S (Z=16)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_S0           L_S1           L_S2           L_S3           L_S4           L_S5           L_S6           L_S7           L_S8           L_S9           L_S10          L_S11          L_S12          L_S13          L_S14          L_S15          L_S16        
         5.4000   1.373881e-20   2.381217e-18   1.899141e-18   2.896265e-18   2.403433e-18   1.548048e-18   1.267364e-21   1.971336e-20   5.711550e-20   9.725140e-20   1.220354e-19   1.268900e-19   1.289771e-19   1.386820e-19   1.162071e-20   3.083948e-20   3.060595e-20
         5.4500   1.274812e-20   2.505966e-18   1.974683e-18   3.025907e-18   2.534609e-18   1.612683e-18   2.613395e-21   2.511967e-20   6.769167e-20   1.123274e-19   1.402885e-19   1.488568e-19   1.528756e-19   1.513519e-19   1.104416e-20   2.916728e-20   2.894836e-20
         5.5000   1.166720e-20   2.620463e-18   2.041987e-18   3.133997e-18   2.652049e-18   1.669690e-18   5.242056e-21   3.177115e-20   7.932084e-20   1.275665e-19   1.593853e-19   1.717264e-19   1.773274e-19   1.628604e-19   1.050324e-20   2.763512e-20   2.738640e-20
         5.5500   1.054626e-20   2.724362e-18   2.102160e-18   3.221321e-18   2.755434e-18   1.719406e-18   9.953576e-21   4.007485e-20   9.199019e-20   1.427748e-19   1.789015e-19   1.948958e-19   2.016606e-19   1.730417e-19   9.996041e-21   2.610229e-20   2.591505e-20
         5.6000   9.481364e-21   2.817535e-18   2.156158e-18   3.289130e-18   2.844723e-18   1.762264e-18   1.778216e-20   5.064600e-20   1.058569e-19   1.572771e-19   1.984713e-19   2.178030e-19   2.252599e-19   1.817977e-19   9.520742e-21   2.472275e-20   2.452938e-20
         5.6500   8.529372e-21   2.900026e-18   2.204843e-18   3.338980e-18   2.920096e-18   1.798458e-18   2.994274e-20   6.430744e-20   1.213049e-19   1.711810e-19   2.178462e-19   2.399819e-19   2.476071e-19   1.890931e-19   9.075628e-21   2.342411e-20   2.322470e-20
         5.7000   7.708646e-21   2.972005e-18   2.249152e-18   3.372582e-18   2.981910e-18   1.828154e-18   4.773077e-20   8.202524e-20   1.389514e-19   1.845960e-19   2.369486e-19   2.614789e-19   2.683082e-19   1.949556e-19   8.659080e-21   2.220327e-20   2.199662e-20
         5.7500   7.016266e-21   3.033736e-18   2.289753e-18   3.391688e-18   3.030520e-18   1.851589e-18   7.238368e-20   1.047872e-19   1.596113e-19   1.978437e-19   2.559068e-19   2.814087e-19   2.871157e-19   1.994677e-19   8.269567e-21   2.109190e-20   2.084099e-20
         5.8000   6.438770e-21   3.085544e-18   2.327010e-18   3.398007e-18   3.065941e-18   1.868959e-18   1.049171e-19   1.334680e-19   1.842034e-19   2.113964e-19   2.750516e-19   3.002339e-19   3.039422e-19   2.027629e-19   7.905632e-21   1.999576e-20   1.975378e-20
         5.8500   5.958603e-21   3.127798e-18   2.360851e-18   3.393148e-18   3.088357e-18   1.880478e-18   1.459763e-19   1.686909e-19   2.136134e-19   2.257671e-19   2.949011e-19   3.182286e-19   3.188633e-19   2.050245e-19   7.565903e-21   1.899950e-20   1.873104e-20
         5.9000   5.557785e-21   3.160889e-18   2.390491e-18   3.378580e-18   3.098223e-18   1.886642e-18   1.957228e-19   2.106805e-19   2.485465e-19   2.414667e-19   3.161175e-19   3.358220e-19   3.321062e-19   2.064817e-19   7.249079e-21   1.806617e-20   1.776973e-20
