# CIE bound-bound cooling efficiency for Ar (Z=18)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Ar0          L_Ar1          L_Ar2          L_Ar3          L_Ar4          L_Ar5          L_Ar6          L_Ar7          L_Ar8          L_Ar9          L_Ar10         L_Ar11         L_Ar12         L_Ar13         L_Ar14         L_Ar15         L_Ar16         L_Ar17         L_Ar18       
         4.4000   0.000000e+00   0.000000e+00   4.993772e-20   5.232783e-20   8.430796e-20   7.269299e-20   2.135890e-21   1.955471e-21   1.580266e-68   1.708785e-20   1.005006e-20   2.865952e-22   1.343821e-20   3.453195e-20   1.201929e-25   2.998902e-25   0.000000e+00   0.000000e+00   0.000000e+00
         4.4500   0.000000e+00   0.000000e+00   5.135392e-20   6.040426e-20   8.795660e-20   7.245343e-20   4.544282e-21   4.478203e-21   4.827516e-63   1.748358e-20   1.078037e-20   5.051156e-22   1.437640e-20   3.691208e-20   5.030345e-25   1.479017e-24   0.000000e+00   0.000000e+00   0.000000e+00
         4.5000   0.000000e+00   0.000000e+00   5.240674e-20   6.990964e-20   9.415371e-20   7.451741e-20   9.089764e-21   9.320243e-21   3.729838e-58   1.762056e-20   1.151621e-20   8.377698e-22   1.534342e-20   3.875365e-20   1.796858e-24   6.122704e-24   0.000000e+00   0.000000e+00   0.000000e+00
         4.5500   0.000000e+00   0.000000e+00   5.308123e-20   8.179939e-20   1.038308e-19   8.021051e-20   1.715403e-20   1.781521e-20   8.455102e-54   1.751467e-20   1.225295e-20   1.316489e-21   1.636105e-20   4.001402e-20   5.579411e-24   2.166532e-23   0.000000e+00   0.000000e+00   0.000000e+00
         4.6000   0.000000e+00   0.000000e+00   5.336403e-20   9.747848e-20   1.182394e-19   9.123281e-20   3.061740e-20   3.156932e-20   6.417485e-50   1.719045e-20   1.297916e-20   1.971403e-21   1.745070e-20   4.067683e-20   1.532911e-23   6.660707e-23   0.000000e+00   0.000000e+00   0.000000e+00
         4.6500   0.000000e+00   0.000000e+00   5.323051e-20   1.188196e-19   1.390146e-19   1.095672e-19   5.179186e-20   5.229735e-20   1.834111e-46   1.667873e-20   1.367769e-20   2.827134e-21   1.863077e-20   4.075202e-20   3.793310e-23   1.805384e-22   0.000000e+00   0.000000e+00   0.000000e+00
         4.7000   0.000000e+00   0.000000e+00   5.267565e-20   1.480570e-19   1.681375e-19   1.374280e-19   8.320009e-20   8.159693e-20   2.193070e-43   1.601438e-20   1.432823e-20   3.899595e-21   1.991403e-20   4.027638e-20   8.609306e-23   4.371485e-22   0.000000e+00   0.000000e+00   0.000000e+00
         4.7500   0.000000e+00   0.000000e+00   5.172028e-20   1.875641e-19   2.078092e-19   1.771260e-19   1.272394e-19   1.207074e-19   1.205718e-40   1.523414e-20   1.491142e-20   5.194636e-21   2.130586e-20   3.931573e-20   1.824619e-22   9.568332e-22  2.761023e-297   0.000000e+00   0.000000e+00
         4.8000   0.000000e+00   0.000000e+00   5.040509e-20   2.395714e-19   2.603323e-19   2.308508e-19   1.859081e-19   1.703025e-19   3.316481e-38   1.437480e-20   1.541471e-20   6.710164e-21   2.280483e-20   3.796984e-20   3.669907e-22   1.913410e-21  4.854823e-267  5.748117e-284   0.000000e+00
         4.8500   0.000000e+00   0.000000e+00   4.878406e-20   3.058522e-19   3.278544e-19   3.004252e-19   2.605021e-19   2.303579e-19   4.922826e-36   1.347187e-20   1.583882e-20   8.442999e-21   2.440754e-20   3.638169e-20   7.090209e-22   3.529327e-21  4.409980e-240  3.703320e-255   0.000000e+00
