# CIE bound-bound cooling efficiency for Mg (Z=12)
# Source: CHIANTI v11.0.2 via ChiantiPy ion.boundBoundLoss
# Units: erg cm^3 / s, per ion per electron, low-density limit (n_e = 1 cm^-3)
# T grid: 121 log-spaced points, 10^3.00 K -> 10^9.00 K
# Generated by pyathena/photchem/data/build_cool_tables.py
#
# log_T_K        L_Mg0          L_Mg1          L_Mg2          L_Mg3          L_Mg4          L_Mg5          L_Mg6          L_Mg7          L_Mg8          L_Mg9          L_Mg10         L_Mg11         L_Mg12       
         5.3000   5.707492e-25   2.993298e-18   5.062325e-20   6.541126e-20   1.136842e-19   1.790705e-19   2.041302e-19   2.180142e-19   2.242235e-19   2.265150e-19   1.041840e-20   1.216162e-20   9.560494e-23
         5.3500   5.592627e-25   3.060927e-18   7.360013e-20   9.025147e-20   1.354389e-19   2.019139e-19   2.337576e-19   2.522665e-19   2.602840e-19   2.440091e-19   9.846296e-21   1.151938e-20   1.012699e-22
         5.4000   5.497596e-25   3.115869e-18   1.029408e-19   1.215513e-19   1.603244e-19   2.255387e-19   2.648892e-19   2.871946e-19   2.961781e-19   2.595451e-19   9.305668e-21   1.091489e-20   1.072705e-22
         5.4500   5.423997e-25   3.158266e-18   1.389949e-19   1.597373e-19   1.886683e-19   2.500698e-19   2.972970e-19   3.222894e-19   3.310994e-19   2.730111e-19   8.820140e-21   1.034610e-20   1.136267e-22
         5.5000   5.373571e-25   3.188496e-18   1.817540e-19   2.048601e-19   2.206735e-19   2.757710e-19   3.313282e-19   3.572520e-19   3.644280e-19   2.844059e-19   8.363975e-21   9.811054e-21   1.203595e-22
         5.5500   5.348159e-25   3.207101e-18   2.308262e-19   2.565544e-19   2.563902e-19   3.029584e-19   3.673736e-19   3.920157e-19   3.957781e-19   2.938341e-19   7.935796e-21   9.307853e-21   1.274912e-22
         5.6000   5.349857e-25   3.214754e-18   2.854533e-19   3.141045e-19   2.956654e-19   3.319113e-19   4.059028e-19   4.267354e-19   4.250167e-19   3.014983e-19   7.546321e-21   8.834817e-21   1.350456e-22
         5.6500   5.381167e-25   3.212194e-18   3.445648e-19   3.765039e-19   3.381230e-19   3.627640e-19   4.473441e-19   4.617183e-19   4.522455e-19   3.076843e-19   7.183084e-21   8.390230e-21   1.433342e-22
         5.7000   5.444995e-25   3.200158e-18   4.068837e-19   4.425241e-19   3.831757e-19   3.954427e-19   4.919632e-19   4.973224e-19   4.777483e-19   3.127377e-19   6.833092e-21   7.972338e-21   1.523727e-22
         5.7500   5.544562e-25   3.179414e-18   4.711158e-19   5.108014e-19   4.300715e-19   4.296820e-19   5.397887e-19   5.338507e-19   5.019216e-19   3.170450e-19   6.505140e-21   7.579642e-21   1.620274e-22
         5.8000   5.683399e-25   3.150733e-18   5.359736e-19   5.799261e-19   4.779583e-19   4.650650e-19   5.906038e-19   5.714577e-19   5.251925e-19   3.210357e-19   6.191242e-21   7.210760e-21   1.723451e-22
         5.8500   5.865365e-25   3.114963e-18   6.002120e-19   6.485223e-19   5.259528e-19   5.011169e-19   6.439112e-19   6.100957e-19   5.479406e-19   3.251133e-19   5.905281e-21   6.864432e-21   1.833773e-22
         5.9000   6.094735e-25   3.072975e-18   6.626832e-19   7.153155e-19   5.732042e-19   5.371890e-19   6.989595e-19   6.495503e-19   5.704378e-19   3.296088e-19   5.621898e-21   6.539526e-21   1.951797e-22
         5.9500   6.376283e-25   3.025634e-18   7.223785e-19   7.792193e-19   6.189461e-19   5.727519e-19   7.548038e-19   6.894372e-19   5.928165e-19   3.347562e-19   5.366303e-21   6.234993e-21   2.078137e-22
         6.0000   6.715330e-25   2.973644e-18   7.784600e-19   8.394942e-19   6.625302e-19   6.072479e-19   8.103839e-19   7.292235e-19   6.150686e-19   3.406821e-19   5.125761e-21   5.949813e-21   2.213461e-22
